NAPS_Site_ID,Station_Name,Pollutant,Date,Value,Units,Report_Type,Method
10102,WATER STREET POST OFFICE,1-Hexene,2000-12-20T00:00,0.280,ug/m³,VOC,
10102,WATER STREET POST OFFICE,1-Hexene,2000-12-26T00:00,0.260,ug/m³,VOC,
10102,WATER STREET POST OFFICE,1-Hexene,2001-01-01T00:00,0.250,ug/m³,VOC,
10102,WATER STREET POST OFFICE,1-Hexene,2001-01-07T00:00,0.240,ug/m³,VOC,
10102,WATER STREET POST OFFICE,1-Hexene,2001-01-13T00:00,0.250,ug/m³,VOC,
10102,WATER STREET POST OFFICE,1-Hexene,2001-01-19T00:00,0.360,ug/m³,VOC,
10102,WATER STREET POST OFFICE,1-Hexene,2001-01-25T00:00,0.340,ug/m³,VOC,
10102,WATER STREET POST OFFICE,1-Hexene,2001-01-31T00:00,0.340,ug/m³,VOC,
10102,WATER STREET POST OFFICE,1-Hexene,2001-02-06T00:00,0.290,ug/m³,VOC,
10102,WATER STREET POST OFFICE,1-Hexene,2001-02-18T00:00,0.160,ug/m³,VOC,
10102,WATER STREET POST OFFICE,1-Hexene,2001-02-24T00:00,0.160,ug/m³,VOC,
10102,WATER STREET POST OFFICE,1-Hexene,2001-03-02T00:00,0.200,ug/m³,VOC,
10102,WATER STREET POST OFFICE,1-Hexene,2001-03-08T00:00,0.170,ug/m³,VOC,
10102,WATER STREET POST OFFICE,1-Hexene,2001-03-14T00:00,0.150,ug/m³,VOC,
10102,WATER STREET POST OFFICE,1-Hexene,2001-03-20T00:00,0.120,ug/m³,VOC,
10102,WATER STREET POST OFFICE,1-Hexene,2001-03-26T00:00,0.110,ug/m³,VOC,
10102,WATER STREET POST OFFICE,1-Hexene,2001-04-01T00:00,0.090,ug/m³,VOC,
10102,WATER STREET POST OFFICE,1-Hexene,2001-04-13T00:00,0.220,ug/m³,VOC,
10102,WATER STREET POST OFFICE,1-Hexene,2001-04-19T00:00,0.130,ug/m³,VOC,
10102,WATER STREET POST OFFICE,1-Hexene,2001-04-25T00:00,0.160,ug/m³,VOC,
10102,WATER STREET POST OFFICE,1-Hexene,2001-05-01T00:00,0.140,ug/m³,VOC,
10102,WATER STREET POST OFFICE,1-Hexene,2001-05-07T00:00,0.150,ug/m³,VOC,
