NAPS_Site_ID,Station_Name,Pollutant,Date,Value,Units,Report_Type,Method
10301,CREDIT UNION,1-Methylpyrene,2010-01-06T00:00,0.036,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,1-Methylpyrene,2010-01-20T00:00,0.226,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,1-Methylpyrene,2010-03-09T00:00,0.041,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,1-Methylpyrene,2010-03-21T00:00,0.040,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,1-Methylpyrene,2010-04-02T00:00,0.061,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,1-Methylpyrene,2010-04-14T00:00,0.045,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,1-Methylpyrene,2010-04-26T00:00,0.037,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,1-Methylpyrene,2010-05-08T00:00,0.018,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,1-Methylpyrene,2010-06-13T00:00,0.023,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,1-Methylpyrene,2010-08-24T00:00,0.049,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,1-Methylpyrene,2010-09-17T00:00,0.046,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,1-Methylpyrene,2010-09-29T00:00,0.027,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,1-Methylpyrene,2010-11-28T00:00,0.075,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,1-Methylpyrene,2010-12-10T00:00,0.022,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,1-Methylpyrene,2010-12-22T00:00,0.038,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,1-Methylpyrene,2011-01-03T00:00,0.074,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,1-Methylpyrene,2011-01-15T00:00,0.034,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,1-Methylpyrene,2011-01-27T00:00,0.032,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,1-Methylpyrene,2011-02-08T00:00,0.098,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,1-Methylpyrene,2011-03-16T00:00,0.043,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,1-Methylpyrene,2011-04-21T00:00,0.053,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,1-Methylpyrene,2011-05-15T00:00,0.030,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,1-Methylpyrene,2011-05-26T00:00,0.013,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,1-Methylpyrene,2011-05-27T00:00,0.002,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,1-Methylpyrene,2011-06-20T00:00,0.015,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,1-Methylpyrene,2011-08-31T00:00,0.026,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,1-Methylpyrene,2011-09-12T00:00,0.024,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,1-Methylpyrene,2011-10-06T00:00,0.015,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,1-Methylpyrene,2011-10-30T00:00,0.037,ng/m³,PAH,GC-MS TP+G
40203,FOREST HILLS,1-Methylpyrene,2010-02-13T00:00,0.014,ng/m³,PAH,GC-MS TP+G
40203,FOREST HILLS,1-Methylpyrene,2010-02-25T00:00,0.019,ng/m³,PAH,GC-MS TP+G
40203,FOREST HILLS,1-Methylpyrene,2010-03-09T00:00,0.014,ng/m³,PAH,GC-MS TP+G
40203,FOREST HILLS,1-Methylpyrene,2010-03-21T00:00,0.015,ng/m³,PAH,GC-MS TP+G
40203,FOREST HILLS,1-Methylpyrene,2010-04-02T00:00,0.018,ng/m³,PAH,GC-MS TP+G
40203,FOREST HILLS,1-Methylpyrene,2010-04-14T00:00,0.018,ng/m³,PAH,GC-MS TP+G
40203,FOREST HILLS,1-Methylpyrene,2010-05-08T00:00,0.015,ng/m³,PAH,GC-MS TP+G
40203,FOREST HILLS,1-Methylpyrene,2010-05-20T00:00,0.028,ng/m³,PAH,GC-MS TP+G
40203,FOREST HILLS,1-Methylpyrene,2010-08-12T00:00,0.026,ng/m³,PAH,GC-MS TP+G
40203,FOREST HILLS,1-Methylpyrene,2010-09-05T00:00,0.030,ng/m³,PAH,GC-MS TP+G
40203,FOREST HILLS,1-Methylpyrene,2010-09-17T00:00,0.005,ng/m³,PAH,GC-MS TP+G
40203,FOREST HILLS,1-Methylpyrene,2010-11-04T00:00,0.039,ng/m³,PAH,GC-MS TP+G
40203,FOREST HILLS,1-Methylpyrene,2011-02-20T00:00,0.010,ng/m³,PAH,GC-MS TP+G
40203,FOREST HILLS,1-Methylpyrene,2011-03-16T00:00,0.007,ng/m³,PAH,GC-MS TP+G
40203,FOREST HILLS,1-Methylpyrene,2011-04-09T00:00,0.015,ng/m³,PAH,GC-MS TP+G
40203,FOREST HILLS,1-Methylpyrene,2011-04-21T00:00,0.006,ng/m³,PAH,GC-MS TP+G
40203,FOREST HILLS,1-Methylpyrene,2011-05-03T00:00,0.014,ng/m³,PAH,GC-MS TP+G
40203,FOREST HILLS,1-Methylpyrene,2011-05-27T00:00,0.021,ng/m³,PAH,GC-MS TP+G
40203,FOREST HILLS,1-Methylpyrene,2011-06-08T00:00,0.019,ng/m³,PAH,GC-MS TP+G
40203,FOREST HILLS,1-Methylpyrene,2011-07-02T00:00,0.025,ng/m³,PAH,GC-MS TP+G
40203,FOREST HILLS,1-Methylpyrene,2011-07-14T00:00,0.004,ng/m³,PAH,GC-MS TP+G
40203,FOREST HILLS,1-Methylpyrene,2011-08-19T00:00,0.042,ng/m³,PAH,GC-MS TP+G
40203,FOREST HILLS,1-Methylpyrene,2011-12-05T00:00,0.022,ng/m³,PAH,GC-MS TP+G
40203,FOREST HILLS,1-Methylpyrene,2012-02-02T00:00,0.027,ng/m³,PAH,GC-MS TP+G
40203,FOREST HILLS,1-Methylpyrene,2012-02-15T00:00,0.178,ng/m³,PAH,GC-MS TP+G
40203,FOREST HILLS,1-Methylpyrene,2012-02-27T00:00,0.011,ng/m³,PAH,GC-MS TP+G
40203,FOREST HILLS,1-Methylpyrene,2012-03-10T00:00,0.011,ng/m³,PAH,GC-MS TP+G
40203,FOREST HILLS,1-Methylpyrene,2012-04-02T00:00,0.014,ng/m³,PAH,GC-MS TP+G
40203,FOREST HILLS,1-Methylpyrene,2012-04-15T00:00,0.068,ng/m³,PAH,GC-MS TP+G
40203,FOREST HILLS,1-Methylpyrene,2012-04-27T00:00,0.010,ng/m³,PAH,GC-MS TP+G
40203,FOREST HILLS,1-Methylpyrene,2012-05-09T00:00,0.021,ng/m³,PAH,GC-MS TP+G
40203,FOREST HILLS,1-Methylpyrene,2012-06-02T00:00,0.026,ng/m³,PAH,GC-MS TP+G
40203,FOREST HILLS,1-Methylpyrene,2012-06-26T00:00,0.011,ng/m³,PAH,GC-MS TP+G
40203,FOREST HILLS,1-Methylpyrene,2012-07-08T00:00,0.013,ng/m³,PAH,GC-MS TP+G
40203,FOREST HILLS,1-Methylpyrene,2012-08-01T00:00,0.011,ng/m³,PAH,GC-MS TP+G
40203,FOREST HILLS,1-Methylpyrene,2012-08-13T00:00,0.028,ng/m³,PAH,GC-MS TP+G
40203,FOREST HILLS,1-Methylpyrene,2012-08-25T00:00,0.033,ng/m³,PAH,GC-MS TP+G
40203,FOREST HILLS,1-Methylpyrene,2018-07-25T00:00,0.054,ng/m³,PAH,GC-MS TP+G
40203,FOREST HILLS,1-Methylpyrene,2018-07-31T00:00,0.094,ng/m³,PAH,GC-MS TP+G
40203,FOREST HILLS,1-Methylpyrene,2018-08-06T00:00,0.109,ng/m³,PAH,GC-MS TP+G
40203,FOREST HILLS,1-Methylpyrene,2018-08-12T00:00,0.097,ng/m³,PAH,GC-MS TP+G
40203,FOREST HILLS,1-Methylpyrene,2018-08-30T00:00,0.054,ng/m³,PAH,GC-MS TP+G
40203,FOREST HILLS,1-Methylpyrene,2018-09-05T00:00,0.047,ng/m³,PAH,GC-MS TP+G
40203,FOREST HILLS,1-Methylpyrene,2018-09-11T00:00,0.028,ng/m³,PAH,GC-MS TP+G
40203,FOREST HILLS,1-Methylpyrene,2018-09-23T00:00,0.013,ng/m³,PAH,GC-MS TP+G
