NAPS_Site_ID,Station_Name,Pollutant,Date,Value,Units,Report_Type,Method
40203,FOREST HILLS,"2,5-Dimethylbenzaldehyde",1993-01-13T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,"2,5-Dimethylbenzaldehyde",1993-01-19T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,"2,5-Dimethylbenzaldehyde",1993-01-25T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,"2,5-Dimethylbenzaldehyde",1993-01-31T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,"2,5-Dimethylbenzaldehyde",1993-02-06T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,"2,5-Dimethylbenzaldehyde",1993-02-12T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,"2,5-Dimethylbenzaldehyde",1993-02-18T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,"2,5-Dimethylbenzaldehyde",1993-02-24T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,"2,5-Dimethylbenzaldehyde",1993-03-08T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,"2,5-Dimethylbenzaldehyde",1993-03-20T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,"2,5-Dimethylbenzaldehyde",1993-03-26T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,"2,5-Dimethylbenzaldehyde",1993-04-01T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,"2,5-Dimethylbenzaldehyde",1993-04-07T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,"2,5-Dimethylbenzaldehyde",1993-04-13T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,"2,5-Dimethylbenzaldehyde",1993-04-19T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,"2,5-Dimethylbenzaldehyde",1993-05-01T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,"2,5-Dimethylbenzaldehyde",1993-05-07T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,"2,5-Dimethylbenzaldehyde",1993-05-13T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,"2,5-Dimethylbenzaldehyde",1993-05-19T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,"2,5-Dimethylbenzaldehyde",1993-05-31T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,"2,5-Dimethylbenzaldehyde",1993-06-06T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,"2,5-Dimethylbenzaldehyde",1993-06-12T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,"2,5-Dimethylbenzaldehyde",1993-06-18T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,"2,5-Dimethylbenzaldehyde",1993-06-24T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,"2,5-Dimethylbenzaldehyde",1993-06-30T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,"2,5-Dimethylbenzaldehyde",1993-07-12T00:00,0.228,ug/m³,VOC,
40203,FOREST HILLS,"2,5-Dimethylbenzaldehyde",1993-07-18T00:00,0.061,ug/m³,VOC,
40203,FOREST HILLS,"2,5-Dimethylbenzaldehyde",1993-07-24T00:00,0.083,ug/m³,VOC,
40203,FOREST HILLS,"2,5-Dimethylbenzaldehyde",1993-08-05T00:00,0.104,ug/m³,VOC,
40203,FOREST HILLS,"2,5-Dimethylbenzaldehyde",1993-08-11T00:00,0.070,ug/m³,VOC,
40203,FOREST HILLS,"2,5-Dimethylbenzaldehyde",1993-08-17T00:00,0.111,ug/m³,VOC,
40203,FOREST HILLS,"2,5-Dimethylbenzaldehyde",1993-08-23T00:00,0.015,ug/m³,VOC,
40203,FOREST HILLS,"2,5-Dimethylbenzaldehyde",1993-08-29T00:00,0.051,ug/m³,VOC,
40203,FOREST HILLS,"2,5-Dimethylbenzaldehyde",1993-09-10T00:00,0.005,ug/m³,VOC,
40203,FOREST HILLS,"2,5-Dimethylbenzaldehyde",1993-09-16T00:00,0.003,ug/m³,VOC,
40203,FOREST HILLS,"2,5-Dimethylbenzaldehyde",1993-09-22T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,"2,5-Dimethylbenzaldehyde",1993-09-28T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,"2,5-Dimethylbenzaldehyde",1993-10-04T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,"2,5-Dimethylbenzaldehyde",1993-10-10T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,"2,5-Dimethylbenzaldehyde",1993-11-15T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,"2,5-Dimethylbenzaldehyde",1993-11-21T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,"2,5-Dimethylbenzaldehyde",1993-11-27T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,"2,5-Dimethylbenzaldehyde",1993-12-03T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,"2,5-Dimethylbenzaldehyde",1993-12-09T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,"2,5-Dimethylbenzaldehyde",1993-12-15T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,"2,5-Dimethylbenzaldehyde",1993-12-21T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,"2,5-Dimethylbenzaldehyde",1993-12-27T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,"2,5-Dimethylbenzaldehyde",1994-01-14T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,"2,5-Dimethylbenzaldehyde",1994-01-20T00:00,0.058,ug/m³,VOC,
40203,FOREST HILLS,"2,5-Dimethylbenzaldehyde",1994-01-26T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,"2,5-Dimethylbenzaldehyde",1994-02-07T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,"2,5-Dimethylbenzaldehyde",1994-02-13T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,"2,5-Dimethylbenzaldehyde",1994-02-19T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,"2,5-Dimethylbenzaldehyde",1994-02-25T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,"2,5-Dimethylbenzaldehyde",1994-03-03T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,"2,5-Dimethylbenzaldehyde",1994-03-15T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,"2,5-Dimethylbenzaldehyde",1994-03-21T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,"2,5-Dimethylbenzaldehyde",1994-04-02T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,"2,5-Dimethylbenzaldehyde",1994-04-08T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,"2,5-Dimethylbenzaldehyde",1994-04-14T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,"2,5-Dimethylbenzaldehyde",1994-04-20T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,"2,5-Dimethylbenzaldehyde",1994-04-26T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,"2,5-Dimethylbenzaldehyde",1994-05-02T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,"2,5-Dimethylbenzaldehyde",1994-05-08T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,"2,5-Dimethylbenzaldehyde",1994-05-14T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,"2,5-Dimethylbenzaldehyde",1994-05-20T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,"2,5-Dimethylbenzaldehyde",1994-05-26T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,"2,5-Dimethylbenzaldehyde",1994-06-01T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,"2,5-Dimethylbenzaldehyde",1994-06-07T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,"2,5-Dimethylbenzaldehyde",1994-06-13T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,"2,5-Dimethylbenzaldehyde",1994-06-19T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,"2,5-Dimethylbenzaldehyde",1994-06-25T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,"2,5-Dimethylbenzaldehyde",1994-07-01T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,"2,5-Dimethylbenzaldehyde",1994-07-07T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,"2,5-Dimethylbenzaldehyde",1994-07-13T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,"2,5-Dimethylbenzaldehyde",1994-07-19T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,"2,5-Dimethylbenzaldehyde",1994-07-25T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,"2,5-Dimethylbenzaldehyde",1994-07-31T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,"2,5-Dimethylbenzaldehyde",1994-08-06T00:00,0.000,ug/m³,VOC,
40203,FOREST HILLS,"2,5-Dimethylbenzaldehyde",1994-08-12T00:00,0.000,ug/m³,VOC,
