NAPS_Site_ID,Station_Name,Pollutant,Date,Value,Units,Report_Type,Method
10102,WATER STREET POST OFFICE,2-Me-Fluorene,1999-08-10T00:00,0.042,ng/m³,PAH,
10102,WATER STREET POST OFFICE,2-Me-Fluorene,1999-08-22T00:00,0.089,ng/m³,PAH,
10102,WATER STREET POST OFFICE,2-Me-Fluorene,1999-09-03T00:00,0.121,ng/m³,PAH,
10102,WATER STREET POST OFFICE,2-Me-Fluorene,1999-10-09T00:00,0.124,ng/m³,PAH,
10102,WATER STREET POST OFFICE,2-Me-Fluorene,1999-10-15T00:00,0.039,ng/m³,PAH,
10102,WATER STREET POST OFFICE,2-Me-Fluorene,1999-10-21T00:00,0.247,ng/m³,PAH,
10102,WATER STREET POST OFFICE,2-Me-Fluorene,1999-11-08T00:00,0.447,ng/m³,PAH,
10102,WATER STREET POST OFFICE,2-Me-Fluorene,1999-11-20T00:00,0.047,ng/m³,PAH,
10102,WATER STREET POST OFFICE,2-Me-Fluorene,1999-12-02T00:00,0.140,ng/m³,PAH,
10102,WATER STREET POST OFFICE,2-Me-Fluorene,1999-12-14T00:00,0.162,ng/m³,PAH,
10102,WATER STREET POST OFFICE,2-Me-Fluorene,1999-12-26T00:00,0.081,ng/m³,PAH,
10102,WATER STREET POST OFFICE,2-Me-Fluorene,2000-01-07T00:00,0.098,ng/m³,PAH,
10102,WATER STREET POST OFFICE,2-Me-Fluorene,2000-01-19T00:00,0.355,ng/m³,PAH,
10102,WATER STREET POST OFFICE,2-Me-Fluorene,2000-01-31T00:00,0.078,ng/m³,PAH,
10102,WATER STREET POST OFFICE,2-Me-Fluorene,2000-02-24T00:00,0.088,ng/m³,PAH,
10102,WATER STREET POST OFFICE,2-Me-Fluorene,2000-03-07T00:00,0.181,ng/m³,PAH,
10102,WATER STREET POST OFFICE,2-Me-Fluorene,2000-03-31T00:00,0.094,ng/m³,PAH,
10102,WATER STREET POST OFFICE,2-Me-Fluorene,2000-04-12T00:00,0.097,ng/m³,PAH,
10102,WATER STREET POST OFFICE,2-Me-Fluorene,2000-04-24T00:00,0.033,ng/m³,PAH,
