NAPS_Site_ID,Station_Name,Pollutant,Date,Value,Units,Report_Type,Method
10301,CREDIT UNION,2-Methylfluorene,2010-01-06T00:00,0.347,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,2-Methylfluorene,2010-01-20T00:00,1.068,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,2-Methylfluorene,2010-03-09T00:00,0.158,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,2-Methylfluorene,2010-03-21T00:00,0.166,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,2-Methylfluorene,2010-04-02T00:00,0.546,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,2-Methylfluorene,2010-04-14T00:00,0.238,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,2-Methylfluorene,2010-04-26T00:00,0.202,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,2-Methylfluorene,2010-05-08T00:00,0.193,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,2-Methylfluorene,2010-06-13T00:00,0.291,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,2-Methylfluorene,2010-08-24T00:00,0.756,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,2-Methylfluorene,2010-09-17T00:00,0.369,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,2-Methylfluorene,2010-09-29T00:00,0.288,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,2-Methylfluorene,2010-11-28T00:00,0.487,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,2-Methylfluorene,2010-12-10T00:00,0.153,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,2-Methylfluorene,2010-12-22T00:00,0.162,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,2-Methylfluorene,2011-01-03T00:00,0.297,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,2-Methylfluorene,2011-01-15T00:00,0.394,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,2-Methylfluorene,2011-01-27T00:00,0.254,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,2-Methylfluorene,2011-02-08T00:00,0.690,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,2-Methylfluorene,2011-03-16T00:00,0.257,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,2-Methylfluorene,2011-04-21T00:00,0.400,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,2-Methylfluorene,2011-05-15T00:00,0.194,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,2-Methylfluorene,2011-05-26T00:00,0.395,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,2-Methylfluorene,2011-05-27T00:00,0.018,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,2-Methylfluorene,2011-06-20T00:00,0.417,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,2-Methylfluorene,2011-08-31T00:00,0.350,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,2-Methylfluorene,2011-09-12T00:00,0.263,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,2-Methylfluorene,2011-10-06T00:00,0.130,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,2-Methylfluorene,2011-10-30T00:00,0.000,ng/m³,PAH,GC-MS TP+G
