NAPS_Site_ID,Station_Name,Pollutant,Date,Value,Units,Report_Type,Method
40203,FOREST HILLS,2-Pentanone,2014-04-10T20:00,0.001,ug/m³,CARB,
40203,FOREST HILLS,2-Pentanone,2014-04-16T20:00,0.035,ug/m³,CARB,
40203,FOREST HILLS,2-Pentanone,2014-04-22T20:00,0.027,ug/m³,CARB,
40203,FOREST HILLS,2-Pentanone,2014-04-28T20:00,0.000,ug/m³,CARB,
40203,FOREST HILLS,2-Pentanone,2014-05-04T20:00,0.000,ug/m³,CARB,
40203,FOREST HILLS,2-Pentanone,2014-05-10T20:00,0.024,ug/m³,CARB,
40203,FOREST HILLS,2-Pentanone,2014-05-16T20:00,0.000,ug/m³,CARB,
40203,FOREST HILLS,2-Pentanone,2014-05-22T20:00,0.000,ug/m³,CARB,
40203,FOREST HILLS,2-Pentanone,2014-05-28T20:00,0.002,ug/m³,CARB,
40203,FOREST HILLS,2-Pentanone,2014-06-09T20:00,0.082,ug/m³,CARB,
40203,FOREST HILLS,2-Pentanone,2014-06-21T20:00,0.151,ug/m³,CARB,
40203,FOREST HILLS,2-Pentanone,2014-06-27T20:00,0.107,ug/m³,CARB,
40203,FOREST HILLS,2-Pentanone,2014-07-03T20:00,0.051,ug/m³,CARB,
40203,FOREST HILLS,2-Pentanone,2014-07-09T20:00,0.084,ug/m³,CARB,
40203,FOREST HILLS,2-Pentanone,2014-07-15T20:00,0.000,ug/m³,CARB,
40203,FOREST HILLS,2-Pentanone,2014-07-27T20:00,0.033,ug/m³,CARB,
40203,FOREST HILLS,2-Pentanone,2014-08-02T20:00,0.095,ug/m³,CARB,
40203,FOREST HILLS,2-Pentanone,2014-08-26T20:00,0.059,ug/m³,CARB,
40203,FOREST HILLS,2-Pentanone,2014-09-01T20:00,0.075,ug/m³,CARB,
40203,FOREST HILLS,2-Pentanone,2014-09-07T20:00,0.067,ug/m³,CARB,
40203,FOREST HILLS,2-Pentanone,2014-09-13T20:00,0.009,ug/m³,CARB,
40203,FOREST HILLS,2-Pentanone,2014-09-19T20:00,0.000,ug/m³,CARB,
40203,FOREST HILLS,2-Pentanone,2014-09-25T20:00,0.159,ug/m³,CARB,
40203,FOREST HILLS,2-Pentanone,2014-10-01T20:00,0.052,ug/m³,CARB,
40203,FOREST HILLS,2-Pentanone,2014-10-13T20:00,0.056,ug/m³,CARB,
40203,FOREST HILLS,2-Pentanone,2014-10-19T20:00,0.000,ug/m³,CARB,
40203,FOREST HILLS,2-Pentanone,2014-10-25T20:00,0.030,ug/m³,CARB,
40203,FOREST HILLS,2-Pentanone,2014-10-31T20:00,0.028,ug/m³,CARB,
40203,FOREST HILLS,2-Pentanone,2014-11-06T19:00,0.031,ug/m³,CARB,
40203,FOREST HILLS,2-Pentanone,2014-11-18T19:00,0.073,ug/m³,CARB,
40203,FOREST HILLS,2-Pentanone,2014-11-24T19:00,0.043,ug/m³,CARB,
40203,FOREST HILLS,2-Pentanone,2014-11-30T19:00,0.087,ug/m³,CARB,
40203,FOREST HILLS,2-Pentanone,2014-12-06T19:00,0.043,ug/m³,CARB,
40203,FOREST HILLS,2-Pentanone,2014-12-12T19:00,0.010,ug/m³,CARB,
40203,FOREST HILLS,2-Pentanone,2014-12-24T19:00,0.035,ug/m³,CARB,
40203,FOREST HILLS,2-Pentanone,2014-12-30T19:00,0.052,ug/m³,CARB,
40203,FOREST HILLS,2-Pentanone,2015-01-05T19:00,0.046,ug/m³,CARB,
40203,FOREST HILLS,2-Pentanone,2015-01-17T19:00,0.066,ug/m³,CARB,
40203,FOREST HILLS,2-Pentanone,2015-01-23T19:00,0.085,ug/m³,CARB,
40203,FOREST HILLS,2-Pentanone,2015-01-29T19:00,0.092,ug/m³,CARB,
40203,FOREST HILLS,2-Pentanone,2015-02-04T19:00,0.075,ug/m³,CARB,
40203,FOREST HILLS,2-Pentanone,2015-02-22T19:00,0.093,ug/m³,CARB,
40203,FOREST HILLS,2-Pentanone,2015-03-06T19:00,0.064,ug/m³,CARB,
40203,FOREST HILLS,2-Pentanone,2015-03-12T20:00,0.016,ug/m³,CARB,
40203,FOREST HILLS,2-Pentanone,2015-03-24T20:00,0.074,ug/m³,CARB,
40203,FOREST HILLS,2-Pentanone,2015-03-30T20:00,0.043,ug/m³,CARB,
40203,FOREST HILLS,2-Pentanone,2015-04-05T20:00,0.021,ug/m³,CARB,
40203,FOREST HILLS,2-Pentanone,2015-04-11T20:00,0.104,ug/m³,CARB,
40203,FOREST HILLS,2-Pentanone,2015-04-17T20:00,0.000,ug/m³,CARB,
40203,FOREST HILLS,2-Pentanone,2015-06-04T20:00,0.029,ug/m³,CARB,
40203,FOREST HILLS,2-Pentanone,2015-06-10T20:00,0.034,ug/m³,CARB,
40203,FOREST HILLS,2-Pentanone,2015-06-16T20:00,0.079,ug/m³,CARB,
40203,FOREST HILLS,2-Pentanone,2015-06-22T20:00,0.009,ug/m³,CARB,
40203,FOREST HILLS,2-Pentanone,2015-06-28T20:00,0.000,ug/m³,CARB,
40203,FOREST HILLS,2-Pentanone,2015-07-04T20:00,0.097,ug/m³,CARB,
40203,FOREST HILLS,2-Pentanone,2015-07-10T20:00,0.055,ug/m³,CARB,
40203,FOREST HILLS,2-Pentanone,2015-07-16T20:00,0.055,ug/m³,CARB,
40203,FOREST HILLS,2-Pentanone,2015-07-22T20:00,0.050,ug/m³,CARB,
40203,FOREST HILLS,2-Pentanone,2015-08-15T20:00,0.124,ug/m³,CARB,
40203,FOREST HILLS,2-Pentanone,2015-08-21T20:00,0.000,ug/m³,CARB,
40203,FOREST HILLS,2-Pentanone,2015-08-27T20:00,0.076,ug/m³,CARB,
40203,FOREST HILLS,2-Pentanone,2015-09-02T20:00,0.103,ug/m³,CARB,
40203,FOREST HILLS,2-Pentanone,2015-09-20T20:00,0.044,ug/m³,CARB,
40203,FOREST HILLS,2-Pentanone,2015-09-26T20:00,0.042,ug/m³,CARB,
40203,FOREST HILLS,2-Pentanone,2015-10-08T20:00,0.034,ug/m³,CARB,
40203,FOREST HILLS,2-Pentanone,2015-10-14T20:00,0.009,ug/m³,CARB,
40203,FOREST HILLS,2-Pentanone,2015-10-20T20:00,0.045,ug/m³,CARB,
40203,FOREST HILLS,2-Pentanone,2015-10-26T20:00,0.041,ug/m³,CARB,
40203,FOREST HILLS,2-Pentanone,2015-11-19T19:00,0.013,ug/m³,CARB,
40203,FOREST HILLS,2-Pentanone,2015-12-01T19:00,0.000,ug/m³,CARB,
40203,FOREST HILLS,2-Pentanone,2015-12-07T19:00,0.031,ug/m³,CARB,
40203,FOREST HILLS,2-Pentanone,2015-12-13T19:00,0.025,ug/m³,CARB,
40203,FOREST HILLS,2-Pentanone,2015-12-19T19:00,0.010,ug/m³,CARB,
40203,FOREST HILLS,2-Pentanone,2015-12-25T19:00,0.037,ug/m³,CARB,
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,2-Pentanone,2014-03-29T20:00,0.065,ug/m³,CARB,
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,2-Pentanone,2014-04-04T20:00,0.035,ug/m³,CARB,
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,2-Pentanone,2014-04-10T20:00,0.005,ug/m³,CARB,
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,2-Pentanone,2014-04-16T20:00,0.041,ug/m³,CARB,
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,2-Pentanone,2014-04-22T20:00,0.039,ug/m³,CARB,
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,2-Pentanone,2014-04-28T20:00,0.090,ug/m³,CARB,
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,2-Pentanone,2014-05-04T20:00,0.010,ug/m³,CARB,
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,2-Pentanone,2014-05-10T20:00,0.031,ug/m³,CARB,
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,2-Pentanone,2014-05-16T20:00,0.057,ug/m³,CARB,
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,2-Pentanone,2014-05-22T20:00,0.080,ug/m³,CARB,
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,2-Pentanone,2014-05-28T20:00,0.178,ug/m³,CARB,
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,2-Pentanone,2014-06-03T20:00,0.110,ug/m³,CARB,
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,2-Pentanone,2014-06-09T20:00,0.142,ug/m³,CARB,
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,2-Pentanone,2014-06-15T20:00,0.202,ug/m³,CARB,
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,2-Pentanone,2014-06-21T20:00,0.158,ug/m³,CARB,
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,2-Pentanone,2014-06-27T20:00,0.371,ug/m³,CARB,
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,2-Pentanone,2014-07-03T20:00,0.126,ug/m³,CARB,
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,2-Pentanone,2014-07-09T20:00,0.086,ug/m³,CARB,
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,2-Pentanone,2014-07-15T20:00,0.077,ug/m³,CARB,
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,2-Pentanone,2014-07-21T20:00,0.141,ug/m³,CARB,
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,2-Pentanone,2014-07-27T20:00,0.052,ug/m³,CARB,
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,2-Pentanone,2014-08-02T20:00,0.152,ug/m³,CARB,
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,2-Pentanone,2014-08-08T20:00,0.101,ug/m³,CARB,
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,2-Pentanone,2014-08-14T20:00,0.035,ug/m³,CARB,
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,2-Pentanone,2014-08-20T20:00,0.131,ug/m³,CARB,
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,2-Pentanone,2014-08-26T20:00,0.156,ug/m³,CARB,
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,2-Pentanone,2014-09-01T20:00,0.111,ug/m³,CARB,
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,2-Pentanone,2014-09-07T20:00,0.169,ug/m³,CARB,
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,2-Pentanone,2014-09-13T20:00,0.014,ug/m³,CARB,
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,2-Pentanone,2014-09-19T20:00,0.085,ug/m³,CARB,
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,2-Pentanone,2014-09-25T20:00,0.276,ug/m³,CARB,
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,2-Pentanone,2014-10-01T20:00,0.146,ug/m³,CARB,
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,2-Pentanone,2014-10-07T20:00,0.092,ug/m³,CARB,
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,2-Pentanone,2014-10-13T20:00,0.130,ug/m³,CARB,
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,2-Pentanone,2014-10-19T20:00,0.068,ug/m³,CARB,
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,2-Pentanone,2014-10-25T20:00,0.027,ug/m³,CARB,
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,2-Pentanone,2014-10-31T20:00,0.019,ug/m³,CARB,
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,2-Pentanone,2014-11-06T19:00,0.030,ug/m³,CARB,
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,2-Pentanone,2014-11-12T19:00,0.025,ug/m³,CARB,
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,2-Pentanone,2014-11-18T19:00,0.058,ug/m³,CARB,
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,2-Pentanone,2014-11-24T19:00,0.085,ug/m³,CARB,
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,2-Pentanone,2014-11-30T19:00,0.075,ug/m³,CARB,
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,2-Pentanone,2014-12-06T19:00,0.087,ug/m³,CARB,
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,2-Pentanone,2014-12-18T19:00,0.079,ug/m³,CARB,
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,2-Pentanone,2014-12-24T19:00,0.076,ug/m³,CARB,
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,2-Pentanone,2014-12-30T19:00,0.048,ug/m³,CARB,
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,2-Pentanone,2015-01-05T19:00,0.145,ug/m³,CARB,
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,2-Pentanone,2015-01-11T19:00,0.157,ug/m³,CARB,
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,2-Pentanone,2015-01-17T19:00,0.149,ug/m³,CARB,
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,2-Pentanone,2015-01-29T19:00,0.074,ug/m³,CARB,
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,2-Pentanone,2015-02-04T19:00,0.063,ug/m³,CARB,
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,2-Pentanone,2015-02-10T19:00,0.098,ug/m³,CARB,
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,2-Pentanone,2015-02-16T19:00,0.161,ug/m³,CARB,
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,2-Pentanone,2015-02-22T19:00,0.071,ug/m³,CARB,
