NAPS_Site_ID,Station_Name,Pollutant,Date,Value,Units,Report_Type,Method
30117,BEDFORD ROW POST OFFICE,2-methyl-2-Pentene,1990-01-05T00:00,0.350,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,2-methyl-2-Pentene,1990-01-11T00:00,0.420,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,2-methyl-2-Pentene,1990-01-17T00:00,0.470,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,2-methyl-2-Pentene,1990-01-23T00:00,0.490,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,2-methyl-2-Pentene,1990-01-29T00:00,0.100,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,2-methyl-2-Pentene,1990-02-04T00:00,0.130,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,2-methyl-2-Pentene,1990-02-10T00:00,0.270,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,2-methyl-2-Pentene,1990-02-16T00:00,0.350,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,2-methyl-2-Pentene,1990-02-22T00:00,0.340,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,2-methyl-2-Pentene,1990-03-06T00:00,0.240,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,2-methyl-2-Pentene,1990-04-05T00:00,0.310,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,2-methyl-2-Pentene,1990-04-11T00:00,0.280,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,2-methyl-2-Pentene,1990-04-17T00:00,0.290,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,2-methyl-2-Pentene,1990-04-23T00:00,0.090,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,2-methyl-2-Pentene,1990-04-29T00:00,0.100,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,2-methyl-2-Pentene,1990-05-17T00:00,0.310,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,2-methyl-2-Pentene,1990-05-23T00:00,0.120,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,2-methyl-2-Pentene,1990-05-29T00:00,0.190,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,2-methyl-2-Pentene,1990-06-04T00:00,0.000,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,2-methyl-2-Pentene,1990-06-10T00:00,0.033,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,2-methyl-2-Pentene,1990-06-16T00:00,0.118,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,2-methyl-2-Pentene,1990-06-22T00:00,0.117,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,2-methyl-2-Pentene,1990-06-28T00:00,0.068,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,2-methyl-2-Pentene,1990-07-04T00:00,0.097,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,2-methyl-2-Pentene,1990-07-10T00:00,0.083,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,2-methyl-2-Pentene,1990-07-16T00:00,0.082,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,2-methyl-2-Pentene,1990-07-22T00:00,0.092,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,2-methyl-2-Pentene,1990-07-28T00:00,0.196,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,2-methyl-2-Pentene,1990-08-03T00:00,0.097,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,2-methyl-2-Pentene,1990-08-09T00:00,0.234,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,2-methyl-2-Pentene,1990-08-15T00:00,0.101,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,2-methyl-2-Pentene,1990-08-21T00:00,0.171,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,2-methyl-2-Pentene,1990-08-27T00:00,0.034,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,2-methyl-2-Pentene,1990-09-02T00:00,0.054,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,2-methyl-2-Pentene,1990-09-20T00:00,0.000,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,2-methyl-2-Pentene,1990-09-26T00:00,0.000,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,2-methyl-2-Pentene,1990-10-02T00:00,0.103,ug/m³,VOC,
30118,VOGUE BUILDING,2-methyl-2-Pentene,1990-12-07T00:00,0.289,ug/m³,VOC,
30118,VOGUE BUILDING,2-methyl-2-Pentene,1990-12-13T00:00,0.144,ug/m³,VOC,
30118,VOGUE BUILDING,2-methyl-2-Pentene,1990-12-19T00:00,0.077,ug/m³,VOC,
30118,VOGUE BUILDING,2-methyl-2-Pentene,1990-12-25T00:00,0.000,ug/m³,VOC,
30118,VOGUE BUILDING,2-methyl-2-Pentene,1990-12-31T00:00,0.056,ug/m³,VOC,
