NAPS_Site_ID,Station_Name,Pollutant,Date,Value,Units,Report_Type,Method
30117,BEDFORD ROW POST OFFICE,3-Methyloctane,1989-06-09T00:00,0.157,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,3-Methyloctane,1989-06-15T00:00,0.370,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,3-Methyloctane,1989-06-21T00:00,0.370,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,3-Methyloctane,1989-07-21T00:00,0.379,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,3-Methyloctane,1989-08-02T00:00,0.528,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,3-Methyloctane,1989-08-08T00:00,0.481,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,3-Methyloctane,1989-08-14T00:00,0.285,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,3-Methyloctane,1989-08-20T00:00,0.467,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,3-Methyloctane,1989-08-26T00:00,0.142,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,3-Methyloctane,1989-09-07T00:00,0.393,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,3-Methyloctane,1989-09-13T00:00,0.312,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,3-Methyloctane,1989-09-19T00:00,0.217,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,3-Methyloctane,1989-09-25T00:00,0.352,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,3-Methyloctane,1989-10-01T00:00,0.280,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,3-Methyloctane,1989-10-07T00:00,0.280,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,3-Methyloctane,1989-10-13T00:00,0.314,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,3-Methyloctane,1989-10-19T00:00,0.119,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,3-Methyloctane,1989-10-25T00:00,0.784,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,3-Methyloctane,1989-10-31T00:00,0.287,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,3-Methyloctane,1989-11-06T00:00,0.278,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,3-Methyloctane,1989-11-12T00:00,0.000,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,3-Methyloctane,1989-11-18T00:00,0.355,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,3-Methyloctane,1989-11-24T00:00,0.149,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,3-Methyloctane,1989-11-30T00:00,0.177,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,3-Methyloctane,1989-12-06T00:00,0.181,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,3-Methyloctane,1990-01-05T00:00,0.309,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,3-Methyloctane,1990-01-11T00:00,0.368,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,3-Methyloctane,1990-01-17T00:00,0.314,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,3-Methyloctane,1990-01-23T00:00,0.510,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,3-Methyloctane,1990-01-29T00:00,0.243,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,3-Methyloctane,1990-02-04T00:00,0.168,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,3-Methyloctane,1990-02-10T00:00,0.195,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,3-Methyloctane,1990-02-16T00:00,0.322,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,3-Methyloctane,1990-02-22T00:00,0.281,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,3-Methyloctane,1990-03-06T00:00,0.237,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,3-Methyloctane,1990-04-05T00:00,0.300,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,3-Methyloctane,1990-04-11T00:00,0.177,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,3-Methyloctane,1990-04-17T00:00,0.360,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,3-Methyloctane,1990-04-23T00:00,0.126,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,3-Methyloctane,1990-04-29T00:00,0.000,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,3-Methyloctane,1990-05-17T00:00,0.320,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,3-Methyloctane,1990-05-23T00:00,0.110,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,3-Methyloctane,1990-05-29T00:00,0.287,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,3-Methyloctane,1990-06-04T00:00,0.000,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,3-Methyloctane,1990-06-10T00:00,0.000,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,3-Methyloctane,1990-06-16T00:00,0.000,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,3-Methyloctane,1990-06-22T00:00,0.000,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,3-Methyloctane,1990-06-28T00:00,0.000,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,3-Methyloctane,1990-07-04T00:00,0.000,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,3-Methyloctane,1990-07-10T00:00,0.000,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,3-Methyloctane,1990-07-16T00:00,0.000,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,3-Methyloctane,1990-07-22T00:00,0.000,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,3-Methyloctane,1990-07-28T00:00,0.000,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,3-Methyloctane,1990-08-03T00:00,0.000,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,3-Methyloctane,1990-08-09T00:00,0.000,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,3-Methyloctane,1990-08-15T00:00,0.000,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,3-Methyloctane,1990-08-21T00:00,0.000,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,3-Methyloctane,1990-08-27T00:00,0.138,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,3-Methyloctane,1990-09-02T00:00,0.000,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,3-Methyloctane,1990-09-20T00:00,0.559,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,3-Methyloctane,1990-09-26T00:00,0.000,ug/m³,VOC,
30117,BEDFORD ROW POST OFFICE,3-Methyloctane,1990-10-02T00:00,0.525,ug/m³,VOC,
30118,VOGUE BUILDING,3-Methyloctane,1990-12-07T00:00,0.000,ug/m³,VOC,
30118,VOGUE BUILDING,3-Methyloctane,1990-12-13T00:00,0.000,ug/m³,VOC,
30118,VOGUE BUILDING,3-Methyloctane,1990-12-19T00:00,0.000,ug/m³,VOC,
30118,VOGUE BUILDING,3-Methyloctane,1990-12-25T00:00,0.000,ug/m³,VOC,
30118,VOGUE BUILDING,3-Methyloctane,1990-12-31T00:00,0.000,ug/m³,VOC,
50103,MONTRÉAL-SAINT-JEAN-BAPTISTE,3-Methyloctane,1989-01-16T00:00,0.000,ug/m³,VOC,
50103,MONTRÉAL-SAINT-JEAN-BAPTISTE,3-Methyloctane,1989-01-22T00:00,0.089,ug/m³,VOC,
50103,MONTRÉAL-SAINT-JEAN-BAPTISTE,3-Methyloctane,1989-01-28T00:00,0.086,ug/m³,VOC,
50103,MONTRÉAL-SAINT-JEAN-BAPTISTE,3-Methyloctane,1989-02-03T00:00,0.000,ug/m³,VOC,
50103,MONTRÉAL-SAINT-JEAN-BAPTISTE,3-Methyloctane,1989-02-09T00:00,0.000,ug/m³,VOC,
50103,MONTRÉAL-SAINT-JEAN-BAPTISTE,3-Methyloctane,1989-02-15T00:00,0.000,ug/m³,VOC,
50103,MONTRÉAL-SAINT-JEAN-BAPTISTE,3-Methyloctane,1989-02-21T00:00,0.000,ug/m³,VOC,
50103,MONTRÉAL-SAINT-JEAN-BAPTISTE,3-Methyloctane,1989-02-27T00:00,0.120,ug/m³,VOC,
50103,MONTRÉAL-SAINT-JEAN-BAPTISTE,3-Methyloctane,1989-03-05T00:00,0.375,ug/m³,VOC,
50103,MONTRÉAL-SAINT-JEAN-BAPTISTE,3-Methyloctane,1989-03-11T00:00,0.000,ug/m³,VOC,
50103,MONTRÉAL-SAINT-JEAN-BAPTISTE,3-Methyloctane,1989-03-17T00:00,1.365,ug/m³,VOC,
50103,MONTRÉAL-SAINT-JEAN-BAPTISTE,3-Methyloctane,1989-03-23T00:00,0.000,ug/m³,VOC,
50103,MONTRÉAL-SAINT-JEAN-BAPTISTE,3-Methyloctane,1989-03-29T00:00,0.000,ug/m³,VOC,
50103,MONTRÉAL-SAINT-JEAN-BAPTISTE,3-Methyloctane,1989-04-04T00:00,0.069,ug/m³,VOC,
50103,MONTRÉAL-SAINT-JEAN-BAPTISTE,3-Methyloctane,1989-04-16T00:00,0.000,ug/m³,VOC,
50103,MONTRÉAL-SAINT-JEAN-BAPTISTE,3-Methyloctane,1989-04-28T00:00,0.000,ug/m³,VOC,
50103,MONTRÉAL-SAINT-JEAN-BAPTISTE,3-Methyloctane,1989-05-04T00:00,0.000,ug/m³,VOC,
50103,MONTRÉAL-SAINT-JEAN-BAPTISTE,3-Methyloctane,1989-05-10T00:00,0.000,ug/m³,VOC,
50103,MONTRÉAL-SAINT-JEAN-BAPTISTE,3-Methyloctane,1989-05-16T00:00,0.142,ug/m³,VOC,
50103,MONTRÉAL-SAINT-JEAN-BAPTISTE,3-Methyloctane,1989-05-22T00:00,0.078,ug/m³,VOC,
50103,MONTRÉAL-SAINT-JEAN-BAPTISTE,3-Methyloctane,1989-05-28T00:00,0.043,ug/m³,VOC,
50103,MONTRÉAL-SAINT-JEAN-BAPTISTE,3-Methyloctane,1989-06-09T00:00,0.132,ug/m³,VOC,
50103,MONTRÉAL-SAINT-JEAN-BAPTISTE,3-Methyloctane,1989-06-15T00:00,0.000,ug/m³,VOC,
50103,MONTRÉAL-SAINT-JEAN-BAPTISTE,3-Methyloctane,1989-06-21T00:00,0.000,ug/m³,VOC,
50103,MONTRÉAL-SAINT-JEAN-BAPTISTE,3-Methyloctane,1989-07-03T00:00,0.704,ug/m³,VOC,
50103,MONTRÉAL-SAINT-JEAN-BAPTISTE,3-Methyloctane,1989-07-21T00:00,0.093,ug/m³,VOC,
50103,MONTRÉAL-SAINT-JEAN-BAPTISTE,3-Methyloctane,1989-07-27T00:00,0.137,ug/m³,VOC,
50103,MONTRÉAL-SAINT-JEAN-BAPTISTE,3-Methyloctane,1989-08-08T00:00,0.000,ug/m³,VOC,
50103,MONTRÉAL-SAINT-JEAN-BAPTISTE,3-Methyloctane,1989-08-14T00:00,0.146,ug/m³,VOC,
50103,MONTRÉAL-SAINT-JEAN-BAPTISTE,3-Methyloctane,1989-08-26T00:00,0.125,ug/m³,VOC,
50103,MONTRÉAL-SAINT-JEAN-BAPTISTE,3-Methyloctane,1989-09-07T00:00,0.043,ug/m³,VOC,
50103,MONTRÉAL-SAINT-JEAN-BAPTISTE,3-Methyloctane,1989-09-13T00:00,0.000,ug/m³,VOC,
50103,MONTRÉAL-SAINT-JEAN-BAPTISTE,3-Methyloctane,1989-09-19T00:00,0.000,ug/m³,VOC,
50103,MONTRÉAL-SAINT-JEAN-BAPTISTE,3-Methyloctane,1989-09-25T00:00,0.000,ug/m³,VOC,
50103,MONTRÉAL-SAINT-JEAN-BAPTISTE,3-Methyloctane,1989-10-07T00:00,0.087,ug/m³,VOC,
50103,MONTRÉAL-SAINT-JEAN-BAPTISTE,3-Methyloctane,1989-10-25T00:00,0.000,ug/m³,VOC,
50103,MONTRÉAL-SAINT-JEAN-BAPTISTE,3-Methyloctane,1989-10-31T00:00,0.000,ug/m³,VOC,
50103,MONTRÉAL-SAINT-JEAN-BAPTISTE,3-Methyloctane,1989-11-06T00:00,0.000,ug/m³,VOC,
50103,MONTRÉAL-SAINT-JEAN-BAPTISTE,3-Methyloctane,1989-11-12T00:00,0.119,ug/m³,VOC,
50103,MONTRÉAL-SAINT-JEAN-BAPTISTE,3-Methyloctane,1989-11-18T00:00,0.000,ug/m³,VOC,
50103,MONTRÉAL-SAINT-JEAN-BAPTISTE,3-Methyloctane,1989-11-24T00:00,0.000,ug/m³,VOC,
50103,MONTRÉAL-SAINT-JEAN-BAPTISTE,3-Methyloctane,1989-11-30T00:00,0.052,ug/m³,VOC,
50103,MONTRÉAL-SAINT-JEAN-BAPTISTE,3-Methyloctane,1989-12-06T00:00,0.130,ug/m³,VOC,
50103,MONTRÉAL-SAINT-JEAN-BAPTISTE,3-Methyloctane,1989-12-12T00:00,0.000,ug/m³,VOC,
50103,MONTRÉAL-SAINT-JEAN-BAPTISTE,3-Methyloctane,1989-12-18T00:00,0.000,ug/m³,VOC,
50103,MONTRÉAL-SAINT-JEAN-BAPTISTE,3-Methyloctane,1990-01-11T00:00,0.000,ug/m³,VOC,
50103,MONTRÉAL-SAINT-JEAN-BAPTISTE,3-Methyloctane,1990-01-23T00:00,0.000,ug/m³,VOC,
50103,MONTRÉAL-SAINT-JEAN-BAPTISTE,3-Methyloctane,1990-01-29T00:00,0.046,ug/m³,VOC,
50103,MONTRÉAL-SAINT-JEAN-BAPTISTE,3-Methyloctane,1990-02-04T00:00,0.000,ug/m³,VOC,
50103,MONTRÉAL-SAINT-JEAN-BAPTISTE,3-Methyloctane,1990-02-10T00:00,0.101,ug/m³,VOC,
50103,MONTRÉAL-SAINT-JEAN-BAPTISTE,3-Methyloctane,1990-02-22T00:00,0.053,ug/m³,VOC,
