NAPS_Site_ID,Station_Name,Pollutant,Date,Value,Units,Report_Type,Method
10102,WATER STREET POST OFFICE,A-Pinene,2018-02-07T00:00,0.025,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,A-Pinene,2018-02-13T00:00,0.005,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,A-Pinene,2018-02-19T00:00,0.009,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,A-Pinene,2018-02-25T00:00,0.000,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,A-Pinene,2018-03-03T00:00,0.012,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,A-Pinene,2018-03-09T00:00,0.007,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,A-Pinene,2018-03-15T00:00,0.035,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,A-Pinene,2018-03-21T00:00,0.016,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,A-Pinene,2018-03-27T00:00,0.025,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,A-Pinene,2018-04-02T00:00,0.024,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,A-Pinene,2018-04-08T00:00,0.012,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,A-Pinene,2018-04-14T00:00,0.013,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,A-Pinene,2018-04-20T00:00,0.012,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,A-Pinene,2018-04-26T00:00,0.063,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,A-Pinene,2018-05-02T00:00,0.027,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,A-Pinene,2018-05-08T00:00,0.034,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,A-Pinene,2018-05-14T00:00,0.052,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,A-Pinene,2018-06-01T00:00,0.082,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,A-Pinene,2018-06-07T00:00,0.042,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,A-Pinene,2018-06-13T00:00,0.044,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,A-Pinene,2018-06-19T00:00,0.069,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,A-Pinene,2018-06-25T00:00,0.043,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,A-Pinene,2018-07-01T00:00,0.100,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,A-Pinene,2018-07-07T00:00,0.091,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,A-Pinene,2018-07-13T00:00,0.127,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,A-Pinene,2018-07-19T00:00,0.185,ug/m³,VOC,GC-MS
