NAPS_Site_ID,Station_Name,Pollutant,Date,Value,Units,Report_Type,Method
10102,WATER STREET POST OFFICE,Acenaphthylene,1999-08-10T00:00,0.027,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Acenaphthylene,1999-08-22T00:00,0.020,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Acenaphthylene,1999-09-03T00:00,0.275,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Acenaphthylene,1999-10-09T00:00,0.036,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Acenaphthylene,1999-10-15T00:00,0.007,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Acenaphthylene,1999-10-21T00:00,0.385,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Acenaphthylene,1999-11-08T00:00,4.243,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Acenaphthylene,1999-11-20T00:00,0.085,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Acenaphthylene,1999-12-02T00:00,0.638,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Acenaphthylene,1999-12-14T00:00,0.345,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Acenaphthylene,1999-12-26T00:00,0.335,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Acenaphthylene,2000-01-07T00:00,0.194,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Acenaphthylene,2000-01-19T00:00,1.585,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Acenaphthylene,2000-01-31T00:00,0.101,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Acenaphthylene,2000-02-24T00:00,0.112,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Acenaphthylene,2000-03-07T00:00,0.529,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Acenaphthylene,2000-03-31T00:00,0.087,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Acenaphthylene,2000-04-12T00:00,0.302,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Acenaphthylene,2000-04-24T00:00,0.125,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Acenaphthylene,2000-05-18T00:00,0.082,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Acenaphthylene,2000-05-30T00:00,0.036,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Acenaphthylene,2000-06-11T00:00,0.971,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Acenaphthylene,2000-06-23T00:00,0.026,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Acenaphthylene,2000-07-05T00:00,0.011,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Acenaphthylene,2000-07-29T00:00,0.022,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Acenaphthylene,2000-08-10T00:00,0.008,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Acenaphthylene,2000-08-22T00:00,0.035,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Acenaphthylene,2000-09-03T00:00,0.006,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Acenaphthylene,2000-09-15T00:00,0.011,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Acenaphthylene,2000-09-27T00:00,0.037,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Acenaphthylene,2000-11-14T00:00,0.844,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Acenaphthylene,2000-11-26T00:00,2.018,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Acenaphthylene,2000-12-08T00:00,0.297,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Acenaphthylene,2000-12-20T00:00,0.291,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Acenaphthylene,2001-01-13T00:00,1.116,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Acenaphthylene,2001-02-06T00:00,0.022,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Acenaphthylene,2001-03-02T00:00,0.037,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Acenaphthylene,2001-03-14T00:00,0.074,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Acenaphthylene,2001-03-26T00:00,0.058,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Acenaphthylene,2001-04-07T00:00,0.117,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Acenaphthylene,2001-04-19T00:00,0.097,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Acenaphthylene,2001-05-01T00:00,0.178,ng/m³,PAH,
