NAPS_Site_ID,Station_Name,Pollutant,Date,Value,Units,Report_Type,Method
30501,KEJIMKUJIK NATIONAL PARK,Acetaldehyde,1996-06-10T00:00,0.240,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Acetaldehyde,1996-06-11T00:00,0.671,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Acetaldehyde,1996-06-12T00:00,1.590,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Acetaldehyde,1996-06-13T00:00,0.156,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Acetaldehyde,1996-06-14T00:00,1.020,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Acetaldehyde,1996-06-15T00:00,0.967,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Acetaldehyde,1996-06-18T00:00,0.847,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Acetaldehyde,1996-06-19T00:00,0.975,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Acetaldehyde,1996-06-20T00:00,0.964,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Acetaldehyde,1996-06-21T00:00,0.379,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Acetaldehyde,1996-06-22T00:00,0.785,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Acetaldehyde,1996-06-23T00:00,0.739,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Acetaldehyde,1996-06-24T00:00,0.942,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Acetaldehyde,1996-06-25T00:00,0.304,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Acetaldehyde,1996-06-26T00:00,1.086,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Acetaldehyde,1996-06-27T00:00,1.584,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Acetaldehyde,1996-06-28T00:00,1.301,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Acetaldehyde,1996-06-29T00:00,1.688,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Acetaldehyde,1996-06-30T00:00,0.555,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Acetaldehyde,1996-07-01T00:00,1.081,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Acetaldehyde,1996-07-02T00:00,1.097,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Acetaldehyde,1996-07-03T00:00,0.881,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Acetaldehyde,1996-07-04T00:00,2.538,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Acetaldehyde,1996-07-05T00:00,0.991,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Acetaldehyde,1996-07-06T00:00,0.859,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Acetaldehyde,1996-07-07T00:00,0.824,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Acetaldehyde,1996-07-08T00:00,0.597,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Acetaldehyde,1996-07-09T00:00,0.551,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Acetaldehyde,1996-07-10T00:00,1.054,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Acetaldehyde,1996-07-11T00:00,0.504,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Acetaldehyde,1996-07-12T00:00,1.013,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Acetaldehyde,1996-07-13T00:00,0.000,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Acetaldehyde,1996-07-14T00:00,0.920,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Acetaldehyde,1996-07-18T00:00,0.572,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Acetaldehyde,1996-07-20T00:00,0.774,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Acetaldehyde,1996-07-21T00:00,0.721,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Acetaldehyde,1996-07-22T00:00,0.905,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Acetaldehyde,1996-07-23T00:00,0.799,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Acetaldehyde,1996-07-24T00:00,0.716,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Acetaldehyde,1996-07-27T00:00,0.691,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Acetaldehyde,1996-07-28T00:00,0.696,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Acetaldehyde,1996-07-29T00:00,0.644,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Acetaldehyde,1996-07-30T00:00,0.717,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Acetaldehyde,1996-07-31T00:00,0.431,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Acetaldehyde,1996-08-01T00:00,0.416,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Acetaldehyde,1996-08-02T00:00,0.141,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Acetaldehyde,1996-08-03T00:00,0.204,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Acetaldehyde,1996-08-04T00:00,0.136,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Acetaldehyde,1996-08-05T00:00,0.132,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Acetaldehyde,1996-08-06T00:00,0.047,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Acetaldehyde,1998-03-24T00:00,0.521,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Acetaldehyde,1998-03-30T00:00,0.659,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Acetaldehyde,1998-04-05T00:00,0.176,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Acetaldehyde,1998-04-11T00:00,0.588,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Acetaldehyde,1998-04-17T00:00,0.244,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Acetaldehyde,1998-04-23T00:00,0.590,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Acetaldehyde,1998-04-29T00:00,0.855,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Acetaldehyde,1998-05-05T00:00,0.555,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Acetaldehyde,1998-05-11T00:00,0.610,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Acetaldehyde,1998-05-20T00:00,0.786,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Acetaldehyde,1998-05-23T00:00,0.513,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Acetaldehyde,1998-05-29T00:00,2.345,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Acetaldehyde,1998-06-10T00:00,0.454,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Acetaldehyde,1998-06-13T00:00,0.413,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Acetaldehyde,1998-06-19T00:00,0.045,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Acetaldehyde,1998-06-22T00:00,0.100,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Acetaldehyde,1998-07-01T00:00,0.456,ug/m³,VOC,
