NAPS_Site_ID,Station_Name,Pollutant,Date,Value,Units,Report_Type,Method
30113,JOHNSTON BUILDING,Ammonia,2010-01-08T00:00,0.590,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-01-08T00:00,0.787,ppbv,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-01-11T00:00,0.774,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-01-11T00:00,1.003,ppbv,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-01-14T00:00,0.813,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-01-14T00:00,1.064,ppbv,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-01-17T00:00,0.467,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-01-17T00:00,0.603,ppbv,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-01-20T00:00,0.562,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-01-20T00:00,0.748,ppbv,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-01-23T00:00,0.932,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-01-23T00:00,1.196,ppbv,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-01-26T00:00,0.576,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-01-26T00:00,0.790,ppbv,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-01-29T00:00,0.223,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-01-29T00:00,0.296,ppbv,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-02-01T00:00,0.639,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-02-01T00:00,0.823,ppbv,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-02-04T00:00,0.469,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-02-04T00:00,0.604,ppbv,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-02-07T00:00,0.414,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-02-07T00:00,0.552,ppbv,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-02-10T00:00,0.630,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-02-10T00:00,0.842,ppbv,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-02-13T00:00,0.588,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-02-13T00:00,0.800,ppbv,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-02-16T00:00,0.452,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-02-16T00:00,0.608,ppbv,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-02-19T00:00,0.601,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-02-19T00:00,0.823,ppbv,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-02-22T00:00,0.414,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-02-22T00:00,0.554,ppbv,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-02-25T00:00,0.421,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-02-25T00:00,0.555,ppbv,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-02-28T00:00,0.299,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-02-28T00:00,0.404,ppbv,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-03-03T00:00,0.516,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-03-03T00:00,0.689,ppbv,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-03-06T00:00,0.458,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-03-06T00:00,0.614,ppbv,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-03-09T00:00,0.705,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-03-09T00:00,0.943,ppbv,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-03-12T00:00,0.712,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-03-12T00:00,0.941,ppbv,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-03-15T00:00,0.419,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-03-15T00:00,0.560,ppbv,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-03-18T00:00,0.998,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-03-18T00:00,1.378,ppbv,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-03-21T00:00,0.266,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-03-21T00:00,0.358,ppbv,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-03-24T00:00,0.716,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-03-24T00:00,0.986,ppbv,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-03-27T00:00,0.353,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-03-27T00:00,0.453,ppbv,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-03-30T00:00,0.649,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-03-30T00:00,0.879,ppbv,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-04-02T00:00,0.519,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-04-02T00:00,0.705,ppbv,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-04-05T00:00,0.907,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-04-05T00:00,1.260,ppbv,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-04-08T00:00,0.876,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-04-08T00:00,1.210,ppbv,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-04-11T00:00,0.914,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-04-11T00:00,1.252,ppbv,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-04-14T00:00,0.765,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-04-14T00:00,1.017,ppbv,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-04-17T00:00,0.446,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-04-17T00:00,0.602,ppbv,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-04-20T00:00,0.615,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-04-20T00:00,0.841,ppbv,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-04-23T00:00,0.608,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-04-23T00:00,0.836,ppbv,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-04-26T00:00,0.442,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-04-26T00:00,0.613,ppbv,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-04-29T00:00,0.755,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-04-29T00:00,1.047,ppbv,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-05-02T00:00,0.919,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-05-02T00:00,1.259,ppbv,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-05-05T00:00,0.899,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-05-05T00:00,1.254,ppbv,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-05-08T00:00,0.730,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-05-08T00:00,1.008,ppbv,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-05-11T00:00,0.700,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-05-11T00:00,0.951,ppbv,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-05-14T00:00,0.931,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-05-14T00:00,1.289,ppbv,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-05-17T00:00,0.755,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-05-17T00:00,1.042,ppbv,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-05-20T00:00,0.911,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-05-20T00:00,1.262,ppbv,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-05-23T00:00,0.909,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-05-23T00:00,1.261,ppbv,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-05-26T00:00,0.776,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-05-26T00:00,1.082,ppbv,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-05-29T00:00,1.117,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-05-29T00:00,1.583,ppbv,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-06-01T00:00,0.638,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-06-01T00:00,0.875,ppbv,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-06-04T00:00,1.103,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-06-04T00:00,1.562,ppbv,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-06-07T00:00,1.049,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-06-07T00:00,1.489,ppbv,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-06-10T00:00,1.107,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-06-10T00:00,1.548,ppbv,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-06-13T00:00,0.674,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-06-13T00:00,0.935,ppbv,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-06-16T00:00,0.902,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-06-16T00:00,1.277,ppbv,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-06-19T00:00,0.597,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-06-19T00:00,0.834,ppbv,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-06-22T00:00,0.793,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-06-22T00:00,1.111,ppbv,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-06-25T00:00,1.421,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-06-25T00:00,2.041,ppbv,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-06-28T00:00,0.538,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-06-28T00:00,0.757,ppbv,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-07-01T00:00,1.244,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-07-01T00:00,1.761,ppbv,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-07-04T00:00,0.747,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-07-04T00:00,1.057,ppbv,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-07-07T00:00,0.981,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-07-07T00:00,1.400,ppbv,PM2.5,IC
30113,JOHNSTON BUILDING,Ammonia,2010-07-10T00:00,1.018,µg/m³,PM2.5,IC
