NAPS_Site_ID,Station_Name,Pollutant,Date,Value,Units,Report_Type,Method
10102,WATER STREET POST OFFICE,Ammonium,2016-06-23T00:00,0.237,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Ammonium,2016-06-29T00:00,0.177,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Ammonium,2016-07-05T00:00,0.064,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Ammonium,2016-07-11T00:00,0.033,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Ammonium,2016-07-17T00:00,0.525,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Ammonium,2016-07-23T00:00,0.348,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Ammonium,2016-07-29T00:00,0.424,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Ammonium,2016-08-04T00:00,0.348,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Ammonium,2016-08-10T00:00,0.089,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Ammonium,2016-08-16T00:00,0.344,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Ammonium,2016-08-22T00:00,0.229,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Ammonium,2016-08-28T00:00,0.031,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Ammonium,2016-09-03T00:00,0.076,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Ammonium,2016-09-09T00:00,0.079,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Ammonium,2016-09-15T00:00,0.201,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Ammonium,2016-09-21T00:00,0.085,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Ammonium,2016-10-09T00:00,0.132,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Ammonium,2016-10-15T00:00,0.039,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Ammonium,2016-10-21T00:00,0.207,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Ammonium,2016-10-27T00:00,0.019,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Ammonium,2016-11-02T00:00,0.092,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Ammonium,2016-11-08T00:00,0.825,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Ammonium,2016-11-14T00:00,0.165,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Ammonium,2016-11-20T00:00,0.048,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Ammonium,2016-11-26T00:00,0.100,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Ammonium,2016-12-02T00:00,0.018,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Ammonium,2016-12-08T00:00,0.263,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Ammonium,2016-12-14T00:00,0.306,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Ammonium,2016-12-20T00:00,0.300,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Ammonium,2016-12-26T00:00,0.076,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Ammonium,2017-01-01T00:00,0.193,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Ammonium,2017-01-07T00:00,0.422,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Ammonium,2017-01-13T00:00,0.321,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Ammonium,2017-01-19T00:00,0.393,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Ammonium,2017-01-25T00:00,0.474,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Ammonium,2017-01-31T00:00,0.299,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Ammonium,2017-02-12T00:00,0.171,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Ammonium,2017-02-18T00:00,0.360,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Ammonium,2017-02-24T00:00,0.268,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Ammonium,2017-03-02T00:00,0.705,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Ammonium,2017-03-20T00:00,0.285,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Ammonium,2017-03-26T00:00,0.383,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Ammonium,2017-04-01T00:00,0.091,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Ammonium,2017-04-07T00:00,0.312,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Ammonium,2017-04-13T00:00,0.409,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Ammonium,2017-04-19T00:00,0.116,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Ammonium,2017-04-25T00:00,0.379,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Ammonium,2017-05-01T00:00,0.258,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Ammonium,2017-05-19T00:00,0.190,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Ammonium,2017-05-25T00:00,0.048,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Ammonium,2017-07-24T00:00,0.136,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Ammonium,2017-07-30T00:00,0.035,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Ammonium,2017-08-05T00:00,0.348,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Ammonium,2017-08-11T00:00,0.224,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Ammonium,2017-08-17T00:00,0.074,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Ammonium,2017-08-23T00:00,0.666,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Ammonium,2017-08-29T00:00,0.318,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Ammonium,2017-09-04T00:00,0.154,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Ammonium,2017-09-10T00:00,0.013,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Ammonium,2017-09-16T00:00,0.112,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Ammonium,2017-09-22T00:00,0.055,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Ammonium,2017-09-28T00:00,0.075,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Ammonium,2017-10-16T00:00,0.230,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Ammonium,2017-10-22T00:00,0.017,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Ammonium,2017-10-28T00:00,0.134,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Ammonium,2017-11-03T00:00,0.134,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Ammonium,2017-11-09T00:00,0.062,µg/m³,PM2.5,IC
