NAPS_Site_ID,Station_Name,Pollutant,Date,Value,Units,Report_Type,Method
10102,WATER STREET POST OFFICE,Anthracene,1999-08-10T00:00,0.038,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Anthracene,1999-08-22T00:00,0.070,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Anthracene,1999-09-03T00:00,0.058,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Anthracene,1999-10-09T00:00,0.130,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Anthracene,1999-10-15T00:00,0.057,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Anthracene,1999-10-21T00:00,0.179,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Anthracene,1999-11-08T00:00,0.574,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Anthracene,1999-11-20T00:00,0.095,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Anthracene,1999-12-02T00:00,0.183,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Anthracene,1999-12-14T00:00,0.104,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Anthracene,1999-12-26T00:00,0.100,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Anthracene,2000-01-07T00:00,0.102,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Anthracene,2000-01-19T00:00,0.220,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Anthracene,2000-01-31T00:00,0.052,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Anthracene,2000-02-24T00:00,0.071,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Anthracene,2000-03-07T00:00,0.290,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Anthracene,2000-03-31T00:00,0.049,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Anthracene,2000-04-12T00:00,0.043,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Anthracene,2000-04-24T00:00,0.097,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Anthracene,2000-05-18T00:00,0.022,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Anthracene,2000-05-30T00:00,0.030,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Anthracene,2000-06-11T00:00,0.254,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Anthracene,2000-06-23T00:00,0.050,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Anthracene,2000-07-05T00:00,0.108,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Anthracene,2000-07-29T00:00,0.129,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Anthracene,2000-08-10T00:00,0.034,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Anthracene,2000-08-22T00:00,0.103,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Anthracene,2000-09-03T00:00,0.021,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Anthracene,2000-09-15T00:00,0.050,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Anthracene,2000-09-27T00:00,0.030,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Anthracene,2000-11-14T00:00,0.171,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Anthracene,2000-11-26T00:00,0.323,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Anthracene,2000-12-08T00:00,0.118,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Anthracene,2000-12-20T00:00,0.178,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Anthracene,2001-01-13T00:00,0.281,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Anthracene,2001-02-06T00:00,0.045,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Anthracene,2001-03-02T00:00,0.038,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Anthracene,2001-03-14T00:00,0.049,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Anthracene,2001-03-26T00:00,0.039,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Anthracene,2001-04-07T00:00,0.046,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Anthracene,2001-04-19T00:00,0.027,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Anthracene,2001-05-01T00:00,0.087,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Anthracene,2001-05-13T00:00,0.101,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Anthracene,2001-06-06T00:00,0.042,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Anthracene,2001-06-30T00:00,0.063,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Anthracene,2001-08-05T00:00,0.082,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Anthracene,2001-08-17T00:00,0.143,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Anthracene,2001-09-10T00:00,0.241,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Anthracene,2001-09-22T00:00,0.149,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Anthracene,2001-10-28T00:00,0.104,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Anthracene,2001-11-09T00:00,0.190,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Anthracene,2001-11-21T00:00,0.380,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Anthracene,2001-12-03T00:00,0.142,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Anthracene,2001-12-15T00:00,0.370,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Anthracene,2002-01-08T00:00,0.245,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Anthracene,2002-02-01T00:00,0.231,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Anthracene,2002-03-21T00:00,0.037,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Anthracene,2002-04-02T00:00,0.042,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Anthracene,2002-04-14T00:00,0.139,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Anthracene,2002-04-26T00:00,0.118,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Anthracene,2002-05-08T00:00,0.076,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Anthracene,2002-06-01T00:00,0.077,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Anthracene,2002-06-13T00:00,0.101,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Anthracene,2002-06-25T00:00,0.133,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Anthracene,2002-07-19T00:00,0.160,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Anthracene,2002-07-31T00:00,0.319,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Anthracene,2002-09-05T00:00,0.142,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Anthracene,2002-09-17T00:00,0.082,ng/m³,PAH,
10301,CREDIT UNION,Anthracene,2010-01-06T00:00,0.176,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,Anthracene,2010-01-20T00:00,1.033,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,Anthracene,2010-03-09T00:00,0.141,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,Anthracene,2010-03-21T00:00,0.157,ng/m³,PAH,GC-MS TP+G
