NAPS_Site_ID,Station_Name,Pollutant,Date,Value,Units,Report_Type,Method
20101,56 FITZROY ST.,Benzo(b)&(k)Fluoranthene,1995-05-21T00:00,0.072,ng/m³,PAH,
20101,56 FITZROY ST.,Benzo(b)&(k)Fluoranthene,1995-07-20T00:00,0.121,ng/m³,PAH,
20101,56 FITZROY ST.,Benzo(b)&(k)Fluoranthene,1995-08-01T00:00,0.090,ng/m³,PAH,
20101,56 FITZROY ST.,Benzo(b)&(k)Fluoranthene,1995-08-13T00:00,0.093,ng/m³,PAH,
20101,56 FITZROY ST.,Benzo(b)&(k)Fluoranthene,1995-09-06T00:00,0.129,ng/m³,PAH,
20101,56 FITZROY ST.,Benzo(b)&(k)Fluoranthene,1995-09-18T00:00,0.082,ng/m³,PAH,
30118,VOGUE BUILDING,Benzo(b)&(k)Fluoranthene,1995-06-02T00:00,0.163,ng/m³,PAH,
30118,VOGUE BUILDING,Benzo(b)&(k)Fluoranthene,1995-06-26T00:00,0.067,ng/m³,PAH,
30118,VOGUE BUILDING,Benzo(b)&(k)Fluoranthene,1995-07-20T00:00,0.023,ng/m³,PAH,
30118,VOGUE BUILDING,Benzo(b)&(k)Fluoranthene,1995-08-13T00:00,0.282,ng/m³,PAH,
30118,VOGUE BUILDING,Benzo(b)&(k)Fluoranthene,1995-09-06T00:00,0.045,ng/m³,PAH,
30118,VOGUE BUILDING,Benzo(b)&(k)Fluoranthene,1995-09-18T00:00,0.136,ng/m³,PAH,
30501,KEJIMKUJIK NATIONAL PARK,Benzo(b)&(k)Fluoranthene,1994-12-16T00:00,0.108,ng/m³,PAH,
30501,KEJIMKUJIK NATIONAL PARK,Benzo(b)&(k)Fluoranthene,1995-01-10T00:00,0.409,ng/m³,PAH,
30501,KEJIMKUJIK NATIONAL PARK,Benzo(b)&(k)Fluoranthene,1995-01-22T00:00,0.000,ng/m³,PAH,
30501,KEJIMKUJIK NATIONAL PARK,Benzo(b)&(k)Fluoranthene,1995-02-02T00:00,0.056,ng/m³,PAH,
30501,KEJIMKUJIK NATIONAL PARK,Benzo(b)&(k)Fluoranthene,1995-02-26T00:00,0.067,ng/m³,PAH,
30501,KEJIMKUJIK NATIONAL PARK,Benzo(b)&(k)Fluoranthene,1995-03-10T00:00,0.048,ng/m³,PAH,
30501,KEJIMKUJIK NATIONAL PARK,Benzo(b)&(k)Fluoranthene,1995-04-15T00:00,0.100,ng/m³,PAH,
30501,KEJIMKUJIK NATIONAL PARK,Benzo(b)&(k)Fluoranthene,1995-04-27T00:00,0.000,ng/m³,PAH,
30501,KEJIMKUJIK NATIONAL PARK,Benzo(b)&(k)Fluoranthene,1995-05-09T00:00,0.000,ng/m³,PAH,
