NAPS_Site_ID,Station_Name,Pollutant,Date,Value,Units,Report_Type,Method
10102,WATER STREET POST OFFICE,Bromotrichloromethane,2001-12-09T00:00,0.000,ug/m³,VOC,
10102,WATER STREET POST OFFICE,Bromotrichloromethane,2001-12-15T00:00,0.000,ug/m³,VOC,
10102,WATER STREET POST OFFICE,Bromotrichloromethane,2001-12-21T00:00,0.000,ug/m³,VOC,
10102,WATER STREET POST OFFICE,Bromotrichloromethane,2001-12-27T00:00,0.000,ug/m³,VOC,
10102,WATER STREET POST OFFICE,Bromotrichloromethane,2002-01-02T00:00,0.000,ug/m³,VOC,
10102,WATER STREET POST OFFICE,Bromotrichloromethane,2002-01-08T00:00,0.000,ug/m³,VOC,
10102,WATER STREET POST OFFICE,Bromotrichloromethane,2009-04-01T00:00,0.000,ug/m³,VOC,
10102,WATER STREET POST OFFICE,Bromotrichloromethane,2009-04-07T00:00,0.000,ug/m³,VOC,
10102,WATER STREET POST OFFICE,Bromotrichloromethane,2009-04-13T00:00,0.000,ug/m³,VOC,
10102,WATER STREET POST OFFICE,Bromotrichloromethane,2009-04-19T00:00,0.000,ug/m³,VOC,
30118,VOGUE BUILDING,Bromotrichloromethane,1991-08-22T00:00,0.000,ug/m³,VOC,
30118,VOGUE BUILDING,Bromotrichloromethane,1991-08-28T00:00,0.000,ug/m³,VOC,
30118,VOGUE BUILDING,Bromotrichloromethane,1991-09-03T00:00,0.000,ug/m³,VOC,
30118,VOGUE BUILDING,Bromotrichloromethane,1991-09-09T00:00,0.000,ug/m³,VOC,
30118,VOGUE BUILDING,Bromotrichloromethane,1991-10-15T00:00,0.000,ug/m³,VOC,
30118,VOGUE BUILDING,Bromotrichloromethane,1991-10-21T00:00,0.000,ug/m³,VOC,
30118,VOGUE BUILDING,Bromotrichloromethane,1991-10-27T00:00,0.000,ug/m³,VOC,
30118,VOGUE BUILDING,Bromotrichloromethane,1991-11-02T00:00,0.000,ug/m³,VOC,
30118,VOGUE BUILDING,Bromotrichloromethane,1991-11-08T00:00,0.000,ug/m³,VOC,
30118,VOGUE BUILDING,Bromotrichloromethane,1991-11-14T00:00,0.000,ug/m³,VOC,
30118,VOGUE BUILDING,Bromotrichloromethane,1991-11-20T00:00,0.000,ug/m³,VOC,
