NAPS_Site_ID,Station_Name,Pollutant,Date,Value,Units,Report_Type,Method
20101,56 FITZROY ST.,Chrysene & Triphenylene,1995-05-21T00:00,0.064,ng/m³,PAH,
20101,56 FITZROY ST.,Chrysene & Triphenylene,1995-07-20T00:00,0.053,ng/m³,PAH,
20101,56 FITZROY ST.,Chrysene & Triphenylene,1995-08-01T00:00,0.099,ng/m³,PAH,
20101,56 FITZROY ST.,Chrysene & Triphenylene,1995-08-13T00:00,0.063,ng/m³,PAH,
20101,56 FITZROY ST.,Chrysene & Triphenylene,1995-09-06T00:00,0.103,ng/m³,PAH,
20101,56 FITZROY ST.,Chrysene & Triphenylene,1995-09-18T00:00,0.138,ng/m³,PAH,
30118,VOGUE BUILDING,Chrysene & Triphenylene,1995-06-02T00:00,0.253,ng/m³,PAH,
30118,VOGUE BUILDING,Chrysene & Triphenylene,1995-06-26T00:00,0.065,ng/m³,PAH,
30118,VOGUE BUILDING,Chrysene & Triphenylene,1995-07-20T00:00,0.175,ng/m³,PAH,
30118,VOGUE BUILDING,Chrysene & Triphenylene,1995-08-13T00:00,0.179,ng/m³,PAH,
30118,VOGUE BUILDING,Chrysene & Triphenylene,1995-09-06T00:00,0.128,ng/m³,PAH,
30118,VOGUE BUILDING,Chrysene & Triphenylene,1995-09-18T00:00,0.079,ng/m³,PAH,
30501,KEJIMKUJIK NATIONAL PARK,Chrysene & Triphenylene,1994-12-16T00:00,0.069,ng/m³,PAH,
30501,KEJIMKUJIK NATIONAL PARK,Chrysene & Triphenylene,1995-01-10T00:00,0.342,ng/m³,PAH,
30501,KEJIMKUJIK NATIONAL PARK,Chrysene & Triphenylene,1995-01-22T00:00,0.000,ng/m³,PAH,
30501,KEJIMKUJIK NATIONAL PARK,Chrysene & Triphenylene,1995-02-02T00:00,0.036,ng/m³,PAH,
30501,KEJIMKUJIK NATIONAL PARK,Chrysene & Triphenylene,1995-02-26T00:00,0.045,ng/m³,PAH,
30501,KEJIMKUJIK NATIONAL PARK,Chrysene & Triphenylene,1995-03-10T00:00,0.037,ng/m³,PAH,
30501,KEJIMKUJIK NATIONAL PARK,Chrysene & Triphenylene,1995-04-15T00:00,0.047,ng/m³,PAH,
30501,KEJIMKUJIK NATIONAL PARK,Chrysene & Triphenylene,1995-04-27T00:00,0.000,ng/m³,PAH,
30501,KEJIMKUJIK NATIONAL PARK,Chrysene & Triphenylene,1995-05-09T00:00,0.000,ng/m³,PAH,
30501,KEJIMKUJIK NATIONAL PARK,Chrysene & Triphenylene,1995-06-02T00:00,0.011,ng/m³,PAH,
30501,KEJIMKUJIK NATIONAL PARK,Chrysene & Triphenylene,1995-06-14T00:00,0.000,ng/m³,PAH,
30501,KEJIMKUJIK NATIONAL PARK,Chrysene & Triphenylene,1995-06-26T00:00,0.000,ng/m³,PAH,
30501,KEJIMKUJIK NATIONAL PARK,Chrysene & Triphenylene,1995-08-01T00:00,0.000,ng/m³,PAH,
30501,KEJIMKUJIK NATIONAL PARK,Chrysene & Triphenylene,1995-09-06T00:00,0.000,ng/m³,PAH,
30501,KEJIMKUJIK NATIONAL PARK,Chrysene & Triphenylene,1995-10-12T00:00,0.019,ng/m³,PAH,
30501,KEJIMKUJIK NATIONAL PARK,Chrysene & Triphenylene,1995-10-24T00:00,0.127,ng/m³,PAH,
30501,KEJIMKUJIK NATIONAL PARK,Chrysene & Triphenylene,1995-11-05T00:00,0.000,ng/m³,PAH,
30501,KEJIMKUJIK NATIONAL PARK,Chrysene & Triphenylene,1995-11-17T00:00,0.000,ng/m³,PAH,
30501,KEJIMKUJIK NATIONAL PARK,Chrysene & Triphenylene,1995-11-29T00:00,0.000,ng/m³,PAH,
30501,KEJIMKUJIK NATIONAL PARK,Chrysene & Triphenylene,1995-12-11T00:00,0.000,ng/m³,PAH,
30501,KEJIMKUJIK NATIONAL PARK,Chrysene & Triphenylene,1995-12-23T00:00,0.000,ng/m³,PAH,
30501,KEJIMKUJIK NATIONAL PARK,Chrysene & Triphenylene,1996-01-04T00:00,0.169,ng/m³,PAH,
30501,KEJIMKUJIK NATIONAL PARK,Chrysene & Triphenylene,1996-01-16T00:00,0.093,ng/m³,PAH,
30501,KEJIMKUJIK NATIONAL PARK,Chrysene & Triphenylene,1996-01-28T00:00,0.071,ng/m³,PAH,
30501,KEJIMKUJIK NATIONAL PARK,Chrysene & Triphenylene,1996-02-09T00:00,0.012,ng/m³,PAH,
30501,KEJIMKUJIK NATIONAL PARK,Chrysene & Triphenylene,1996-02-21T00:00,0.009,ng/m³,PAH,
30501,KEJIMKUJIK NATIONAL PARK,Chrysene & Triphenylene,1996-03-04T00:00,0.039,ng/m³,PAH,
30501,KEJIMKUJIK NATIONAL PARK,Chrysene & Triphenylene,1996-03-16T00:00,0.090,ng/m³,PAH,
30501,KEJIMKUJIK NATIONAL PARK,Chrysene & Triphenylene,1996-05-27T00:00,0.000,ng/m³,PAH,
