NAPS_Site_ID,Station_Name,Pollutant,Date,Value,Units,Report_Type,Method
30113,JOHNSTON BUILDING,Cobalt,2010-01-08T00:00,0.048,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Cobalt,2010-01-11T00:00,0.072,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Cobalt,2010-01-14T00:00,0.261,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Cobalt,2010-01-17T00:00,0.250,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Cobalt,2010-01-20T00:00,0.209,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Cobalt,2010-01-23T00:00,0.574,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Cobalt,2010-01-26T00:00,0.021,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Cobalt,2010-01-29T00:00,0.066,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Cobalt,2010-02-01T00:00,0.157,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Cobalt,2010-02-04T00:00,0.731,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Cobalt,2010-02-07T00:00,0.616,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Cobalt,2010-02-10T00:00,0.198,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Cobalt,2010-02-13T00:00,0.104,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Cobalt,2010-02-16T00:00,0.115,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Cobalt,2010-02-19T00:00,0.078,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Cobalt,2010-02-22T00:00,0.082,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Cobalt,2010-02-25T00:00,0.084,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Cobalt,2010-02-28T00:00,0.085,ng/m³,PM2.5,ICPMS
