NAPS_Site_ID,Station_Name,Pollutant,Date,Value,Units,Report_Type,Method
30113,JOHNSTON BUILDING,Copper,2010-01-08T00:00,0.428,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Copper,2010-01-11T00:00,0.459,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Copper,2010-01-14T00:00,0.783,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Copper,2010-01-17T00:00,0.564,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Copper,2010-01-20T00:00,0.438,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Copper,2010-01-23T00:00,0.971,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Copper,2010-01-26T00:00,0.344,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Copper,2010-01-29T00:00,0.480,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Copper,2010-02-01T00:00,1.148,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Copper,2010-02-04T00:00,1.670,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Copper,2010-02-07T00:00,0.877,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Copper,2010-02-10T00:00,1.044,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Copper,2010-02-13T00:00,0.741,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Copper,2010-02-16T00:00,2.192,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Copper,2010-02-19T00:00,0.574,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Copper,2010-02-22T00:00,0.793,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Copper,2010-02-25T00:00,0.532,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Copper,2010-02-28T00:00,0.376,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Copper,2010-03-03T00:00,0.449,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Copper,2010-03-06T00:00,1.044,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Copper,2010-03-09T00:00,1.148,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Copper,2010-03-12T00:00,1.670,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Copper,2010-03-15T00:00,0.574,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Copper,2010-03-18T00:00,1.253,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Copper,2010-03-21T00:00,0.334,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Copper,2010-03-24T00:00,0.720,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Copper,2010-03-27T00:00,0.678,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Copper,2010-03-30T00:00,0.856,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Copper,2010-04-02T00:00,0.637,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Copper,2010-04-05T00:00,1.044,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Copper,2010-04-08T00:00,1.566,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Copper,2010-04-11T00:00,1.148,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Copper,2010-04-14T00:00,1.044,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Copper,2010-04-17T00:00,0.418,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Copper,2010-04-20T00:00,0.710,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Copper,2010-04-23T00:00,1.775,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Copper,2010-04-26T00:00,0.720,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Copper,2010-04-29T00:00,0.971,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Copper,2010-05-02T00:00,0.950,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Copper,2010-05-05T00:00,0.741,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Copper,2010-05-08T00:00,0.605,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Copper,2010-05-11T00:00,0.783,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Copper,2010-05-14T00:00,1.148,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Copper,2010-05-17T00:00,0.950,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Copper,2010-05-20T00:00,0.324,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Copper,2010-05-23T00:00,0.553,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Copper,2010-05-26T00:00,0.908,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Copper,2010-05-29T00:00,1.149,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Copper,2010-06-01T00:00,0.605,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Copper,2010-06-04T00:00,1.253,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Copper,2010-06-07T00:00,0.867,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Copper,2010-06-10T00:00,0.762,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Copper,2010-06-13T00:00,0.585,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Copper,2010-06-16T00:00,0.919,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Copper,2010-06-19T00:00,0.856,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Copper,2010-06-22T00:00,1.671,ng/m³,PM2.5,ICPMS
