NAPS_Site_ID,Station_Name,Pollutant,Date,Value,Units,Report_Type,Method
10102,WATER STREET POST OFFICE,Fluoranthene,1999-08-10T00:00,0.199,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluoranthene,1999-08-22T00:00,0.404,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluoranthene,1999-09-03T00:00,0.208,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluoranthene,1999-10-09T00:00,0.472,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluoranthene,1999-10-15T00:00,0.259,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluoranthene,1999-10-21T00:00,0.638,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluoranthene,1999-11-08T00:00,1.423,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluoranthene,1999-11-20T00:00,0.440,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluoranthene,1999-12-02T00:00,0.674,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluoranthene,1999-12-14T00:00,0.476,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluoranthene,1999-12-26T00:00,0.494,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluoranthene,2000-01-07T00:00,0.436,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluoranthene,2000-01-19T00:00,0.709,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluoranthene,2000-01-31T00:00,0.402,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluoranthene,2000-02-24T00:00,0.410,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluoranthene,2000-03-07T00:00,0.981,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluoranthene,2000-03-31T00:00,0.221,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluoranthene,2000-04-12T00:00,0.268,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluoranthene,2000-04-24T00:00,0.292,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluoranthene,2000-05-18T00:00,0.165,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluoranthene,2000-05-30T00:00,0.178,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluoranthene,2000-06-11T00:00,0.737,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluoranthene,2000-06-23T00:00,0.283,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluoranthene,2000-07-05T00:00,0.634,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluoranthene,2000-07-29T00:00,0.477,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluoranthene,2000-08-10T00:00,0.255,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluoranthene,2000-08-22T00:00,0.276,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluoranthene,2000-09-03T00:00,0.192,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluoranthene,2000-09-15T00:00,0.171,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluoranthene,2000-09-27T00:00,0.195,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluoranthene,2000-11-14T00:00,0.504,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluoranthene,2000-11-26T00:00,0.946,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluoranthene,2000-12-08T00:00,0.454,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluoranthene,2000-12-20T00:00,0.537,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluoranthene,2001-01-13T00:00,0.920,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluoranthene,2001-02-06T00:00,0.148,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluoranthene,2001-03-02T00:00,0.165,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluoranthene,2001-03-14T00:00,0.176,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluoranthene,2001-03-26T00:00,0.171,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluoranthene,2001-04-07T00:00,0.188,ng/m³,PAH,
