NAPS_Site_ID,Station_Name,Pollutant,Date,Value,Units,Report_Type,Method
10102,WATER STREET POST OFFICE,Fluorene,1999-08-10T00:00,0.132,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluorene,1999-08-22T00:00,0.275,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluorene,1999-09-03T00:00,0.592,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluorene,1999-10-09T00:00,0.450,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluorene,1999-10-15T00:00,0.112,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluorene,1999-10-21T00:00,0.974,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluorene,1999-11-08T00:00,2.401,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluorene,1999-11-20T00:00,0.412,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluorene,1999-12-02T00:00,1.078,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluorene,1999-12-14T00:00,0.603,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluorene,1999-12-26T00:00,0.428,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluorene,2000-01-07T00:00,0.640,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluorene,2000-01-19T00:00,1.501,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluorene,2000-01-31T00:00,0.299,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluorene,2000-02-24T00:00,0.282,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluorene,2000-03-07T00:00,0.680,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluorene,2000-03-31T00:00,0.336,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluorene,2000-04-12T00:00,0.540,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluorene,2000-04-24T00:00,0.391,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluorene,2000-05-18T00:00,0.362,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluorene,2000-05-30T00:00,0.281,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluorene,2000-06-11T00:00,1.901,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluorene,2000-06-23T00:00,0.415,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluorene,2000-07-05T00:00,0.335,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluorene,2000-07-29T00:00,0.335,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluorene,2000-08-10T00:00,0.080,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluorene,2000-08-22T00:00,0.397,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluorene,2000-09-03T00:00,0.096,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluorene,2000-09-15T00:00,0.180,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluorene,2000-09-27T00:00,0.166,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluorene,2000-11-14T00:00,0.568,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluorene,2000-11-26T00:00,1.057,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluorene,2000-12-08T00:00,0.502,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluorene,2000-12-20T00:00,0.510,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluorene,2001-01-13T00:00,0.967,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluorene,2001-02-06T00:00,0.131,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluorene,2001-03-02T00:00,0.159,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluorene,2001-03-14T00:00,0.213,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluorene,2001-03-26T00:00,0.211,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluorene,2001-04-07T00:00,0.419,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluorene,2001-04-19T00:00,0.179,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluorene,2001-05-01T00:00,0.633,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluorene,2001-05-13T00:00,0.460,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluorene,2001-06-06T00:00,0.209,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluorene,2001-06-30T00:00,0.330,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluorene,2001-08-05T00:00,0.565,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluorene,2001-08-17T00:00,0.671,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluorene,2001-09-10T00:00,2.226,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluorene,2001-09-22T00:00,0.715,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluorene,2001-10-28T00:00,0.802,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluorene,2001-11-09T00:00,0.852,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluorene,2001-11-21T00:00,2.150,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluorene,2001-12-03T00:00,0.683,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluorene,2001-12-15T00:00,1.357,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluorene,2002-01-08T00:00,1.044,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluorene,2002-02-01T00:00,1.647,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluorene,2002-03-21T00:00,0.185,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluorene,2002-04-02T00:00,0.317,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluorene,2002-04-14T00:00,0.693,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluorene,2002-04-26T00:00,0.713,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluorene,2002-05-08T00:00,0.496,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluorene,2002-06-01T00:00,0.541,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluorene,2002-06-13T00:00,1.290,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluorene,2002-06-25T00:00,0.835,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Fluorene,2002-07-19T00:00,0.992,ng/m³,PAH,
