NAPS_Site_ID,Station_Name,Pollutant,Date,Value,Units,Report_Type,Method
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1996-06-10T00:00,0.310,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1996-06-11T00:00,0.549,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1996-06-12T00:00,0.916,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1996-06-13T00:00,0.520,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1996-06-14T00:00,0.898,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1996-06-15T00:00,1.016,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1996-06-18T00:00,1.532,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1996-06-19T00:00,1.258,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1996-06-20T00:00,1.612,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1996-06-21T00:00,0.082,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1996-06-22T00:00,0.770,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1996-06-23T00:00,1.099,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1996-06-24T00:00,1.002,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1996-06-25T00:00,0.360,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1996-06-26T00:00,0.605,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1996-06-27T00:00,1.048,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1996-06-28T00:00,0.915,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1996-06-29T00:00,1.128,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1996-06-30T00:00,0.753,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1996-07-01T00:00,0.590,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1996-07-02T00:00,0.451,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1996-07-03T00:00,1.471,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1996-07-04T00:00,3.992,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1996-07-05T00:00,0.884,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1996-07-06T00:00,1.416,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1996-07-07T00:00,1.090,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1996-07-08T00:00,1.534,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1996-07-09T00:00,0.973,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1996-07-10T00:00,1.921,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1996-07-11T00:00,1.890,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1996-07-12T00:00,2.676,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1996-07-13T00:00,0.352,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1996-07-14T00:00,1.103,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1996-07-18T00:00,1.333,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1996-07-20T00:00,1.263,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1996-07-21T00:00,1.123,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1996-07-22T00:00,1.178,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1996-07-23T00:00,1.871,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1996-07-24T00:00,1.346,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1996-07-27T00:00,1.241,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1996-07-28T00:00,1.275,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1996-07-29T00:00,1.000,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1996-07-30T00:00,0.888,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1996-07-31T00:00,1.039,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1996-08-01T00:00,0.252,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1996-08-02T00:00,0.152,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1996-08-03T00:00,0.023,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1996-08-04T00:00,0.057,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1996-08-05T00:00,0.000,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1996-08-06T00:00,0.039,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1998-03-24T00:00,0.180,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1998-03-30T00:00,0.337,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1998-04-05T00:00,0.107,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1998-04-11T00:00,0.150,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1998-04-17T00:00,0.240,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1998-04-23T00:00,0.235,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1998-04-29T00:00,0.266,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1998-05-05T00:00,0.436,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1998-05-11T00:00,0.281,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1998-05-20T00:00,0.718,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1998-05-23T00:00,0.983,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1998-05-29T00:00,1.197,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1998-06-10T00:00,0.971,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1998-06-13T00:00,0.327,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1998-06-19T00:00,0.006,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1998-06-22T00:00,0.257,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1998-07-01T00:00,0.326,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1998-07-04T00:00,1.321,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1998-07-13T00:00,1.408,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1998-07-16T00:00,3.786,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1998-07-22T00:00,3.450,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1998-07-25T00:00,1.496,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1998-07-28T00:00,1.801,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1998-07-31T00:00,0.868,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1998-08-03T00:00,3.292,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1998-08-09T00:00,5.088,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1998-08-18T00:00,0.893,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1998-08-21T00:00,2.530,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1998-08-24T00:00,0.863,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1998-08-27T00:00,3.369,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1998-08-30T00:00,0.891,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1998-09-02T00:00,1.710,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1998-09-05T00:00,1.454,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1998-09-08T00:00,0.853,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1998-09-11T00:00,0.808,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1998-09-14T00:00,0.979,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1998-09-17T00:00,1.029,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1998-09-20T00:00,1.428,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1998-09-23T00:00,0.519,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1998-09-26T00:00,0.796,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1998-10-02T00:00,0.672,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1998-10-20T00:00,0.362,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1998-10-26T00:00,0.181,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1998-11-01T00:00,0.349,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1998-11-07T00:00,0.342,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1998-11-13T00:00,0.291,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1998-11-19T00:00,0.241,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1998-11-25T00:00,0.276,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1998-12-01T00:00,0.512,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1998-12-07T00:00,0.888,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1998-12-13T00:00,0.812,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1999-01-30T00:00,0.187,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1999-02-05T00:00,0.334,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1999-02-11T00:00,0.110,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1999-02-17T00:00,0.311,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1999-02-23T00:00,0.149,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1999-03-07T00:00,0.142,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1999-03-13T00:00,0.108,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1999-03-19T00:00,0.432,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1999-03-25T00:00,0.211,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1999-03-31T00:00,0.115,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1999-04-06T00:00,0.401,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1999-04-12T00:00,0.117,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1999-04-18T00:00,0.481,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1999-04-24T00:00,0.392,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1999-04-30T00:00,0.279,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1999-05-06T00:00,0.571,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1999-05-12T00:00,0.396,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1999-05-18T00:00,0.727,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1999-05-24T00:00,0.772,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1999-05-30T00:00,1.347,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1999-06-05T00:00,0.571,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1999-06-11T00:00,0.699,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1999-06-17T00:00,0.898,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1999-06-23T00:00,1.896,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1999-06-29T00:00,0.445,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1999-07-05T00:00,0.741,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1999-07-11T00:00,0.988,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1999-07-17T00:00,2.560,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1999-07-23T00:00,1.162,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1999-07-29T00:00,1.813,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1999-08-04T00:00,1.487,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1999-08-10T00:00,0.918,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1999-08-22T00:00,0.549,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1999-08-28T00:00,0.337,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1999-09-03T00:00,2.347,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1999-09-09T00:00,1.032,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1999-09-15T00:00,0.715,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1999-10-03T00:00,1.107,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1999-10-09T00:00,0.468,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1999-10-15T00:00,0.424,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1999-10-21T00:00,0.310,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1999-10-27T00:00,0.926,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1999-11-02T00:00,0.614,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1999-11-08T00:00,0.360,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1999-11-14T00:00,0.482,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1999-11-20T00:00,0.648,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1999-11-26T00:00,0.270,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1999-12-02T00:00,0.156,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1999-12-08T00:00,0.353,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1999-12-14T00:00,0.353,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1999-12-20T00:00,0.358,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,1999-12-26T00:00,0.188,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,2000-01-07T00:00,0.195,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,2000-01-13T00:00,0.251,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,2000-01-19T00:00,0.387,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,2000-01-25T00:00,0.435,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,2000-01-31T00:00,0.417,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,2000-02-12T00:00,0.703,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,2000-02-18T00:00,0.450,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,2000-02-24T00:00,0.804,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,2000-03-01T00:00,0.221,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,2000-03-07T00:00,0.226,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,2000-03-13T00:00,0.387,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,2000-03-19T00:00,1.107,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,2000-03-25T00:00,0.712,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,2000-03-31T00:00,1.186,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,2000-04-06T00:00,0.629,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,2000-04-12T00:00,0.459,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,2000-04-24T00:00,0.420,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,2000-04-30T00:00,0.536,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,2000-05-06T00:00,0.974,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,2000-05-18T00:00,1.341,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,2000-05-24T00:00,0.718,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,2000-05-30T00:00,0.984,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,2000-06-05T00:00,1.061,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,2000-06-11T00:00,0.596,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,2000-06-17T00:00,1.532,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,2000-06-23T00:00,1.823,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,2000-06-29T00:00,0.793,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,2000-07-05T00:00,1.131,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,2000-07-11T00:00,1.123,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,2000-07-17T00:00,0.957,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,2000-07-23T00:00,1.085,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,2000-08-22T00:00,1.487,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,2000-09-03T00:00,1.114,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,2000-09-09T00:00,1.636,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,2000-09-15T00:00,0.659,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,2000-10-03T00:00,1.156,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,2000-10-09T00:00,0.346,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,2000-10-15T00:00,0.942,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,2000-10-21T00:00,0.040,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,2000-10-27T00:00,0.000,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,2000-11-02T00:00,0.003,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,2000-11-14T00:00,0.050,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,2000-11-20T00:00,0.000,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,2000-11-26T00:00,0.018,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,2000-12-02T00:00,0.347,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,2000-12-08T00:00,0.267,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,2000-12-14T00:00,0.395,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,2000-12-20T00:00,0.400,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,2000-12-26T00:00,0.000,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,2001-01-01T00:00,0.332,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,2001-01-07T00:00,0.000,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,2001-01-13T00:00,0.209,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,2001-01-19T00:00,0.674,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,2001-03-08T00:00,0.682,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,2001-03-14T00:00,0.442,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,2001-03-20T00:00,0.000,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,2001-03-26T00:00,0.649,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,2001-04-01T00:00,0.210,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,2001-04-07T00:00,0.323,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,2001-04-13T00:00,0.402,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,2001-04-19T00:00,0.385,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,2001-04-25T00:00,0.000,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,2001-05-01T00:00,0.377,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,2001-05-07T00:00,0.534,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,2001-05-13T00:00,0.831,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,2001-05-19T00:00,0.471,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,2001-05-25T00:00,1.003,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,2001-06-06T00:00,0.946,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,2001-06-12T00:00,1.629,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,2001-06-18T00:00,0.752,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,2001-06-24T00:00,0.371,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,2001-06-30T00:00,3.106,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,2001-07-06T00:00,2.124,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,2001-07-12T00:00,1.397,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,Formaldehyde,2001-07-18T00:00,0.738,ug/m³,VOC,
