NAPS_Site_ID,Station_Name,Pollutant,Date,Value,Units,Report_Type,Method
10102,WATER STREET POST OFFICE,Freon 12,2018-02-07T00:00,2.091,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,Freon 12,2018-02-13T00:00,2.081,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,Freon 12,2018-02-19T00:00,2.088,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,Freon 12,2018-02-25T00:00,2.129,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,Freon 12,2018-03-03T00:00,2.567,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,Freon 12,2018-03-09T00:00,2.609,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,Freon 12,2018-03-15T00:00,2.569,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,Freon 12,2018-03-21T00:00,2.537,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,Freon 12,2018-03-27T00:00,2.527,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,Freon 12,2018-04-02T00:00,2.670,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,Freon 12,2018-04-08T00:00,2.587,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,Freon 12,2018-04-14T00:00,2.511,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,Freon 12,2018-04-20T00:00,2.242,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,Freon 12,2018-04-26T00:00,2.286,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,Freon 12,2018-05-02T00:00,2.293,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,Freon 12,2018-05-08T00:00,2.298,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,Freon 12,2018-05-14T00:00,2.335,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,Freon 12,2018-06-01T00:00,2.155,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,Freon 12,2018-06-07T00:00,2.110,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,Freon 12,2018-06-13T00:00,2.108,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,Freon 12,2018-06-19T00:00,2.039,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,Freon 12,2018-06-25T00:00,2.101,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,Freon 12,2018-07-01T00:00,2.514,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,Freon 12,2018-07-07T00:00,2.504,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,Freon 12,2018-07-13T00:00,2.324,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,Freon 12,2018-07-19T00:00,2.347,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,Freon 12,2018-07-25T00:00,2.338,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,Freon 12,2018-07-31T00:00,2.509,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,Freon 12,2018-08-18T00:00,2.323,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,Freon 12,2018-08-24T00:00,2.300,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,Freon 12,2018-09-05T00:00,2.356,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,Freon 12,2018-09-11T00:00,2.403,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,Freon 12,2018-10-23T00:00,2.493,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,Freon 12,2018-10-29T00:00,2.343,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,Freon 12,2018-11-04T00:00,2.102,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,Freon 12,2018-11-10T00:00,2.408,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,Freon 12,2018-11-16T00:00,2.510,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,Freon 12,2018-11-22T00:00,2.357,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,Freon 12,2018-11-28T00:00,2.390,ug/m³,VOC,GC-MS
