NAPS_Site_ID,Station_Name,Pollutant,Date,Value,Units,Report_Type,Method
10102,WATER STREET POST OFFICE,H7CDD,1999-08-10T00:00,0.016,pg/m³,PCDD,
10102,WATER STREET POST OFFICE,H7CDD,1999-10-09T00:00,0.000,pg/m³,PCDD,
10102,WATER STREET POST OFFICE,H7CDD,1999-11-20T00:00,0.032,pg/m³,PCDD,
10102,WATER STREET POST OFFICE,H7CDD,1999-12-14T00:00,0.069,pg/m³,PCDD,
10102,WATER STREET POST OFFICE,H7CDD,2000-01-07T00:00,0.026,pg/m³,PCDD,
10102,WATER STREET POST OFFICE,H7CDD,2000-01-31T00:00,0.040,pg/m³,PCDD,
10102,WATER STREET POST OFFICE,H7CDD,2000-02-24T00:00,0.223,pg/m³,PCDD,
10102,WATER STREET POST OFFICE,H7CDD,2000-04-12T00:00,0.042,pg/m³,PCDD,
10102,WATER STREET POST OFFICE,H7CDD,2000-05-30T00:00,0.016,pg/m³,PCDD,
10102,WATER STREET POST OFFICE,H7CDD,2000-06-23T00:00,0.010,pg/m³,PCDD,
10102,WATER STREET POST OFFICE,H7CDD,2000-08-10T00:00,0.000,pg/m³,PCDD,
10102,WATER STREET POST OFFICE,H7CDD,2000-09-03T00:00,0.000,pg/m³,PCDD,
10102,WATER STREET POST OFFICE,H7CDD,2000-09-27T00:00,0.032,pg/m³,PCDD,
10102,WATER STREET POST OFFICE,H7CDD,2000-11-14T00:00,0.065,pg/m³,PCDD,
10102,WATER STREET POST OFFICE,H7CDD,2000-12-08T00:00,0.058,pg/m³,PCDD,
10102,WATER STREET POST OFFICE,H7CDD,2001-03-14T00:00,0.011,pg/m³,PCDD,
10102,WATER STREET POST OFFICE,H7CDD,2001-04-07T00:00,0.142,pg/m³,PCDD,
10102,WATER STREET POST OFFICE,H7CDD,2001-05-01T00:00,0.056,pg/m³,PCDD,
10102,WATER STREET POST OFFICE,H7CDD,2001-08-05T00:00,0.024,pg/m³,PCDD,
10102,WATER STREET POST OFFICE,H7CDD,2001-11-09T00:00,0.047,pg/m³,PCDD,
10102,WATER STREET POST OFFICE,H7CDD,2001-12-03T00:00,0.103,pg/m³,PCDD,
10102,WATER STREET POST OFFICE,H7CDD,2002-04-02T00:00,0.022,pg/m³,PCDD,
10102,WATER STREET POST OFFICE,H7CDD,2002-04-26T00:00,0.053,pg/m³,PCDD,
10102,WATER STREET POST OFFICE,H7CDD,2002-06-13T00:00,0.234,pg/m³,PCDD,
10102,WATER STREET POST OFFICE,H7CDD,2002-07-31T00:00,0.446,pg/m³,PCDD,
10102,WATER STREET POST OFFICE,H7CDD,2002-09-17T00:00,0.053,pg/m³,PCDD,
10301,CREDIT UNION,H7CDD,2005-12-12T00:00,0.514,pg/m³,PCDD,
10301,CREDIT UNION,H7CDD,2005-12-24T00:00,0.188,pg/m³,PCDD,
10301,CREDIT UNION,H7CDD,2006-01-05T00:00,0.076,pg/m³,PCDD,
10301,CREDIT UNION,H7CDD,2006-01-17T00:00,0.143,pg/m³,PCDD,
10301,CREDIT UNION,H7CDD,2006-05-29T00:00,0.058,pg/m³,PCDD,
10301,CREDIT UNION,H7CDD,2006-06-10T00:00,0.158,pg/m³,PCDD,
10301,CREDIT UNION,H7CDD,2006-06-22T00:00,0.055,pg/m³,PCDD,
10301,CREDIT UNION,H7CDD,2006-07-04T00:00,0.064,pg/m³,PCDD,
10301,CREDIT UNION,H7CDD,2006-07-16T00:00,0.037,pg/m³,PCDD,
10301,CREDIT UNION,H7CDD,2006-09-14T00:00,0.047,pg/m³,PCDD,
10301,CREDIT UNION,H7CDD,2006-09-26T00:00,0.032,pg/m³,PCDD,
10301,CREDIT UNION,H7CDD,2006-11-25T00:00,0.028,pg/m³,PCDD,
10301,CREDIT UNION,H7CDD,2006-12-07T00:00,0.029,pg/m³,PCDD,
10301,CREDIT UNION,H7CDD,2006-12-19T00:00,0.049,pg/m³,PCDD,
10301,CREDIT UNION,H7CDD,2007-01-12T00:00,0.100,pg/m³,PCDD,
10301,CREDIT UNION,H7CDD,2007-02-05T00:00,0.074,pg/m³,PCDD,
10301,CREDIT UNION,H7CDD,2007-03-01T00:00,0.117,pg/m³,PCDD,
10301,CREDIT UNION,H7CDD,2007-03-25T00:00,0.049,pg/m³,PCDD,
10301,CREDIT UNION,H7CDD,2007-06-05T00:00,0.083,pg/m³,PCDD,
10301,CREDIT UNION,H7CDD,2007-07-11T00:00,0.038,pg/m³,PCDD,
10301,CREDIT UNION,H7CDD,2007-07-23T00:00,0.064,pg/m³,PCDD,
10301,CREDIT UNION,H7CDD,2007-08-04T00:00,0.070,pg/m³,PCDD,
10301,CREDIT UNION,H7CDD,2007-08-16T00:00,0.080,pg/m³,PCDD,
10301,CREDIT UNION,H7CDD,2007-08-28T00:00,0.045,pg/m³,PCDD,
10301,CREDIT UNION,H7CDD,2007-10-03T00:00,0.039,pg/m³,PCDD,
10301,CREDIT UNION,H7CDD,2007-10-27T00:00,0.073,pg/m³,PCDD,
10301,CREDIT UNION,H7CDD,2007-11-08T00:00,0.038,pg/m³,PCDD,
10301,CREDIT UNION,H7CDD,2007-11-20T00:00,0.100,pg/m³,PCDD,
10301,CREDIT UNION,H7CDD,2007-12-02T00:00,0.091,pg/m³,PCDD,
10301,CREDIT UNION,H7CDD,2008-01-07T00:00,0.131,pg/m³,PCDD,
10301,CREDIT UNION,H7CDD,2008-01-07T00:00,0.131,pg/m³,PCDD,
10301,CREDIT UNION,H7CDD,2008-01-19T00:00,0.098,pg/m³,PCDD,
10301,CREDIT UNION,H7CDD,2008-01-19T00:00,0.098,pg/m³,PCDD,
10301,CREDIT UNION,H7CDD,2008-02-24T00:00,0.172,pg/m³,PCDD,
10301,CREDIT UNION,H7CDD,2008-02-24T00:00,0.172,pg/m³,PCDD,
