NAPS_Site_ID,Station_Name,Pollutant,Date,Value,Units,Report_Type,Method
60204,WINDSOR DOWNTOWN,HCB,1996-10-06T00:00,0.032,ng/m³,HCB,
60204,WINDSOR DOWNTOWN,HCB,1997-02-09T00:00,0.150,ng/m³,HCB,
60204,WINDSOR DOWNTOWN,HCB,1997-02-21T00:00,0.212,ng/m³,HCB,
60204,WINDSOR DOWNTOWN,HCB,1997-03-05T00:00,0.184,ng/m³,HCB,
60204,WINDSOR DOWNTOWN,HCB,1997-03-17T00:00,0.152,ng/m³,HCB,
60204,WINDSOR DOWNTOWN,HCB,1997-04-10T00:00,0.098,ng/m³,HCB,
60204,WINDSOR DOWNTOWN,HCB,1997-04-22T00:00,0.134,ng/m³,HCB,
60204,WINDSOR DOWNTOWN,HCB,1997-05-04T00:00,0.096,ng/m³,HCB,
60204,WINDSOR DOWNTOWN,HCB,1997-05-16T00:00,0.111,ng/m³,HCB,
60204,WINDSOR DOWNTOWN,HCB,1997-05-28T00:00,0.091,ng/m³,HCB,
60204,WINDSOR DOWNTOWN,HCB,1997-07-03T00:00,0.061,ng/m³,HCB,
60204,WINDSOR DOWNTOWN,HCB,1997-07-27T00:00,0.076,ng/m³,HCB,
60204,WINDSOR DOWNTOWN,HCB,1997-08-20T00:00,0.076,ng/m³,HCB,
60204,WINDSOR DOWNTOWN,HCB,1997-09-01T00:00,0.050,ng/m³,HCB,
60204,WINDSOR DOWNTOWN,HCB,1997-11-12T00:00,0.105,ng/m³,HCB,
60204,WINDSOR DOWNTOWN,HCB,1997-11-24T00:00,0.091,ng/m³,HCB,
60204,WINDSOR DOWNTOWN,HCB,1997-12-06T00:00,0.107,ng/m³,HCB,
60204,WINDSOR DOWNTOWN,HCB,1997-12-18T00:00,0.153,ng/m³,HCB,
60204,WINDSOR DOWNTOWN,HCB,1997-12-30T00:00,0.089,ng/m³,HCB,
60204,WINDSOR DOWNTOWN,HCB,1998-01-11T00:00,0.107,ng/m³,HCB,
60204,WINDSOR DOWNTOWN,HCB,1998-01-23T00:00,0.112,ng/m³,HCB,
60204,WINDSOR DOWNTOWN,HCB,1998-03-12T00:00,0.114,ng/m³,HCB,
60204,WINDSOR DOWNTOWN,HCB,1998-03-24T00:00,0.117,ng/m³,HCB,
60204,WINDSOR DOWNTOWN,HCB,1998-04-05T00:00,0.106,ng/m³,HCB,
60204,WINDSOR DOWNTOWN,HCB,1998-04-17T00:00,0.104,ng/m³,HCB,
60204,WINDSOR DOWNTOWN,HCB,1998-05-23T00:00,0.076,ng/m³,HCB,
60204,WINDSOR DOWNTOWN,HCB,1998-06-04T00:00,0.146,ng/m³,HCB,
60204,WINDSOR DOWNTOWN,HCB,1998-06-16T00:00,0.076,ng/m³,HCB,
60204,WINDSOR DOWNTOWN,HCB,1998-06-28T00:00,0.085,ng/m³,HCB,
60204,WINDSOR DOWNTOWN,HCB,1998-07-10T00:00,0.065,ng/m³,HCB,
60204,WINDSOR DOWNTOWN,HCB,1998-07-22T00:00,0.081,ng/m³,HCB,
60204,WINDSOR DOWNTOWN,HCB,1998-08-03T00:00,0.045,ng/m³,HCB,
60204,WINDSOR DOWNTOWN,HCB,1998-08-15T00:00,0.089,ng/m³,HCB,
60204,WINDSOR DOWNTOWN,HCB,1998-08-27T00:00,0.058,ng/m³,HCB,
60204,WINDSOR DOWNTOWN,HCB,1998-09-08T00:00,0.066,ng/m³,HCB,
60204,WINDSOR DOWNTOWN,HCB,1998-09-20T00:00,0.056,ng/m³,HCB,
60204,WINDSOR DOWNTOWN,HCB,1998-10-02T00:00,0.087,ng/m³,HCB,
60204,WINDSOR DOWNTOWN,HCB,1998-10-26T00:00,0.115,ng/m³,HCB,
60204,WINDSOR DOWNTOWN,HCB,1998-11-07T00:00,0.077,ng/m³,HCB,
60204,WINDSOR DOWNTOWN,HCB,1998-11-19T00:00,0.121,ng/m³,HCB,
60204,WINDSOR DOWNTOWN,HCB,1998-12-01T00:00,0.112,ng/m³,HCB,
60204,WINDSOR DOWNTOWN,HCB,1998-12-13T00:00,0.155,ng/m³,HCB,
60204,WINDSOR DOWNTOWN,HCB,1998-12-25T00:00,0.102,ng/m³,HCB,
60204,WINDSOR DOWNTOWN,HCB,1999-01-18T00:00,0.122,ng/m³,HCB,
60204,WINDSOR DOWNTOWN,HCB,1999-01-30T00:00,0.110,ng/m³,HCB,
60204,WINDSOR DOWNTOWN,HCB,1999-02-11T00:00,0.072,ng/m³,HCB,
60204,WINDSOR DOWNTOWN,HCB,1999-02-23T00:00,0.093,ng/m³,HCB,
60204,WINDSOR DOWNTOWN,HCB,1999-03-19T00:00,0.102,ng/m³,HCB,
60204,WINDSOR DOWNTOWN,HCB,1999-03-31T00:00,0.101,ng/m³,HCB,
60204,WINDSOR DOWNTOWN,HCB,1999-04-10T00:00,0.061,ng/m³,HCB,
