NAPS_Site_ID,Station_Name,Pollutant,Date,Value,Units,Report_Type,Method
30113,JOHNSTON BUILDING,Levoglucosan,2009-09-21T20:00,24.703,ng/m³,LEV,
30113,JOHNSTON BUILDING,Levoglucosan,2009-09-24T20:00,9.418,ng/m³,LEV,
30113,JOHNSTON BUILDING,Levoglucosan,2009-09-27T20:00,20.227,ng/m³,LEV,
30113,JOHNSTON BUILDING,Levoglucosan,2009-10-03T20:00,24.351,ng/m³,LEV,
30113,JOHNSTON BUILDING,Levoglucosan,2009-10-06T20:00,20.965,ng/m³,LEV,
30113,JOHNSTON BUILDING,Levoglucosan,2009-10-09T20:00,20.633,ng/m³,LEV,
30113,JOHNSTON BUILDING,Levoglucosan,2009-10-12T20:00,0.000,ng/m³,LEV,
30113,JOHNSTON BUILDING,Levoglucosan,2009-10-15T20:00,29.458,ng/m³,LEV,
30113,JOHNSTON BUILDING,Levoglucosan,2009-10-18T20:00,7.919,ng/m³,LEV,
30113,JOHNSTON BUILDING,Levoglucosan,2009-10-21T20:00,48.403,ng/m³,LEV,
30113,JOHNSTON BUILDING,Levoglucosan,2009-10-24T20:00,11.625,ng/m³,LEV,
30113,JOHNSTON BUILDING,Levoglucosan,2009-10-27T20:00,34.315,ng/m³,LEV,
30113,JOHNSTON BUILDING,Levoglucosan,2009-10-30T20:00,16.757,ng/m³,LEV,
30113,JOHNSTON BUILDING,Levoglucosan,2009-11-02T19:00,27.546,ng/m³,LEV,
30113,JOHNSTON BUILDING,Levoglucosan,2009-11-05T19:00,15.169,ng/m³,LEV,
30113,JOHNSTON BUILDING,Levoglucosan,2009-11-08T19:00,55.762,ng/m³,LEV,
30113,JOHNSTON BUILDING,Levoglucosan,2009-11-11T19:00,161.148,ng/m³,LEV,
30113,JOHNSTON BUILDING,Levoglucosan,2009-11-14T19:00,21.726,ng/m³,LEV,
30113,JOHNSTON BUILDING,Levoglucosan,2009-11-17T19:00,147.135,ng/m³,LEV,
30113,JOHNSTON BUILDING,Levoglucosan,2009-11-20T19:00,45.526,ng/m³,LEV,
30113,JOHNSTON BUILDING,Levoglucosan,2009-11-23T19:00,19.511,ng/m³,LEV,
30113,JOHNSTON BUILDING,Levoglucosan,2009-11-26T19:00,12.925,ng/m³,LEV,
30113,JOHNSTON BUILDING,Levoglucosan,2009-11-29T19:00,62.291,ng/m³,LEV,
30113,JOHNSTON BUILDING,Levoglucosan,2009-12-02T19:00,55.578,ng/m³,LEV,
30113,JOHNSTON BUILDING,Levoglucosan,2009-12-05T19:00,36.382,ng/m³,LEV,
30113,JOHNSTON BUILDING,Levoglucosan,2009-12-08T19:00,54.660,ng/m³,LEV,
30113,JOHNSTON BUILDING,Levoglucosan,2009-12-11T19:00,41.942,ng/m³,LEV,
30113,JOHNSTON BUILDING,Levoglucosan,2009-12-14T19:00,151.582,ng/m³,LEV,
30113,JOHNSTON BUILDING,Levoglucosan,2009-12-17T19:00,57.510,ng/m³,LEV,
30113,JOHNSTON BUILDING,Levoglucosan,2009-12-20T19:00,23.581,ng/m³,LEV,
30113,JOHNSTON BUILDING,Levoglucosan,2009-12-23T19:00,25.922,ng/m³,LEV,
30113,JOHNSTON BUILDING,Levoglucosan,2009-12-26T19:00,31.296,ng/m³,LEV,
30113,JOHNSTON BUILDING,Levoglucosan,2009-12-29T19:00,36.755,ng/m³,LEV,
30113,JOHNSTON BUILDING,Levoglucosan,2010-01-08T00:00,50.792,ng/m³,PM2.5,IC/PAD
30113,JOHNSTON BUILDING,Levoglucosan,2010-01-11T00:00,96.630,ng/m³,PM2.5,IC/PAD
30113,JOHNSTON BUILDING,Levoglucosan,2010-01-14T00:00,77.035,ng/m³,PM2.5,IC/PAD
30113,JOHNSTON BUILDING,Levoglucosan,2010-01-17T00:00,121.438,ng/m³,PM2.5,IC/PAD
30113,JOHNSTON BUILDING,Levoglucosan,2010-01-20T00:00,151.972,ng/m³,PM2.5,IC/PAD
30113,JOHNSTON BUILDING,Levoglucosan,2010-01-23T00:00,103.128,ng/m³,PM2.5,IC/PAD
30113,JOHNSTON BUILDING,Levoglucosan,2010-01-26T00:00,23.272,ng/m³,PM2.5,IC/PAD
30113,JOHNSTON BUILDING,Levoglucosan,2010-01-29T00:00,38.437,ng/m³,PM2.5,IC/PAD
30113,JOHNSTON BUILDING,Levoglucosan,2010-02-01T00:00,100.375,ng/m³,PM2.5,IC/PAD
30113,JOHNSTON BUILDING,Levoglucosan,2010-02-04T00:00,150.812,ng/m³,PM2.5,IC/PAD
30113,JOHNSTON BUILDING,Levoglucosan,2010-02-07T00:00,110.904,ng/m³,PM2.5,IC/PAD
30113,JOHNSTON BUILDING,Levoglucosan,2010-02-10T00:00,79.161,ng/m³,PM2.5,IC/PAD
30113,JOHNSTON BUILDING,Levoglucosan,2010-02-13T00:00,70.583,ng/m³,PM2.5,IC/PAD
30113,JOHNSTON BUILDING,Levoglucosan,2010-02-16T00:00,62.863,ng/m³,PM2.5,IC/PAD
30113,JOHNSTON BUILDING,Levoglucosan,2010-02-19T00:00,24.755,ng/m³,PM2.5,IC/PAD
30113,JOHNSTON BUILDING,Levoglucosan,2010-02-22T00:00,79.654,ng/m³,PM2.5,IC/PAD
30113,JOHNSTON BUILDING,Levoglucosan,2010-02-25T00:00,11.072,ng/m³,PM2.5,IC/PAD
30113,JOHNSTON BUILDING,Levoglucosan,2010-02-28T00:00,20.381,ng/m³,PM2.5,IC/PAD
30113,JOHNSTON BUILDING,Levoglucosan,2010-03-03T00:00,24.101,ng/m³,PM2.5,IC/PAD
30113,JOHNSTON BUILDING,Levoglucosan,2010-03-06T00:00,55.077,ng/m³,PM2.5,IC/PAD
30113,JOHNSTON BUILDING,Levoglucosan,2010-03-09T00:00,43.349,ng/m³,PM2.5,IC/PAD
30113,JOHNSTON BUILDING,Levoglucosan,2010-03-12T00:00,184.329,ng/m³,PM2.5,IC/PAD
30113,JOHNSTON BUILDING,Levoglucosan,2010-03-15T00:00,39.445,ng/m³,PM2.5,IC/PAD
30113,JOHNSTON BUILDING,Levoglucosan,2010-03-18T00:00,57.489,ng/m³,PM2.5,IC/PAD
30113,JOHNSTON BUILDING,Levoglucosan,2010-03-21T00:00,7.703,ng/m³,PM2.5,IC/PAD
30113,JOHNSTON BUILDING,Levoglucosan,2010-03-24T00:00,35.246,ng/m³,PM2.5,IC/PAD
30113,JOHNSTON BUILDING,Levoglucosan,2010-03-27T00:00,25.161,ng/m³,PM2.5,IC/PAD
30113,JOHNSTON BUILDING,Levoglucosan,2010-03-30T00:00,6.430,ng/m³,PM2.5,IC/PAD
30113,JOHNSTON BUILDING,Levoglucosan,2010-04-02T00:00,62.039,ng/m³,PM2.5,IC/PAD
30113,JOHNSTON BUILDING,Levoglucosan,2010-04-05T00:00,27.374,ng/m³,PM2.5,IC/PAD
30113,JOHNSTON BUILDING,Levoglucosan,2010-04-08T00:00,13.771,ng/m³,PM2.5,IC/PAD
