NAPS_Site_ID,Station_Name,Pollutant,Date,Value,Units,Report_Type,Method
30501,KEJIMKUJIK NATIONAL PARK,MEK,1996-06-10T00:00,0.614,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,MEK,1996-06-11T00:00,0.578,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,MEK,1996-06-12T00:00,1.059,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,MEK,1996-06-13T00:00,0.565,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,MEK,1996-06-14T00:00,0.805,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,MEK,1996-06-15T00:00,0.509,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,MEK,1996-06-18T00:00,0.615,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,MEK,1996-06-19T00:00,0.464,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,MEK,1996-06-20T00:00,0.902,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,MEK,1996-06-21T00:00,0.537,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,MEK,1996-06-22T00:00,0.436,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,MEK,1996-06-23T00:00,0.000,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,MEK,1996-06-24T00:00,0.346,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,MEK,1996-06-25T00:00,0.371,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,MEK,1996-06-26T00:00,0.532,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,MEK,1996-06-27T00:00,0.442,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,MEK,1996-06-28T00:00,0.549,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,MEK,1996-06-29T00:00,0.437,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,MEK,1996-06-30T00:00,0.403,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,MEK,1996-07-01T00:00,0.439,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,MEK,1996-07-02T00:00,0.361,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,MEK,1996-07-03T00:00,0.503,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,MEK,1996-07-04T00:00,0.972,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,MEK,1996-07-05T00:00,0.447,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,MEK,1996-07-06T00:00,0.566,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,MEK,1996-07-07T00:00,0.508,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,MEK,1996-07-08T00:00,0.616,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,MEK,1996-07-09T00:00,0.553,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,MEK,1996-07-10T00:00,0.998,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,MEK,1996-07-11T00:00,0.550,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,MEK,1996-07-12T00:00,0.984,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,MEK,1996-07-13T00:00,0.000,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,MEK,1996-07-14T00:00,0.000,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,MEK,1996-07-18T00:00,0.360,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,MEK,1996-07-20T00:00,0.400,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,MEK,1996-07-21T00:00,0.446,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,MEK,1996-07-22T00:00,0.527,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,MEK,1996-07-23T00:00,0.442,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,MEK,1996-07-24T00:00,0.539,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,MEK,1996-07-27T00:00,0.532,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,MEK,1996-07-28T00:00,0.482,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,MEK,1996-07-29T00:00,0.387,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,MEK,1996-07-30T00:00,0.408,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,MEK,1996-07-31T00:00,0.389,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,MEK,1996-08-01T00:00,0.000,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,MEK,1996-08-02T00:00,0.268,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,MEK,1996-08-03T00:00,0.305,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,MEK,1996-08-04T00:00,0.238,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,MEK,1996-08-05T00:00,0.351,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,MEK,1996-08-06T00:00,0.000,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,MEK,1998-03-24T00:00,0.267,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,MEK,1998-03-30T00:00,0.194,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,MEK,1998-04-05T00:00,0.079,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,MEK,1998-04-11T00:00,0.194,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,MEK,1998-04-17T00:00,0.045,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,MEK,1998-04-23T00:00,0.190,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,MEK,1998-04-29T00:00,0.280,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,MEK,1998-05-05T00:00,0.179,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,MEK,1998-05-11T00:00,0.227,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,MEK,1998-05-20T00:00,0.302,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,MEK,1998-05-23T00:00,1.880,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,MEK,1998-05-29T00:00,0.000,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,MEK,1998-06-10T00:00,0.000,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,MEK,1998-06-13T00:00,0.000,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,MEK,1998-06-19T00:00,0.000,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,MEK,1998-06-22T00:00,0.027,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,MEK,1998-07-01T00:00,0.000,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,MEK,1998-07-04T00:00,0.206,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,MEK,1998-07-13T00:00,0.000,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,MEK,1998-07-16T00:00,0.696,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,MEK,1998-07-22T00:00,0.826,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,MEK,1998-07-25T00:00,0.000,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,MEK,1998-07-28T00:00,0.000,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,MEK,1998-07-31T00:00,0.000,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,MEK,1998-08-03T00:00,0.000,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,MEK,1998-08-09T00:00,0.405,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,MEK,1998-08-18T00:00,0.000,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,MEK,1998-08-21T00:00,0.000,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,MEK,1998-08-24T00:00,0.433,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,MEK,1998-08-27T00:00,0.207,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,MEK,1998-08-30T00:00,0.004,ug/m³,VOC,
30501,KEJIMKUJIK NATIONAL PARK,MEK,1998-09-02T00:00,0.005,ug/m³,VOC,
