NAPS_Site_ID,Station_Name,Pollutant,Date,Value,Units,Report_Type,Method
30113,JOHNSTON BUILDING,Mannosan,2010-01-08T00:00,3.408,ng/m³,PM2.5,IC/PAD
30113,JOHNSTON BUILDING,Mannosan,2010-01-11T00:00,6.879,ng/m³,PM2.5,IC/PAD
30113,JOHNSTON BUILDING,Mannosan,2010-01-14T00:00,7.282,ng/m³,PM2.5,IC/PAD
30113,JOHNSTON BUILDING,Mannosan,2010-01-17T00:00,10.652,ng/m³,PM2.5,IC/PAD
30113,JOHNSTON BUILDING,Mannosan,2010-01-20T00:00,13.407,ng/m³,PM2.5,IC/PAD
30113,JOHNSTON BUILDING,Mannosan,2010-01-23T00:00,9.730,ng/m³,PM2.5,IC/PAD
30113,JOHNSTON BUILDING,Mannosan,2010-01-26T00:00,1.517,ng/m³,PM2.5,IC/PAD
30113,JOHNSTON BUILDING,Mannosan,2010-01-29T00:00,3.236,ng/m³,PM2.5,IC/PAD
30113,JOHNSTON BUILDING,Mannosan,2010-02-01T00:00,7.531,ng/m³,PM2.5,IC/PAD
30113,JOHNSTON BUILDING,Mannosan,2010-02-04T00:00,12.336,ng/m³,PM2.5,IC/PAD
30113,JOHNSTON BUILDING,Mannosan,2010-02-07T00:00,8.021,ng/m³,PM2.5,IC/PAD
30113,JOHNSTON BUILDING,Mannosan,2010-02-10T00:00,9.765,ng/m³,PM2.5,IC/PAD
30113,JOHNSTON BUILDING,Mannosan,2010-02-13T00:00,4.111,ng/m³,PM2.5,IC/PAD
30113,JOHNSTON BUILDING,Mannosan,2010-02-16T00:00,6.366,ng/m³,PM2.5,IC/PAD
30113,JOHNSTON BUILDING,Mannosan,2010-02-19T00:00,0.707,ng/m³,PM2.5,IC/PAD
30113,JOHNSTON BUILDING,Mannosan,2010-02-22T00:00,6.372,ng/m³,PM2.5,IC/PAD
30113,JOHNSTON BUILDING,Mannosan,2010-02-25T00:00,0.282,ng/m³,PM2.5,IC/PAD
30113,JOHNSTON BUILDING,Mannosan,2010-02-28T00:00,2.548,ng/m³,PM2.5,IC/PAD
30113,JOHNSTON BUILDING,Mannosan,2010-03-03T00:00,1.374,ng/m³,PM2.5,IC/PAD
30113,JOHNSTON BUILDING,Mannosan,2010-03-06T00:00,5.044,ng/m³,PM2.5,IC/PAD
30113,JOHNSTON BUILDING,Mannosan,2010-03-09T00:00,2.736,ng/m³,PM2.5,IC/PAD
30113,JOHNSTON BUILDING,Mannosan,2010-03-12T00:00,14.309,ng/m³,PM2.5,IC/PAD
30113,JOHNSTON BUILDING,Mannosan,2010-03-15T00:00,3.099,ng/m³,PM2.5,IC/PAD
30113,JOHNSTON BUILDING,Mannosan,2010-03-18T00:00,4.788,ng/m³,PM2.5,IC/PAD
30113,JOHNSTON BUILDING,Mannosan,2010-03-21T00:00,0.000,ng/m³,PM2.5,IC/PAD
