NAPS_Site_ID,Station_Name,Pollutant,Date,Value,Units,Report_Type,Method
10101,DUCKWORTH & ORDINANCE,NO3,1984-09-21T00:00,0.880,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,NO3,1984-09-21T00:00,0.320,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,NO3,1984-09-27T00:00,0.230,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,NO3,1984-09-27T00:00,0.290,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,NO3,1984-10-03T00:00,0.240,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,NO3,1984-10-03T00:00,0.270,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,NO3,1984-10-09T00:00,0.150,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,NO3,1984-10-09T00:00,0.160,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,NO3,1984-10-15T00:00,0.310,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,NO3,1984-10-15T00:00,0.190,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,NO3,1984-10-21T00:00,0.350,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,NO3,1984-10-21T00:00,0.200,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,NO3,1984-10-27T00:00,0.160,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,NO3,1984-11-02T00:00,0.180,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,NO3,1984-11-02T00:00,0.160,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,NO3,1984-11-14T00:00,0.230,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,NO3,1984-11-14T00:00,0.350,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,NO3,1984-11-20T00:00,0.290,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,NO3,1984-11-20T00:00,0.510,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,NO3,1984-11-26T00:00,0.290,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,NO3,1984-11-26T00:00,0.170,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,NO3,1984-12-14T00:00,0.230,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,NO3,1984-12-14T00:00,0.210,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,NO3,1984-12-20T00:00,0.240,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,NO3,1984-12-20T00:00,0.230,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,NO3,1985-01-07T00:00,0.000,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,NO3,1985-01-07T00:00,0.000,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,NO3,1985-01-13T00:00,0.000,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,NO3,1985-01-13T00:00,0.260,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,NO3,1985-01-19T00:00,0.000,ug/m³,DICHOT,
