NAPS_Site_ID,Station_Name,Pollutant,Date,Value,Units,Report_Type,Method
30113,JOHNSTON BUILDING,Nitric Acid,2010-01-08T00:00,0.211,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Nitric Acid,2010-01-11T00:00,0.323,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Nitric Acid,2010-01-14T00:00,0.188,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Nitric Acid,2010-01-17T00:00,0.337,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Nitric Acid,2010-01-20T00:00,0.503,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Nitric Acid,2010-01-23T00:00,0.172,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Nitric Acid,2010-01-26T00:00,0.557,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Nitric Acid,2010-01-29T00:00,0.265,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Nitric Acid,2010-02-01T00:00,0.523,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Nitric Acid,2010-02-04T00:00,0.522,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Nitric Acid,2010-02-07T00:00,0.362,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Nitric Acid,2010-02-10T00:00,0.372,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Nitric Acid,2010-02-13T00:00,0.302,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Nitric Acid,2010-02-16T00:00,0.297,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Nitric Acid,2010-02-22T00:00,0.183,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Nitric Acid,2010-02-25T00:00,0.389,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Nitric Acid,2010-02-28T00:00,0.640,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Nitric Acid,2010-03-03T00:00,0.277,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Nitric Acid,2010-03-06T00:00,1.001,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Nitric Acid,2010-03-09T00:00,0.251,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Nitric Acid,2010-03-12T00:00,0.435,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Nitric Acid,2010-03-15T00:00,0.131,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Nitric Acid,2010-03-18T00:00,0.178,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Nitric Acid,2010-03-21T00:00,0.124,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Nitric Acid,2010-03-24T00:00,0.348,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Nitric Acid,2010-03-27T00:00,0.158,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Nitric Acid,2010-03-30T00:00,0.396,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Nitric Acid,2010-04-02T00:00,0.319,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Nitric Acid,2010-04-05T00:00,0.130,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Nitric Acid,2010-04-08T00:00,0.253,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Nitric Acid,2010-04-11T00:00,0.208,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Nitric Acid,2010-04-14T00:00,0.378,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Nitric Acid,2010-04-17T00:00,0.093,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Nitric Acid,2010-04-20T00:00,0.136,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Nitric Acid,2010-04-23T00:00,0.209,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Nitric Acid,2010-04-26T00:00,0.286,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Nitric Acid,2010-04-29T00:00,0.202,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Nitric Acid,2010-05-02T00:00,0.395,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Nitric Acid,2010-05-05T00:00,0.317,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Nitric Acid,2010-05-08T00:00,0.434,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Nitric Acid,2010-05-11T00:00,0.164,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Nitric Acid,2010-05-14T00:00,0.215,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Nitric Acid,2010-05-17T00:00,0.209,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Nitric Acid,2010-05-20T00:00,0.221,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Nitric Acid,2010-05-23T00:00,0.347,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Nitric Acid,2010-05-26T00:00,0.365,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Nitric Acid,2010-05-29T00:00,0.269,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Nitric Acid,2010-06-01T00:00,0.456,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Nitric Acid,2010-06-04T00:00,0.223,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Nitric Acid,2010-06-07T00:00,0.393,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Nitric Acid,2010-06-10T00:00,0.652,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Nitric Acid,2010-06-13T00:00,0.569,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Nitric Acid,2010-06-16T00:00,0.551,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Nitric Acid,2010-06-19T00:00,0.469,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Nitric Acid,2010-06-22T00:00,0.564,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Nitric Acid,2010-06-25T00:00,0.571,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Nitric Acid,2010-06-28T00:00,1.661,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Nitric Acid,2010-07-01T00:00,0.363,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Nitric Acid,2010-07-04T00:00,0.503,µg/m³,PM2.5,IC
