NAPS_Site_ID,Station_Name,Pollutant,Date,Value,Units,Report_Type,Method
30113,JOHNSTON BUILDING,OC(A),2010-01-08T00:00,1.841,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC(A),2010-01-11T00:00,2.657,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC(A),2010-01-14T00:00,3.127,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC(A),2010-01-17T00:00,1.665,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC(A),2010-01-20T00:00,2.793,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC(A),2010-01-23T00:00,2.446,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC(A),2010-01-26T00:00,2.919,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC(A),2010-01-29T00:00,1.643,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC(A),2010-02-01T00:00,2.063,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC(A),2010-02-04T00:00,3.148,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC(A),2010-02-07T00:00,2.511,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC(A),2010-02-10T00:00,2.593,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC(A),2010-02-13T00:00,2.570,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC(A),2010-02-16T00:00,2.347,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC(A),2010-02-19T00:00,3.146,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC(A),2010-02-22T00:00,3.418,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC(A),2010-02-25T00:00,1.343,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC(A),2010-02-28T00:00,1.311,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC(A),2010-03-03T00:00,0.975,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC(A),2010-03-06T00:00,1.694,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC(A),2010-03-09T00:00,2.147,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC(A),2010-03-12T00:00,2.975,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC(A),2010-03-15T00:00,2.384,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC(A),2010-03-18T00:00,3.152,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC(A),2010-03-21T00:00,2.067,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC(A),2010-03-24T00:00,1.536,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC(A),2010-03-27T00:00,3.925,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC(A),2010-03-30T00:00,2.296,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC(A),2010-04-02T00:00,3.371,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC(A),2010-04-05T00:00,2.386,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC(A),2010-04-08T00:00,3.228,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC(A),2010-04-11T00:00,2.179,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC(A),2010-04-14T00:00,2.542,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC(A),2010-04-17T00:00,2.522,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC(A),2010-04-20T00:00,1.724,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC(A),2010-04-23T00:00,4.179,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC(A),2010-04-26T00:00,2.959,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC(A),2010-04-29T00:00,1.741,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC(A),2010-05-02T00:00,3.106,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC(A),2010-05-05T00:00,2.467,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC(A),2010-05-08T00:00,1.902,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC(A),2010-05-11T00:00,1.856,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC(A),2010-05-14T00:00,2.409,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC(A),2010-05-17T00:00,1.998,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC(A),2010-05-20T00:00,2.152,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC(A),2010-05-23T00:00,1.935,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC(A),2010-05-26T00:00,2.427,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC(A),2010-05-29T00:00,2.330,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC(A),2010-06-01T00:00,3.169,µg/m³,PM2.5,TOR(OC/EC)
