NAPS_Site_ID,Station_Name,Pollutant,Date,Value,Units,Report_Type,Method
30113,JOHNSTON BUILDING,OC,2006-04-14T00:00,0.361,ug/m³,SPEC,
30113,JOHNSTON BUILDING,OC,2006-04-17T00:00,0.265,ug/m³,SPEC,
30113,JOHNSTON BUILDING,OC,2006-04-20T00:00,0.000,ug/m³,SPEC,
30113,JOHNSTON BUILDING,OC,2006-04-23T00:00,0.909,ug/m³,SPEC,
30113,JOHNSTON BUILDING,OC,2006-04-29T00:00,0.537,ug/m³,SPEC,
30113,JOHNSTON BUILDING,OC,2006-05-02T00:00,0.272,ug/m³,SPEC,
30113,JOHNSTON BUILDING,OC,2006-05-05T00:00,1.208,ug/m³,SPEC,
30113,JOHNSTON BUILDING,OC,2006-05-08T00:00,0.777,ug/m³,SPEC,
30113,JOHNSTON BUILDING,OC,2006-05-11T00:00,0.137,ug/m³,SPEC,
30113,JOHNSTON BUILDING,OC,2006-05-14T00:00,0.751,ug/m³,SPEC,
30113,JOHNSTON BUILDING,OC,2006-05-20T00:00,1.208,ug/m³,SPEC,
30113,JOHNSTON BUILDING,OC,2006-05-23T00:00,0.741,ug/m³,SPEC,
30113,JOHNSTON BUILDING,OC,2006-05-26T00:00,0.463,ug/m³,SPEC,
30113,JOHNSTON BUILDING,OC,2006-05-29T00:00,1.376,ug/m³,SPEC,
30113,JOHNSTON BUILDING,OC,2006-06-01T00:00,2.878,ug/m³,SPEC,
30113,JOHNSTON BUILDING,OC,2006-06-04T00:00,0.000,ug/m³,SPEC,
30113,JOHNSTON BUILDING,OC,2006-06-07T00:00,0.000,ug/m³,SPEC,
30113,JOHNSTON BUILDING,OC,2006-06-10T00:00,0.248,ug/m³,SPEC,
30113,JOHNSTON BUILDING,OC,2006-06-13T00:00,2.962,ug/m³,SPEC,
30113,JOHNSTON BUILDING,OC,2006-06-16T00:00,3.050,ug/m³,SPEC,
30113,JOHNSTON BUILDING,OC,2006-06-19T00:00,2.479,ug/m³,SPEC,
30113,JOHNSTON BUILDING,OC,2006-06-22T00:00,2.127,ug/m³,SPEC,
30113,JOHNSTON BUILDING,OC,2006-06-25T00:00,0.487,ug/m³,SPEC,
30113,JOHNSTON BUILDING,OC,2006-06-28T00:00,0.340,ug/m³,SPEC,
