NAPS_Site_ID,Station_Name,Pollutant,Date,Value,Units,Report_Type,Method
30113,JOHNSTON BUILDING,OC3(A),2010-01-08T00:00,0.766,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-01-11T00:00,1.016,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-01-14T00:00,1.156,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-01-17T00:00,0.665,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-01-20T00:00,0.994,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-01-23T00:00,0.826,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-01-26T00:00,1.435,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-01-29T00:00,0.623,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-02-01T00:00,0.568,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-02-04T00:00,0.861,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-02-07T00:00,1.277,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-02-10T00:00,0.918,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-02-13T00:00,1.093,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-02-16T00:00,0.963,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-02-19T00:00,1.097,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-02-22T00:00,1.045,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-02-25T00:00,0.571,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-02-28T00:00,0.467,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-03-03T00:00,0.401,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-03-06T00:00,0.615,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-03-09T00:00,0.922,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-03-12T00:00,1.021,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-03-15T00:00,0.824,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-03-18T00:00,1.149,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-03-21T00:00,0.568,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-03-24T00:00,0.526,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-03-27T00:00,1.012,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-03-30T00:00,0.851,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-04-02T00:00,1.231,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-04-05T00:00,0.704,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-04-08T00:00,1.191,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-04-11T00:00,0.838,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-04-14T00:00,0.943,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-04-17T00:00,1.022,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-04-20T00:00,0.787,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-04-23T00:00,1.323,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-04-26T00:00,0.998,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-04-29T00:00,0.817,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-05-02T00:00,1.225,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-05-05T00:00,1.019,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-05-08T00:00,0.798,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-05-11T00:00,0.734,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-05-14T00:00,0.997,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-05-17T00:00,0.806,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-05-20T00:00,1.075,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-05-23T00:00,0.927,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-05-26T00:00,0.901,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-05-29T00:00,0.812,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-06-01T00:00,1.513,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-06-04T00:00,1.211,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-06-07T00:00,0.787,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-06-10T00:00,1.064,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-06-13T00:00,1.654,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-06-16T00:00,1.373,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-06-19T00:00,2.957,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-06-22T00:00,1.902,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-06-25T00:00,2.465,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-06-28T00:00,1.077,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-07-01T00:00,1.495,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-07-04T00:00,1.197,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-07-07T00:00,1.232,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-07-10T00:00,0.866,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-07-13T00:00,1.198,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-07-16T00:00,1.607,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-07-22T00:00,1.113,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-07-25T00:00,1.895,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-07-28T00:00,1.873,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-07-31T00:00,1.295,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-08-03T00:00,1.878,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-08-06T00:00,1.615,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-08-09T00:00,1.138,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-08-12T00:00,2.153,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-08-15T00:00,2.525,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-08-18T00:00,1.583,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-08-21T00:00,1.396,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-08-24T00:00,0.859,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-08-27T00:00,1.371,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-08-30T00:00,2.123,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-09-02T00:00,1.228,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-09-05T00:00,1.185,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-09-08T00:00,1.218,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-09-11T00:00,0.812,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-09-14T00:00,0.874,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-09-17T00:00,0.777,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-09-20T00:00,1.151,µg/m³,PM2.5,TOR(OC/EC)
30113,JOHNSTON BUILDING,OC3(A),2010-09-23T00:00,1.051,µg/m³,PM2.5,TOR(OC/EC)
