NAPS_Site_ID,Station_Name,Pollutant,Date,Value,Units,Report_Type,Method
10102,WATER STREET POST OFFICE,OCDD,1999-08-10T00:00,0.037,pg/m³,PCDD,
10102,WATER STREET POST OFFICE,OCDD,1999-10-09T00:00,0.030,pg/m³,PCDD,
10102,WATER STREET POST OFFICE,OCDD,1999-11-20T00:00,0.074,pg/m³,PCDD,
10102,WATER STREET POST OFFICE,OCDD,1999-12-14T00:00,0.114,pg/m³,PCDD,
10102,WATER STREET POST OFFICE,OCDD,2000-01-07T00:00,0.075,pg/m³,PCDD,
10102,WATER STREET POST OFFICE,OCDD,2000-01-31T00:00,0.067,pg/m³,PCDD,
10102,WATER STREET POST OFFICE,OCDD,2000-02-24T00:00,0.281,pg/m³,PCDD,
10102,WATER STREET POST OFFICE,OCDD,2000-04-12T00:00,0.084,pg/m³,PCDD,
10102,WATER STREET POST OFFICE,OCDD,2000-05-30T00:00,0.038,pg/m³,PCDD,
10102,WATER STREET POST OFFICE,OCDD,2000-06-23T00:00,0.026,pg/m³,PCDD,
10102,WATER STREET POST OFFICE,OCDD,2000-08-10T00:00,0.032,pg/m³,PCDD,
10102,WATER STREET POST OFFICE,OCDD,2000-09-03T00:00,0.000,pg/m³,PCDD,
10102,WATER STREET POST OFFICE,OCDD,2000-09-27T00:00,0.042,pg/m³,PCDD,
10102,WATER STREET POST OFFICE,OCDD,2000-11-14T00:00,0.133,pg/m³,PCDD,
10102,WATER STREET POST OFFICE,OCDD,2000-12-08T00:00,0.170,pg/m³,PCDD,
10102,WATER STREET POST OFFICE,OCDD,2001-03-14T00:00,0.025,pg/m³,PCDD,
10102,WATER STREET POST OFFICE,OCDD,2001-04-07T00:00,0.205,pg/m³,PCDD,
10102,WATER STREET POST OFFICE,OCDD,2001-05-01T00:00,0.074,pg/m³,PCDD,
10102,WATER STREET POST OFFICE,OCDD,2001-08-05T00:00,0.041,pg/m³,PCDD,
10102,WATER STREET POST OFFICE,OCDD,2001-11-09T00:00,0.068,pg/m³,PCDD,
10102,WATER STREET POST OFFICE,OCDD,2001-12-03T00:00,0.150,pg/m³,PCDD,
10102,WATER STREET POST OFFICE,OCDD,2002-04-02T00:00,0.042,pg/m³,PCDD,
10102,WATER STREET POST OFFICE,OCDD,2002-04-26T00:00,0.072,pg/m³,PCDD,
10102,WATER STREET POST OFFICE,OCDD,2002-06-13T00:00,0.462,pg/m³,PCDD,
10102,WATER STREET POST OFFICE,OCDD,2002-07-31T00:00,0.458,pg/m³,PCDD,
10102,WATER STREET POST OFFICE,OCDD,2002-09-17T00:00,0.086,pg/m³,PCDD,
10301,CREDIT UNION,OCDD,2005-12-12T00:00,0.669,pg/m³,PCDD,
10301,CREDIT UNION,OCDD,2005-12-24T00:00,0.373,pg/m³,PCDD,
10301,CREDIT UNION,OCDD,2006-01-05T00:00,0.087,pg/m³,PCDD,
10301,CREDIT UNION,OCDD,2006-01-17T00:00,0.292,pg/m³,PCDD,
10301,CREDIT UNION,OCDD,2006-05-29T00:00,0.090,pg/m³,PCDD,
10301,CREDIT UNION,OCDD,2006-06-10T00:00,0.220,pg/m³,PCDD,
10301,CREDIT UNION,OCDD,2006-06-22T00:00,0.111,pg/m³,PCDD,
10301,CREDIT UNION,OCDD,2006-07-04T00:00,0.130,pg/m³,PCDD,
10301,CREDIT UNION,OCDD,2006-07-16T00:00,0.058,pg/m³,PCDD,
10301,CREDIT UNION,OCDD,2006-09-14T00:00,0.077,pg/m³,PCDD,
10301,CREDIT UNION,OCDD,2006-09-26T00:00,0.047,pg/m³,PCDD,
10301,CREDIT UNION,OCDD,2006-11-25T00:00,0.055,pg/m³,PCDD,
10301,CREDIT UNION,OCDD,2006-12-07T00:00,0.052,pg/m³,PCDD,
10301,CREDIT UNION,OCDD,2006-12-19T00:00,0.171,pg/m³,PCDD,
10301,CREDIT UNION,OCDD,2007-01-12T00:00,0.148,pg/m³,PCDD,
10301,CREDIT UNION,OCDD,2007-02-05T00:00,0.115,pg/m³,PCDD,
10301,CREDIT UNION,OCDD,2007-03-01T00:00,0.137,pg/m³,PCDD,
10301,CREDIT UNION,OCDD,2007-03-25T00:00,0.083,pg/m³,PCDD,
10301,CREDIT UNION,OCDD,2007-06-05T00:00,0.105,pg/m³,PCDD,
10301,CREDIT UNION,OCDD,2007-07-11T00:00,0.074,pg/m³,PCDD,
10301,CREDIT UNION,OCDD,2007-07-23T00:00,0.083,pg/m³,PCDD,
10301,CREDIT UNION,OCDD,2007-08-04T00:00,0.110,pg/m³,PCDD,
10301,CREDIT UNION,OCDD,2007-08-16T00:00,0.104,pg/m³,PCDD,
10301,CREDIT UNION,OCDD,2007-08-28T00:00,0.049,pg/m³,PCDD,
10301,CREDIT UNION,OCDD,2007-10-03T00:00,0.066,pg/m³,PCDD,
10301,CREDIT UNION,OCDD,2007-10-27T00:00,0.082,pg/m³,PCDD,
10301,CREDIT UNION,OCDD,2007-11-08T00:00,0.063,pg/m³,PCDD,
10301,CREDIT UNION,OCDD,2007-11-20T00:00,0.131,pg/m³,PCDD,
