NAPS_Site_ID,Station_Name,Pollutant,Date,Value,Units,Report_Type,Method
60204,WINDSOR DOWNTOWN,PCP,1996-10-06T00:00,4.020,ng/m³,HCB,
60204,WINDSOR DOWNTOWN,PCP,1997-02-09T00:00,0.154,ng/m³,HCB,
60204,WINDSOR DOWNTOWN,PCP,1997-02-21T00:00,6.043,ng/m³,HCB,
60204,WINDSOR DOWNTOWN,PCP,1997-03-05T00:00,0.488,ng/m³,HCB,
60204,WINDSOR DOWNTOWN,PCP,1997-03-17T00:00,0.320,ng/m³,HCB,
60204,WINDSOR DOWNTOWN,PCP,1997-03-29T00:00,1.130,ng/m³,HCB,
60204,WINDSOR DOWNTOWN,PCP,1997-04-10T00:00,0.213,ng/m³,HCB,
60204,WINDSOR DOWNTOWN,PCP,1997-04-22T00:00,0.226,ng/m³,HCB,
60204,WINDSOR DOWNTOWN,PCP,1997-05-04T00:00,0.460,ng/m³,HCB,
60204,WINDSOR DOWNTOWN,PCP,1997-05-16T00:00,0.215,ng/m³,HCB,
60204,WINDSOR DOWNTOWN,PCP,1997-05-28T00:00,0.457,ng/m³,HCB,
60204,WINDSOR DOWNTOWN,PCP,1997-06-09T00:00,4.297,ng/m³,HCB,
60204,WINDSOR DOWNTOWN,PCP,1997-06-21T00:00,9.706,ng/m³,HCB,
60204,WINDSOR DOWNTOWN,PCP,1997-07-03T00:00,3.572,ng/m³,HCB,
60204,WINDSOR DOWNTOWN,PCP,1997-07-15T00:00,2.183,ng/m³,HCB,
60204,WINDSOR DOWNTOWN,PCP,1997-07-27T00:00,1.245,ng/m³,HCB,
60204,WINDSOR DOWNTOWN,PCP,1997-08-20T00:00,1.371,ng/m³,HCB,
60204,WINDSOR DOWNTOWN,PCP,1997-09-01T00:00,3.055,ng/m³,HCB,
60204,WINDSOR DOWNTOWN,PCP,1997-09-13T00:00,3.054,ng/m³,HCB,
60204,WINDSOR DOWNTOWN,PCP,1997-11-12T00:00,0.047,ng/m³,HCB,
60204,WINDSOR DOWNTOWN,PCP,1997-11-24T00:00,0.155,ng/m³,HCB,
