NAPS_Site_ID,Station_Name,Pollutant,Date,Value,Units,Report_Type,Method
30113,JOHNSTON BUILDING,PM2.5-10,2010-04-08T00:00,4.736,µg/m³,PM2.5-10,Microbalance
30113,JOHNSTON BUILDING,PM2.5-10,2010-04-11T00:00,5.468,µg/m³,PM2.5-10,Microbalance
30113,JOHNSTON BUILDING,PM2.5-10,2010-04-14T00:00,8.208,µg/m³,PM2.5-10,Microbalance
30113,JOHNSTON BUILDING,PM2.5-10,2010-04-17T00:00,4.144,µg/m³,PM2.5-10,Microbalance
30113,JOHNSTON BUILDING,PM2.5-10,2010-04-20T00:00,2.903,µg/m³,PM2.5-10,Microbalance
30113,JOHNSTON BUILDING,PM2.5-10,2010-04-23T00:00,6.324,µg/m³,PM2.5-10,Microbalance
30113,JOHNSTON BUILDING,PM2.5-10,2010-04-26T00:00,5.255,µg/m³,PM2.5-10,Microbalance
30113,JOHNSTON BUILDING,PM2.5-10,2010-04-29T00:00,2.875,µg/m³,PM2.5-10,Microbalance
30113,JOHNSTON BUILDING,PM2.5-10,2010-05-02T00:00,4.356,µg/m³,PM2.5-10,Microbalance
30113,JOHNSTON BUILDING,PM2.5-10,2010-05-05T00:00,4.065,µg/m³,PM2.5-10,Microbalance
30113,JOHNSTON BUILDING,PM2.5-10,2010-05-08T00:00,3.190,µg/m³,PM2.5-10,Microbalance
30113,JOHNSTON BUILDING,PM2.5-10,2010-05-11T00:00,2.838,µg/m³,PM2.5-10,Microbalance
30113,JOHNSTON BUILDING,PM2.5-10,2010-05-14T00:00,5.639,µg/m³,PM2.5-10,Microbalance
30113,JOHNSTON BUILDING,PM2.5-10,2010-05-17T00:00,3.796,µg/m³,PM2.5-10,Microbalance
30113,JOHNSTON BUILDING,PM2.5-10,2010-05-20T00:00,2.718,µg/m³,PM2.5-10,Microbalance
30113,JOHNSTON BUILDING,PM2.5-10,2010-05-23T00:00,6.051,µg/m³,PM2.5-10,Microbalance
30113,JOHNSTON BUILDING,PM2.5-10,2010-05-26T00:00,4.838,µg/m³,PM2.5-10,Microbalance
30113,JOHNSTON BUILDING,PM2.5-10,2010-05-29T00:00,3.736,µg/m³,PM2.5-10,Microbalance
30113,JOHNSTON BUILDING,PM2.5-10,2010-06-01T00:00,6.741,µg/m³,PM2.5-10,Microbalance
30113,JOHNSTON BUILDING,PM2.5-10,2010-06-04T00:00,4.306,µg/m³,PM2.5-10,Microbalance
30113,JOHNSTON BUILDING,PM2.5-10,2010-06-07T00:00,3.074,µg/m³,PM2.5-10,Microbalance
30113,JOHNSTON BUILDING,PM2.5-10,2010-06-10T00:00,3.745,µg/m³,PM2.5-10,Microbalance
30113,JOHNSTON BUILDING,PM2.5-10,2010-06-13T00:00,3.157,µg/m³,PM2.5-10,Microbalance
30113,JOHNSTON BUILDING,PM2.5-10,2010-06-16T00:00,5.139,µg/m³,PM2.5-10,Microbalance
30113,JOHNSTON BUILDING,PM2.5-10,2010-06-19T00:00,6.208,µg/m³,PM2.5-10,Microbalance
30113,JOHNSTON BUILDING,PM2.5-10,2010-06-22T00:00,5.657,µg/m³,PM2.5-10,Microbalance
30113,JOHNSTON BUILDING,PM2.5-10,2010-06-25T00:00,5.287,µg/m³,PM2.5-10,Microbalance
30113,JOHNSTON BUILDING,PM2.5-10,2010-06-28T00:00,2.773,µg/m³,PM2.5-10,Microbalance
30113,JOHNSTON BUILDING,PM2.5-10,2010-07-01T00:00,3.917,µg/m³,PM2.5-10,Microbalance
30113,JOHNSTON BUILDING,PM2.5-10,2010-07-04T00:00,6.014,µg/m³,PM2.5-10,Microbalance
30113,JOHNSTON BUILDING,PM2.5-10,2010-07-07T00:00,10.731,µg/m³,PM2.5-10,Microbalance
30113,JOHNSTON BUILDING,PM2.5-10,2010-07-10T00:00,9.644,µg/m³,PM2.5-10,Microbalance
30113,JOHNSTON BUILDING,PM2.5-10,2010-07-13T00:00,1.949,µg/m³,PM2.5-10,Microbalance
30113,JOHNSTON BUILDING,PM2.5-10,2010-07-22T00:00,7.069,µg/m³,PM2.5-10,Microbalance
30113,JOHNSTON BUILDING,PM2.5-10,2010-07-25T00:00,2.421,µg/m³,PM2.5-10,Microbalance
30113,JOHNSTON BUILDING,PM2.5-10,2010-07-28T00:00,5.755,µg/m³,PM2.5-10,Microbalance
30113,JOHNSTON BUILDING,PM2.5-10,2010-07-31T00:00,3.347,µg/m³,PM2.5-10,Microbalance
30113,JOHNSTON BUILDING,PM2.5-10,2010-08-03T00:00,4.769,µg/m³,PM2.5-10,Microbalance
30113,JOHNSTON BUILDING,PM2.5-10,2010-08-06T00:00,3.991,µg/m³,PM2.5-10,Microbalance
30113,JOHNSTON BUILDING,PM2.5-10,2010-08-09T00:00,7.370,µg/m³,PM2.5-10,Microbalance
30113,JOHNSTON BUILDING,PM2.5-10,2010-08-12T00:00,5.634,µg/m³,PM2.5-10,Microbalance
30113,JOHNSTON BUILDING,PM2.5-10,2010-08-15T00:00,2.407,µg/m³,PM2.5-10,Microbalance
30113,JOHNSTON BUILDING,PM2.5-10,2010-08-18T00:00,6.884,µg/m³,PM2.5-10,Microbalance
30113,JOHNSTON BUILDING,PM2.5-10,2010-08-21T00:00,2.704,µg/m³,PM2.5-10,Microbalance
30113,JOHNSTON BUILDING,PM2.5-10,2010-08-24T00:00,6.167,µg/m³,PM2.5-10,Microbalance
30113,JOHNSTON BUILDING,PM2.5-10,2010-08-27T00:00,3.903,µg/m³,PM2.5-10,Microbalance
30113,JOHNSTON BUILDING,PM2.5-10,2010-08-30T00:00,10.491,µg/m³,PM2.5-10,Microbalance
30113,JOHNSTON BUILDING,PM2.5-10,2010-09-02T00:00,8.792,µg/m³,PM2.5-10,Microbalance
30113,JOHNSTON BUILDING,PM2.5-10,2010-09-05T00:00,11.995,µg/m³,PM2.5-10,Microbalance
30113,JOHNSTON BUILDING,PM2.5-10,2010-09-08T00:00,9.042,µg/m³,PM2.5-10,Microbalance
30113,JOHNSTON BUILDING,PM2.5-10,2010-09-14T00:00,4.023,µg/m³,PM2.5-10,Microbalance
30113,JOHNSTON BUILDING,PM2.5-10,2010-09-20T00:00,8.394,µg/m³,PM2.5-10,Microbalance
30113,JOHNSTON BUILDING,PM2.5-10,2010-09-23T00:00,6.662,µg/m³,PM2.5-10,Microbalance
30113,JOHNSTON BUILDING,PM2.5-10,2010-09-26T00:00,3.398,µg/m³,PM2.5-10,Microbalance
30113,JOHNSTON BUILDING,PM2.5-10,2010-09-29T00:00,4.241,µg/m³,PM2.5-10,Microbalance
30113,JOHNSTON BUILDING,PM2.5-10,2010-10-02T00:00,8.269,µg/m³,PM2.5-10,Microbalance
30113,JOHNSTON BUILDING,PM2.5-10,2010-10-05T00:00,6.116,µg/m³,PM2.5-10,Microbalance
30113,JOHNSTON BUILDING,PM2.5-10,2010-10-08T00:00,5.255,µg/m³,PM2.5-10,Microbalance
30113,JOHNSTON BUILDING,PM2.5-10,2010-10-11T00:00,3.949,µg/m³,PM2.5-10,Microbalance
30113,JOHNSTON BUILDING,PM2.5-10,2010-10-14T00:00,4.269,µg/m³,PM2.5-10,Microbalance
30113,JOHNSTON BUILDING,PM2.5-10,2010-10-17T00:00,2.579,µg/m³,PM2.5-10,Microbalance
30113,JOHNSTON BUILDING,PM2.5-10,2010-10-20T00:00,4.792,µg/m³,PM2.5-10,Microbalance
30113,JOHNSTON BUILDING,PM2.5-10,2010-10-23T00:00,2.366,µg/m³,PM2.5-10,Microbalance
30113,JOHNSTON BUILDING,PM2.5-10,2010-10-26T00:00,3.199,µg/m³,PM2.5-10,Microbalance
30113,JOHNSTON BUILDING,PM2.5-10,2010-10-29T00:00,6.421,µg/m³,PM2.5-10,Microbalance
30113,JOHNSTON BUILDING,PM2.5-10,2010-11-01T00:00,3.208,µg/m³,PM2.5-10,Microbalance
30113,JOHNSTON BUILDING,PM2.5-10,2010-11-04T00:00,5.523,µg/m³,PM2.5-10,Microbalance
30113,JOHNSTON BUILDING,PM2.5-10,2010-11-07T00:00,12.565,µg/m³,PM2.5-10,Microbalance
