NAPS_Site_ID,Station_Name,Pollutant,Date,Value,Units,Report_Type,Method
10102,WATER STREET POST OFFICE,Phenanthrene,1999-08-10T00:00,0.814,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Phenanthrene,1999-08-22T00:00,2.172,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Phenanthrene,1999-09-03T00:00,1.270,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Phenanthrene,1999-10-09T00:00,1.494,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Phenanthrene,1999-10-15T00:00,0.987,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Phenanthrene,1999-10-21T00:00,2.719,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Phenanthrene,1999-11-08T00:00,5.323,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Phenanthrene,1999-11-20T00:00,1.229,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Phenanthrene,1999-12-02T00:00,2.688,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Phenanthrene,1999-12-14T00:00,1.672,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Phenanthrene,1999-12-26T00:00,1.392,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Phenanthrene,2000-01-07T00:00,1.521,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Phenanthrene,2000-01-19T00:00,3.330,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Phenanthrene,2000-01-31T00:00,1.080,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Phenanthrene,2000-02-24T00:00,1.169,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Phenanthrene,2000-03-07T00:00,3.033,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Phenanthrene,2000-03-31T00:00,0.905,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Phenanthrene,2000-04-12T00:00,1.179,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Phenanthrene,2000-04-24T00:00,1.028,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Phenanthrene,2000-05-18T00:00,0.795,ng/m³,PAH,
