NAPS_Site_ID,Station_Name,Pollutant,Date,Value,Units,Report_Type,Method
10102,WATER STREET POST OFFICE,Pyrene,1999-08-10T00:00,0.136,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Pyrene,1999-08-22T00:00,0.233,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Pyrene,1999-09-03T00:00,0.148,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Pyrene,1999-10-09T00:00,0.373,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Pyrene,1999-10-15T00:00,0.181,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Pyrene,1999-10-21T00:00,0.514,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Pyrene,1999-11-08T00:00,0.999,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Pyrene,1999-11-20T00:00,0.308,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Pyrene,1999-12-02T00:00,0.510,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Pyrene,1999-12-14T00:00,0.338,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Pyrene,1999-12-26T00:00,0.314,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Pyrene,2000-01-07T00:00,0.282,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Pyrene,2000-01-19T00:00,0.509,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Pyrene,2000-01-31T00:00,0.251,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Pyrene,2000-02-24T00:00,0.270,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Pyrene,2000-03-07T00:00,0.697,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Pyrene,2000-03-31T00:00,0.137,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Pyrene,2000-04-12T00:00,0.150,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Pyrene,2000-04-24T00:00,0.192,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Pyrene,2000-05-18T00:00,0.108,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Pyrene,2000-05-30T00:00,0.109,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Pyrene,2000-06-11T00:00,0.562,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Pyrene,2000-06-23T00:00,0.149,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Pyrene,2000-07-05T00:00,0.318,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Pyrene,2000-07-29T00:00,0.277,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Pyrene,2000-08-10T00:00,0.192,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Pyrene,2000-08-22T00:00,0.232,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Pyrene,2000-09-03T00:00,0.138,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Pyrene,2000-09-15T00:00,0.123,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Pyrene,2000-09-27T00:00,0.171,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Pyrene,2000-11-14T00:00,0.310,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Pyrene,2000-11-26T00:00,0.617,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Pyrene,2000-12-08T00:00,0.273,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Pyrene,2000-12-20T00:00,0.386,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Pyrene,2001-01-13T00:00,0.637,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Pyrene,2001-02-06T00:00,0.114,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Pyrene,2001-03-02T00:00,0.107,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Pyrene,2001-03-14T00:00,0.138,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Pyrene,2001-03-26T00:00,0.102,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Pyrene,2001-04-07T00:00,0.110,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Pyrene,2001-04-19T00:00,0.094,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Pyrene,2001-05-01T00:00,0.185,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Pyrene,2001-05-13T00:00,0.253,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Pyrene,2001-06-06T00:00,0.102,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Pyrene,2001-06-30T00:00,0.123,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Pyrene,2001-08-05T00:00,0.325,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Pyrene,2001-08-17T00:00,0.332,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Pyrene,2001-09-10T00:00,0.613,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Pyrene,2001-09-22T00:00,0.269,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Pyrene,2001-10-28T00:00,0.330,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Pyrene,2001-11-09T00:00,0.447,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Pyrene,2001-11-21T00:00,0.854,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Pyrene,2001-12-03T00:00,0.285,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Pyrene,2001-12-15T00:00,0.747,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Pyrene,2002-01-08T00:00,0.509,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Pyrene,2002-02-01T00:00,0.289,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Pyrene,2002-03-21T00:00,0.061,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Pyrene,2002-04-02T00:00,0.105,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Pyrene,2002-04-14T00:00,0.281,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Pyrene,2002-04-26T00:00,0.242,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Pyrene,2002-05-08T00:00,0.158,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Pyrene,2002-06-01T00:00,0.180,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Pyrene,2002-06-13T00:00,0.275,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Pyrene,2002-06-25T00:00,0.215,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Pyrene,2002-07-19T00:00,0.245,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Pyrene,2002-07-31T00:00,0.589,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Pyrene,2002-09-05T00:00,0.364,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Pyrene,2002-09-17T00:00,0.230,ng/m³,PAH,
10301,CREDIT UNION,Pyrene,2010-01-06T00:00,0.480,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,Pyrene,2010-01-20T00:00,2.969,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,Pyrene,2010-03-09T00:00,0.394,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,Pyrene,2010-03-21T00:00,0.392,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,Pyrene,2010-04-02T00:00,0.892,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,Pyrene,2010-04-14T00:00,0.430,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,Pyrene,2010-04-26T00:00,0.451,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,Pyrene,2010-05-08T00:00,0.265,ng/m³,PAH,GC-MS TP+G
