NAPS_Site_ID,Station_Name,Pollutant,Date,Value,Units,Report_Type,Method
10102,WATER STREET POST OFFICE,Retene,2001-01-13T00:00,0.995,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Retene,2001-02-06T00:00,0.093,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Retene,2001-03-02T00:00,0.068,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Retene,2001-03-14T00:00,0.133,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Retene,2001-03-26T00:00,0.057,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Retene,2001-04-07T00:00,0.000,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Retene,2001-04-19T00:00,0.049,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Retene,2001-05-01T00:00,0.058,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Retene,2001-05-13T00:00,0.085,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Retene,2001-06-06T00:00,0.052,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Retene,2001-06-30T00:00,0.051,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Retene,2001-08-05T00:00,0.214,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Retene,2001-08-17T00:00,0.052,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Retene,2001-09-10T00:00,0.084,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Retene,2001-09-22T00:00,0.081,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Retene,2001-10-28T00:00,0.213,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Retene,2001-11-09T00:00,0.143,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Retene,2001-11-21T00:00,0.937,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Retene,2001-12-03T00:00,0.272,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Retene,2001-12-15T00:00,0.525,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Retene,2002-01-08T00:00,0.332,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Retene,2002-02-01T00:00,0.079,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Retene,2002-03-21T00:00,0.042,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Retene,2002-04-02T00:00,0.055,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Retene,2002-04-14T00:00,0.207,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Retene,2002-04-26T00:00,0.593,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Retene,2002-05-08T00:00,0.085,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Retene,2002-06-01T00:00,0.090,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Retene,2002-06-13T00:00,0.050,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Retene,2002-06-25T00:00,0.062,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Retene,2002-07-19T00:00,0.046,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Retene,2002-07-31T00:00,0.097,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Retene,2002-09-05T00:00,0.067,ng/m³,PAH,
10102,WATER STREET POST OFFICE,Retene,2002-09-17T00:00,0.066,ng/m³,PAH,
10301,CREDIT UNION,Retene,2010-01-06T00:00,0.132,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,Retene,2010-01-20T00:00,1.463,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,Retene,2010-03-09T00:00,0.252,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,Retene,2010-03-21T00:00,0.355,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,Retene,2010-04-02T00:00,0.453,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,Retene,2010-04-14T00:00,0.456,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,Retene,2010-04-26T00:00,0.171,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,Retene,2010-05-08T00:00,0.097,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,Retene,2010-06-13T00:00,0.097,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,Retene,2010-08-24T00:00,0.172,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,Retene,2010-09-17T00:00,0.186,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,Retene,2010-09-29T00:00,0.114,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,Retene,2010-11-28T00:00,0.520,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,Retene,2010-12-10T00:00,0.135,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,Retene,2010-12-22T00:00,0.271,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,Retene,2011-01-03T00:00,0.583,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,Retene,2011-01-15T00:00,0.382,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,Retene,2011-01-27T00:00,0.321,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,Retene,2011-02-08T00:00,0.882,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,Retene,2011-03-16T00:00,0.397,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,Retene,2011-04-21T00:00,0.504,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,Retene,2011-05-15T00:00,0.273,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,Retene,2011-05-26T00:00,0.121,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,Retene,2011-05-27T00:00,0.012,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,Retene,2011-06-20T00:00,0.124,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,Retene,2011-08-31T00:00,0.093,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,Retene,2011-09-12T00:00,0.105,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,Retene,2011-10-06T00:00,0.110,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,Retene,2011-10-30T00:00,0.300,ng/m³,PAH,GC-MS TP+G
10301,CREDIT UNION,Retene,2005-12-12T00:00,0.699,ng/m³,PAH,
10301,CREDIT UNION,Retene,2005-12-24T00:00,1.203,ng/m³,PAH,
10301,CREDIT UNION,Retene,2006-01-05T00:00,1.928,ng/m³,PAH,
10301,CREDIT UNION,Retene,2006-01-17T00:00,0.101,ng/m³,PAH,
10301,CREDIT UNION,Retene,2006-05-29T00:00,0.168,ng/m³,PAH,
10301,CREDIT UNION,Retene,2006-06-10T00:00,0.134,ng/m³,PAH,
10301,CREDIT UNION,Retene,2006-06-22T00:00,0.095,ng/m³,PAH,
10301,CREDIT UNION,Retene,2006-07-04T00:00,0.186,ng/m³,PAH,
10301,CREDIT UNION,Retene,2006-07-16T00:00,0.089,ng/m³,PAH,
10301,CREDIT UNION,Retene,2006-08-21T00:00,0.116,ng/m³,PAH,
10301,CREDIT UNION,Retene,2006-09-02T00:00,0.146,ng/m³,PAH,
10301,CREDIT UNION,Retene,2006-09-14T00:00,0.111,ng/m³,PAH,
10301,CREDIT UNION,Retene,2006-09-26T00:00,0.216,ng/m³,PAH,
10301,CREDIT UNION,Retene,2006-11-25T00:00,0.112,ng/m³,PAH,
