NAPS_Site_ID,Station_Name,Pollutant,Date,Value,Units,Report_Type,Method
10101,DUCKWORTH & ORDINANCE,SO4,1984-09-21T00:00,0.480,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,SO4,1984-09-21T00:00,4.090,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,SO4,1984-09-27T00:00,0.380,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,SO4,1984-09-27T00:00,2.890,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,SO4,1984-10-03T00:00,0.640,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,SO4,1984-10-03T00:00,1.280,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,SO4,1984-10-15T00:00,0.400,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,SO4,1984-10-15T00:00,3.690,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,SO4,1984-10-21T00:00,0.350,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,SO4,1984-10-21T00:00,2.940,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,SO4,1984-11-02T00:00,0.290,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,SO4,1984-11-02T00:00,1.720,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,SO4,1984-11-14T00:00,0.280,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,SO4,1984-11-14T00:00,2.380,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,SO4,1984-11-20T00:00,0.350,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,SO4,1984-11-20T00:00,2.260,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,SO4,1984-11-26T00:00,0.200,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,SO4,1984-11-26T00:00,1.290,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,SO4,1984-12-14T00:00,0.310,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,SO4,1984-12-14T00:00,3.770,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,SO4,1984-12-20T00:00,0.000,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,SO4,1984-12-20T00:00,1.150,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,SO4,1985-01-07T00:00,0.000,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,SO4,1985-01-07T00:00,0.000,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,SO4,1985-01-13T00:00,0.340,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,SO4,1985-01-13T00:00,1.020,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,SO4,1985-01-19T00:00,0.480,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,SO4,1985-01-19T00:00,4.260,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,SO4,1985-01-25T00:00,0.450,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,SO4,1985-01-25T00:00,4.410,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,SO4,1985-02-06T00:00,0.170,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,SO4,1985-02-06T00:00,2.320,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,SO4,1985-02-12T00:00,0.000,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,SO4,1985-02-12T00:00,2.590,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,SO4,1985-02-24T00:00,0.300,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,SO4,1985-02-24T00:00,3.410,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,SO4,1985-03-02T00:00,0.640,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,SO4,1985-03-02T00:00,2.740,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,SO4,1985-03-08T00:00,0.380,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,SO4,1985-03-08T00:00,5.200,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,SO4,1985-03-20T00:00,0.410,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,SO4,1985-03-20T00:00,3.740,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,SO4,1985-04-07T00:00,0.400,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,SO4,1985-04-07T00:00,3.600,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,SO4,1985-04-13T00:00,0.980,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,SO4,1985-04-13T00:00,4.860,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,SO4,1985-04-25T00:00,0.320,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,SO4,1985-04-25T00:00,1.480,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,SO4,1985-05-07T00:00,0.450,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,SO4,1985-05-07T00:00,5.940,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,SO4,1985-07-18T00:00,0.280,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,SO4,1985-07-18T00:00,1.620,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,SO4,1985-07-24T00:00,0.470,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,SO4,1985-07-24T00:00,4.200,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,SO4,1985-07-30T00:00,0.150,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,SO4,1985-07-30T00:00,0.970,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,SO4,1985-08-05T00:00,0.210,ug/m³,DICHOT,
10101,DUCKWORTH & ORDINANCE,SO4,1985-08-05T00:00,0.530,ug/m³,DICHOT,
