NAPS_Site_ID,Station_Name,Pollutant,Date,Value,Units,Report_Type,Method
10102,WATER STREET POST OFFICE,Sodium,2016-06-23T00:00,0.261,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sodium,2016-06-29T00:00,0.134,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sodium,2016-07-05T00:00,0.359,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sodium,2016-07-11T00:00,0.195,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sodium,2016-07-17T00:00,0.136,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sodium,2016-07-23T00:00,0.276,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sodium,2016-07-29T00:00,0.043,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sodium,2016-08-04T00:00,0.514,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sodium,2016-08-10T00:00,0.109,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sodium,2016-08-16T00:00,0.130,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sodium,2016-08-22T00:00,0.275,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sodium,2016-08-28T00:00,0.263,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sodium,2016-09-03T00:00,0.127,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sodium,2016-09-09T00:00,0.044,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sodium,2016-09-15T00:00,0.102,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sodium,2016-09-21T00:00,0.335,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sodium,2016-10-09T00:00,0.410,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sodium,2016-10-15T00:00,0.675,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sodium,2016-10-21T00:00,0.800,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sodium,2016-10-27T00:00,0.420,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sodium,2016-11-02T00:00,0.192,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sodium,2016-11-08T00:00,0.262,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sodium,2016-11-14T00:00,0.222,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sodium,2016-11-20T00:00,0.216,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sodium,2016-11-26T00:00,0.107,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sodium,2016-12-02T00:00,0.365,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sodium,2016-12-08T00:00,0.144,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sodium,2016-12-14T00:00,0.249,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sodium,2016-12-20T00:00,0.193,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sodium,2016-12-26T00:00,0.536,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sodium,2017-01-01T00:00,0.316,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sodium,2017-01-07T00:00,0.270,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sodium,2017-01-13T00:00,0.548,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sodium,2017-01-19T00:00,0.416,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sodium,2017-01-25T00:00,0.244,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sodium,2017-01-31T00:00,0.472,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sodium,2017-02-12T00:00,0.200,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sodium,2017-02-18T00:00,0.456,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sodium,2017-02-24T00:00,0.211,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sodium,2017-03-02T00:00,0.234,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sodium,2017-03-20T00:00,0.212,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sodium,2017-03-26T00:00,0.251,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sodium,2017-04-01T00:00,1.393,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sodium,2017-04-07T00:00,0.705,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sodium,2017-04-13T00:00,0.095,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sodium,2017-04-19T00:00,1.018,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sodium,2017-04-25T00:00,0.485,µg/m³,PM2.5,IC
