NAPS_Site_ID,Station_Name,Pollutant,Date,Value,Units,Report_Type,Method
30101,DALTECH,Sulfur,1985-11-09T00:00,1.860,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1985-11-09T00:00,0.205,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1985-12-03T00:00,0.532,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1985-12-03T00:00,3.090,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1985-12-27T00:00,2.260,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1985-12-27T00:00,0.149,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1986-01-20T00:00,0.338,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1986-01-20T00:00,0.101,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1986-02-13T00:00,0.235,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1986-02-13T00:00,3.630,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1986-03-09T00:00,4.190,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1986-03-09T00:00,0.382,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1986-04-02T00:00,0.267,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1986-04-02T00:00,1.600,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1986-05-20T00:00,0.249,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1986-05-20T00:00,2.330,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1986-06-13T00:00,0.313,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1986-06-13T00:00,1.570,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1986-07-07T00:00,0.203,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1986-07-07T00:00,1.630,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1986-07-31T00:00,0.972,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1986-07-31T00:00,0.142,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1986-08-24T00:00,0.357,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1986-08-24T00:00,0.946,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1986-09-17T00:00,0.770,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1986-09-17T00:00,0.477,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1986-10-11T00:00,0.103,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1986-10-11T00:00,1.090,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1986-11-22T00:00,0.134,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1986-11-22T00:00,1.150,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1986-11-28T00:00,0.174,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1986-11-28T00:00,2.790,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1986-12-04T00:00,0.323,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1986-12-04T00:00,2.900,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1986-12-10T00:00,0.176,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1986-12-10T00:00,3.600,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1986-12-16T00:00,1.850,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1986-12-16T00:00,0.190,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1986-12-22T00:00,1.710,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1986-12-22T00:00,0.137,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1987-01-15T00:00,0.235,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1987-01-15T00:00,2.940,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1987-01-21T00:00,0.120,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1987-01-21T00:00,3.460,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1987-01-27T00:00,0.066,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1987-01-27T00:00,1.310,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1987-02-02T00:00,0.122,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1987-02-02T00:00,3.100,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1987-02-08T00:00,0.259,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1987-02-08T00:00,3.850,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1987-02-14T00:00,2.840,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1987-02-14T00:00,0.223,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1987-02-20T00:00,2.630,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1987-02-20T00:00,0.349,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1987-02-26T00:00,0.133,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1987-02-26T00:00,0.910,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1987-03-04T00:00,0.242,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1987-03-04T00:00,1.660,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1987-03-10T00:00,1.590,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1987-03-10T00:00,0.315,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1987-03-28T00:00,2.410,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1987-03-28T00:00,0.024,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1987-04-03T00:00,3.130,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1987-04-03T00:00,0.343,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1987-04-09T00:00,0.154,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1987-04-09T00:00,1.710,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1987-04-15T00:00,0.932,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1987-04-15T00:00,0.107,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1987-04-21T00:00,0.890,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1987-04-21T00:00,0.181,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1987-04-27T00:00,0.169,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1987-04-27T00:00,1.590,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1987-05-03T00:00,0.284,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1987-05-03T00:00,3.810,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1987-05-09T00:00,2.270,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1987-05-09T00:00,0.226,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1987-05-15T00:00,1.180,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1987-05-15T00:00,0.280,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1987-05-21T00:00,2.460,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1987-05-21T00:00,0.285,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1987-05-27T00:00,0.280,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1987-05-27T00:00,1.840,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1987-06-02T00:00,0.957,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1987-06-02T00:00,0.156,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1987-06-08T00:00,1.380,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1987-06-08T00:00,0.239,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1987-06-14T00:00,3.360,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1987-06-14T00:00,0.250,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1987-06-20T00:00,2.250,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1987-06-20T00:00,0.187,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1987-06-26T00:00,0.096,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1987-06-26T00:00,1.160,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1987-07-02T00:00,0.670,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1987-07-02T00:00,0.250,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1987-07-20T00:00,1.010,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1987-07-20T00:00,0.222,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1987-07-26T00:00,0.336,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1987-07-26T00:00,4.170,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1987-08-01T00:00,0.282,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1987-08-01T00:00,1.100,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1987-11-17T00:00,0.234,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1987-11-17T00:00,0.853,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1987-12-05T00:00,2.020,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1987-12-05T00:00,0.279,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1987-12-11T00:00,0.158,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1987-12-11T00:00,0.903,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1987-12-17T00:00,1.050,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1987-12-17T00:00,0.254,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1987-12-23T00:00,0.187,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1987-12-23T00:00,2.730,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1988-01-04T00:00,2.760,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1988-01-04T00:00,0.151,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1988-01-22T00:00,2.100,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1988-01-22T00:00,0.194,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1988-01-28T00:00,4.630,ug/m³,DICHOT,
30101,DALTECH,Sulfur,1988-01-28T00:00,0.282,ug/m³,DICHOT,
