NAPS_Site_ID,Station_Name,Pollutant,Date,Value,Units,Report_Type,Method
10102,WATER STREET POST OFFICE,Sulphate,2016-06-23T00:00,0.795,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2016-06-29T00:00,0.580,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2016-07-05T00:00,0.311,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2016-07-11T00:00,0.232,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2016-07-17T00:00,1.519,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2016-07-23T00:00,1.123,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2016-07-29T00:00,1.171,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2016-08-04T00:00,1.261,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2016-08-10T00:00,0.306,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2016-08-16T00:00,1.174,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2016-08-22T00:00,0.804,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2016-08-28T00:00,0.180,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2016-09-03T00:00,0.280,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2016-09-09T00:00,0.257,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2016-09-15T00:00,0.646,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2016-09-21T00:00,0.347,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2016-10-09T00:00,0.522,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2016-10-15T00:00,0.325,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2016-10-21T00:00,0.897,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2016-10-27T00:00,0.181,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2016-11-02T00:00,0.500,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2016-11-08T00:00,2.602,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2016-11-14T00:00,0.558,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2016-11-20T00:00,0.239,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2016-11-26T00:00,0.332,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2016-12-02T00:00,0.149,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2016-12-08T00:00,0.825,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2016-12-14T00:00,1.029,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2016-12-20T00:00,0.914,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2016-12-26T00:00,0.353,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2017-01-01T00:00,0.674,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2017-01-07T00:00,1.329,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2017-01-13T00:00,1.323,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2017-01-19T00:00,1.433,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2017-01-25T00:00,1.554,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2017-01-31T00:00,1.068,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2017-02-12T00:00,0.542,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2017-02-18T00:00,1.196,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2017-02-24T00:00,0.826,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2017-03-02T00:00,2.361,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2017-03-20T00:00,0.960,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2017-03-26T00:00,1.252,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2017-04-01T00:00,0.793,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2017-04-07T00:00,1.303,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2017-04-13T00:00,1.249,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2017-04-19T00:00,0.725,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2017-04-25T00:00,1.360,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2017-05-01T00:00,0.807,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2017-05-19T00:00,0.727,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2017-05-25T00:00,0.137,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2017-07-24T00:00,0.522,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2017-07-30T00:00,0.144,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2017-08-05T00:00,1.027,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2017-08-11T00:00,0.743,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2017-08-17T00:00,0.286,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2017-08-23T00:00,2.166,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2017-08-29T00:00,1.023,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2017-09-04T00:00,0.612,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2017-09-10T00:00,0.071,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2017-09-16T00:00,0.414,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2017-09-22T00:00,0.243,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2017-09-28T00:00,0.245,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2017-10-16T00:00,1.080,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2017-10-22T00:00,0.131,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2017-10-28T00:00,0.454,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2017-11-03T00:00,0.554,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2017-11-09T00:00,0.415,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2017-11-15T00:00,0.785,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2017-12-09T00:00,0.670,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2017-12-15T00:00,0.650,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2017-12-21T00:00,0.812,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2017-12-27T00:00,0.953,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2018-01-02T00:00,0.613,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2018-01-08T00:00,0.627,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2018-01-14T00:00,0.562,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2018-01-20T00:00,1.823,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2018-01-26T00:00,1.036,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2018-02-01T00:00,1.853,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2018-02-07T00:00,1.459,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2018-02-13T00:00,1.010,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2018-02-19T00:00,0.932,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2018-02-25T00:00,0.632,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2018-03-03T00:00,0.381,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2018-03-09T00:00,0.475,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2018-03-15T00:00,0.817,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2018-03-21T00:00,1.454,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2018-03-27T00:00,2.259,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2018-04-03T00:00,0.821,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2018-04-08T00:00,0.780,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2018-04-14T00:00,1.231,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2018-04-20T00:00,1.240,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2018-04-26T00:00,1.435,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2018-05-02T00:00,1.413,µg/m³,PM2.5,IC
10102,WATER STREET POST OFFICE,Sulphate,2018-05-08T00:00,0.838,µg/m³,PM2.5,IC
