NAPS_Site_ID,Station_Name,Pollutant,Date,Value,Units,Report_Type,Method
30113,JOHNSTON BUILDING,Sulphur Dioxide,2010-01-08T00:00,1.985,ppbv,PM2.5,IC
30113,JOHNSTON BUILDING,Sulphur Dioxide,2010-01-08T00:00,5.610,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Sulphur Dioxide,2010-01-11T00:00,2.673,ppbv,PM2.5,IC
30113,JOHNSTON BUILDING,Sulphur Dioxide,2010-01-11T00:00,7.775,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Sulphur Dioxide,2010-01-14T00:00,4.028,ppbv,PM2.5,IC
30113,JOHNSTON BUILDING,Sulphur Dioxide,2010-01-14T00:00,11.604,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Sulphur Dioxide,2010-01-17T00:00,3.791,ppbv,PM2.5,IC
30113,JOHNSTON BUILDING,Sulphur Dioxide,2010-01-17T00:00,11.061,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Sulphur Dioxide,2010-01-20T00:00,8.031,ppbv,PM2.5,IC
30113,JOHNSTON BUILDING,Sulphur Dioxide,2010-01-20T00:00,22.759,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Sulphur Dioxide,2010-01-23T00:00,4.917,ppbv,PM2.5,IC
30113,JOHNSTON BUILDING,Sulphur Dioxide,2010-01-23T00:00,14.433,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Sulphur Dioxide,2010-01-26T00:00,1.801,ppbv,PM2.5,IC
30113,JOHNSTON BUILDING,Sulphur Dioxide,2010-01-26T00:00,4.947,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Sulphur Dioxide,2010-01-29T00:00,1.821,ppbv,PM2.5,IC
30113,JOHNSTON BUILDING,Sulphur Dioxide,2010-01-29T00:00,5.164,µg/m³,PM2.5,IC
30113,JOHNSTON BUILDING,Sulphur Dioxide,2010-02-01T00:00,6.802,ppbv,PM2.5,IC
