NAPS_Site_ID,Station_Name,Pollutant,Date,Value,Units,Report_Type,Method
10102,WATER STREET POST OFFICE,TEQ,1999-08-10T00:00,0.014,pg/m³,PCDD,
10102,WATER STREET POST OFFICE,TEQ,1999-10-09T00:00,0.021,pg/m³,PCDD,
10102,WATER STREET POST OFFICE,TEQ,1999-11-20T00:00,0.011,pg/m³,PCDD,
10102,WATER STREET POST OFFICE,TEQ,1999-12-14T00:00,0.011,pg/m³,PCDD,
10102,WATER STREET POST OFFICE,TEQ,2000-01-07T00:00,0.009,pg/m³,PCDD,
10102,WATER STREET POST OFFICE,TEQ,2000-01-31T00:00,0.014,pg/m³,PCDD,
10102,WATER STREET POST OFFICE,TEQ,2000-02-24T00:00,0.016,pg/m³,PCDD,
10102,WATER STREET POST OFFICE,TEQ,2000-04-12T00:00,0.012,pg/m³,PCDD,
10102,WATER STREET POST OFFICE,TEQ,2000-05-30T00:00,0.014,pg/m³,PCDD,
10102,WATER STREET POST OFFICE,TEQ,2000-06-23T00:00,0.014,pg/m³,PCDD,
10102,WATER STREET POST OFFICE,TEQ,2000-08-10T00:00,0.011,pg/m³,PCDD,
10102,WATER STREET POST OFFICE,TEQ,2000-09-03T00:00,0.013,pg/m³,PCDD,
10102,WATER STREET POST OFFICE,TEQ,2000-09-27T00:00,0.008,pg/m³,PCDD,
10102,WATER STREET POST OFFICE,TEQ,2000-11-14T00:00,0.023,pg/m³,PCDD,
10102,WATER STREET POST OFFICE,TEQ,2000-12-08T00:00,0.009,pg/m³,PCDD,
10102,WATER STREET POST OFFICE,TEQ,2001-03-14T00:00,0.011,pg/m³,PCDD,
10102,WATER STREET POST OFFICE,TEQ,2001-04-07T00:00,0.016,pg/m³,PCDD,
10102,WATER STREET POST OFFICE,TEQ,2001-05-01T00:00,0.011,pg/m³,PCDD,
10102,WATER STREET POST OFFICE,TEQ,2001-08-05T00:00,0.012,pg/m³,PCDD,
10102,WATER STREET POST OFFICE,TEQ,2001-11-09T00:00,0.014,pg/m³,PCDD,
10102,WATER STREET POST OFFICE,TEQ,2001-12-03T00:00,0.014,pg/m³,PCDD,
10102,WATER STREET POST OFFICE,TEQ,2002-04-02T00:00,0.005,pg/m³,PCDD,
10102,WATER STREET POST OFFICE,TEQ,2002-04-26T00:00,0.008,pg/m³,PCDD,
10102,WATER STREET POST OFFICE,TEQ,2002-06-13T00:00,0.010,pg/m³,PCDD,
10102,WATER STREET POST OFFICE,TEQ,2002-07-31T00:00,0.045,pg/m³,PCDD,
10102,WATER STREET POST OFFICE,TEQ,2002-09-17T00:00,0.009,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2005-12-12T00:00,0.036,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2005-12-24T00:00,0.035,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2006-01-05T00:00,0.030,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2006-01-17T00:00,0.011,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2006-05-29T00:00,0.011,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2006-06-10T00:00,0.019,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2006-06-22T00:00,0.013,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2006-07-04T00:00,0.013,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2006-07-16T00:00,0.011,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2006-09-14T00:00,0.014,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2006-09-26T00:00,0.012,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2006-11-25T00:00,0.006,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2006-12-07T00:00,0.007,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2006-12-19T00:00,0.007,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2007-01-12T00:00,0.023,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2007-02-05T00:00,0.009,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2007-03-01T00:00,0.016,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2007-03-25T00:00,0.008,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2007-06-05T00:00,0.013,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2007-07-11T00:00,0.010,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2007-07-23T00:00,0.017,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2007-08-04T00:00,0.014,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2007-08-16T00:00,0.014,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2007-08-28T00:00,0.020,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2007-10-03T00:00,0.010,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2007-10-27T00:00,0.014,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2007-11-08T00:00,0.007,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2007-11-20T00:00,0.026,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2007-12-02T00:00,0.012,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2008-01-07T00:00,0.013,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2008-01-07T00:00,0.013,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2008-01-19T00:00,0.010,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2008-01-19T00:00,0.010,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2008-02-24T00:00,0.016,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2008-02-24T00:00,0.016,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2008-03-07T00:00,0.015,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2008-03-07T00:00,0.015,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2008-03-19T00:00,0.010,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2008-03-19T00:00,0.010,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2008-03-31T00:00,0.014,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2008-03-31T00:00,0.014,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2008-04-12T00:00,0.011,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2008-04-12T00:00,0.011,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2008-04-24T00:00,0.025,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2008-04-24T00:00,0.025,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2008-05-06T00:00,0.019,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2008-05-06T00:00,0.019,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2008-05-30T00:00,0.010,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2008-05-30T00:00,0.010,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2008-06-11T00:00,0.048,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2008-06-11T00:00,0.048,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2008-07-05T00:00,0.022,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2008-07-05T00:00,0.022,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2008-07-17T00:00,0.046,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2008-07-17T00:00,0.046,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2008-08-04T00:00,0.014,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2008-08-04T00:00,0.014,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2008-08-10T00:00,0.014,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2008-08-10T00:00,0.014,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2008-09-03T00:00,0.019,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2008-09-03T00:00,0.019,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2008-09-15T00:00,0.012,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2008-09-15T00:00,0.012,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2008-10-21T00:00,0.049,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2008-10-21T00:00,0.049,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2008-11-26T00:00,0.055,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2008-11-26T00:00,0.055,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2009-04-07T00:00,0.016,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2009-07-12T00:00,0.010,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2009-08-05T00:00,0.015,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2009-08-29T00:00,0.008,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2009-09-09T00:00,0.005,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2009-09-22T00:00,0.007,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2009-10-04T00:00,0.007,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2009-11-09T00:00,0.005,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2009-11-21T00:00,0.011,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2009-12-15T00:00,0.052,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2010-01-05T19:00,0.007,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2010-01-19T19:00,0.006,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2010-03-08T19:00,0.009,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2010-03-20T20:00,0.014,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2010-04-01T20:00,0.024,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2010-04-13T20:00,0.009,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2010-04-25T20:00,0.011,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2010-05-07T20:00,0.006,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2010-06-12T20:00,0.009,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2010-08-23T20:00,0.026,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2010-09-16T20:00,0.006,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2010-09-28T20:00,0.017,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2010-11-27T19:00,0.013,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2010-12-09T19:00,0.009,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2010-12-21T19:00,0.013,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2011-01-02T19:00,0.011,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2011-01-14T19:00,0.017,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2011-01-26T19:00,0.019,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2011-02-07T19:00,0.013,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2011-03-15T20:00,0.015,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2011-04-20T20:00,0.027,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2011-05-14T20:00,0.007,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2011-05-25T20:00,0.009,pg/m³,PCDD,
10301,CREDIT UNION,TEQ,2011-08-30T20:00,0.013,pg/m³,PCDD,
20101,56 FITZROY ST.,TEQ,1995-05-21T00:00,0.048,pg/m³,PCDD,
20101,56 FITZROY ST.,TEQ,1995-07-14T00:00,0.018,pg/m³,PCDD,
20101,56 FITZROY ST.,TEQ,1995-08-25T00:00,0.014,pg/m³,PCDD,
30118,VOGUE BUILDING,TEQ,1995-06-26T00:00,0.091,pg/m³,PCDD,
30118,VOGUE BUILDING,TEQ,1995-09-18T00:00,0.018,pg/m³,PCDD,
30501,KEJIMKUJIK NATIONAL PARK,TEQ,1994-12-28T00:00,0.014,pg/m³,PCDD,
30501,KEJIMKUJIK NATIONAL PARK,TEQ,1995-04-03T00:00,0.009,pg/m³,PCDD,
30501,KEJIMKUJIK NATIONAL PARK,TEQ,1995-05-21T00:00,0.023,pg/m³,PCDD,
30501,KEJIMKUJIK NATIONAL PARK,TEQ,1995-07-08T00:00,0.011,pg/m³,PCDD,
30501,KEJIMKUJIK NATIONAL PARK,TEQ,1995-08-26T00:00,0.011,pg/m³,PCDD,
30501,KEJIMKUJIK NATIONAL PARK,TEQ,1995-11-17T00:00,0.033,pg/m³,PCDD,
30501,KEJIMKUJIK NATIONAL PARK,TEQ,1996-01-04T00:00,0.022,pg/m³,PCDD,
30501,KEJIMKUJIK NATIONAL PARK,TEQ,1996-02-21T00:00,0.028,pg/m³,PCDD,
30501,KEJIMKUJIK NATIONAL PARK,TEQ,1996-04-09T00:00,0.017,pg/m³,PCDD,
30501,KEJIMKUJIK NATIONAL PARK,TEQ,1996-05-27T00:00,0.021,pg/m³,PCDD,
30501,KEJIMKUJIK NATIONAL PARK,TEQ,1996-06-20T00:00,0.024,pg/m³,PCDD,
30501,KEJIMKUJIK NATIONAL PARK,TEQ,1996-08-07T00:00,0.024,pg/m³,PCDD,
30501,KEJIMKUJIK NATIONAL PARK,TEQ,1996-08-31T00:00,0.017,pg/m³,PCDD,
30501,KEJIMKUJIK NATIONAL PARK,TEQ,1996-09-24T00:00,0.020,pg/m³,PCDD,
30501,KEJIMKUJIK NATIONAL PARK,TEQ,1996-10-18T00:00,0.019,pg/m³,PCDD,
30501,KEJIMKUJIK NATIONAL PARK,TEQ,1996-12-05T00:00,0.015,pg/m³,PCDD,
30501,KEJIMKUJIK NATIONAL PARK,TEQ,1996-12-29T00:00,0.027,pg/m³,PCDD,
30501,KEJIMKUJIK NATIONAL PARK,TEQ,1997-01-22T00:00,0.029,pg/m³,PCDD,
30501,KEJIMKUJIK NATIONAL PARK,TEQ,1997-02-15T00:00,0.015,pg/m³,PCDD,
30501,KEJIMKUJIK NATIONAL PARK,TEQ,1997-03-11T00:00,0.017,pg/m³,PCDD,
30501,KEJIMKUJIK NATIONAL PARK,TEQ,1997-04-16T00:00,0.020,pg/m³,PCDD,
30501,KEJIMKUJIK NATIONAL PARK,TEQ,1997-05-10T00:00,0.026,pg/m³,PCDD,
30501,KEJIMKUJIK NATIONAL PARK,TEQ,1997-06-03T00:00,0.020,pg/m³,PCDD,
30501,KEJIMKUJIK NATIONAL PARK,TEQ,1997-07-09T00:00,0.023,pg/m³,PCDD,
30501,KEJIMKUJIK NATIONAL PARK,TEQ,1997-08-02T00:00,0.021,pg/m³,PCDD,
30501,KEJIMKUJIK NATIONAL PARK,TEQ,1997-08-26T00:00,0.017,pg/m³,PCDD,
30501,KEJIMKUJIK NATIONAL PARK,TEQ,1997-09-19T00:00,0.024,pg/m³,PCDD,
30501,KEJIMKUJIK NATIONAL PARK,TEQ,1997-10-13T00:00,0.016,pg/m³,PCDD,
30501,KEJIMKUJIK NATIONAL PARK,TEQ,1997-11-06T00:00,0.016,pg/m³,PCDD,
30501,KEJIMKUJIK NATIONAL PARK,TEQ,1997-11-30T00:00,0.019,pg/m³,PCDD,
30501,KEJIMKUJIK NATIONAL PARK,TEQ,1997-12-24T00:00,0.012,pg/m³,PCDD,
30501,KEJIMKUJIK NATIONAL PARK,TEQ,1998-02-10T00:00,0.025,pg/m³,PCDD,
30501,KEJIMKUJIK NATIONAL PARK,TEQ,1998-03-18T00:00,0.014,pg/m³,PCDD,
30501,KEJIMKUJIK NATIONAL PARK,TEQ,1998-04-11T00:00,0.028,pg/m³,PCDD,
30501,KEJIMKUJIK NATIONAL PARK,TEQ,1998-05-05T00:00,0.012,pg/m³,PCDD,
30501,KEJIMKUJIK NATIONAL PARK,TEQ,1998-07-04T00:00,0.026,pg/m³,PCDD,
30501,KEJIMKUJIK NATIONAL PARK,TEQ,1998-07-28T00:00,0.016,pg/m³,PCDD,
30501,KEJIMKUJIK NATIONAL PARK,TEQ,1998-08-21T00:00,0.022,pg/m³,PCDD,
30501,KEJIMKUJIK NATIONAL PARK,TEQ,1998-09-14T00:00,0.024,pg/m³,PCDD,
30501,KEJIMKUJIK NATIONAL PARK,TEQ,1998-10-08T00:00,0.025,pg/m³,PCDD,
30501,KEJIMKUJIK NATIONAL PARK,TEQ,1998-11-01T00:00,0.022,pg/m³,PCDD,
