NAPS_Site_ID,Station_Name,Pollutant,Date,Value,Units,Report_Type,Method
30113,JOHNSTON BUILDING,T_NO3,2006-04-14T00:00,0.048,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2006-04-17T00:00,0.000,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2006-04-20T00:00,0.041,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2006-04-23T00:00,0.073,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2006-04-29T00:00,0.166,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2006-05-02T00:00,0.176,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2006-05-05T00:00,0.061,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2006-05-08T00:00,0.058,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2006-05-11T00:00,0.110,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2006-05-14T00:00,0.000,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2006-05-20T00:00,0.090,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2006-05-23T00:00,0.047,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2006-05-26T00:00,0.088,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2006-05-29T00:00,0.070,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2006-06-01T00:00,0.136,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2006-06-04T00:00,0.046,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2006-06-07T00:00,0.000,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2006-06-10T00:00,0.000,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2006-06-13T00:00,0.131,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2006-06-16T00:00,0.068,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2006-06-19T00:00,0.108,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2006-06-22T00:00,0.131,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2006-06-25T00:00,0.046,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2006-06-28T00:00,0.122,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2006-07-01T00:00,0.122,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2006-07-04T00:00,0.157,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2006-07-07T00:00,0.126,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2006-07-10T00:00,0.164,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2006-07-13T00:00,0.111,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2006-07-16T00:00,0.115,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2006-07-19T00:00,0.131,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2006-07-22T00:00,0.138,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2006-07-25T00:00,0.125,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2006-07-28T00:00,0.123,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2006-07-31T00:00,0.102,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2006-08-03T00:00,0.110,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2006-08-06T00:00,0.118,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2006-08-09T00:00,0.122,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2006-08-12T00:00,0.114,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2006-08-15T00:00,0.157,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2006-08-18T00:00,0.066,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2006-08-21T00:00,0.000,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2006-09-02T00:00,0.116,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2006-09-05T00:00,0.049,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2006-09-08T00:00,0.000,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2006-09-14T00:00,0.089,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2006-09-17T00:00,0.055,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2006-09-20T00:00,0.060,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2006-09-23T00:00,0.081,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2006-09-29T00:00,0.087,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2006-10-02T00:00,0.041,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2006-10-05T00:00,0.096,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2006-10-08T00:00,0.070,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2006-10-11T00:00,0.114,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2006-10-14T00:00,0.176,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2006-10-17T00:00,0.052,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2006-10-20T00:00,0.089,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2006-10-23T00:00,0.098,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2006-10-26T00:00,0.096,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2006-10-29T00:00,0.498,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2006-11-04T00:00,0.095,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2006-11-07T00:00,0.076,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2006-11-10T00:00,0.095,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2006-11-13T00:00,0.132,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2006-11-16T00:00,0.255,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2006-11-19T00:00,0.094,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2006-11-22T00:00,0.203,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2006-11-25T00:00,0.263,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2006-11-28T00:00,0.299,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2006-12-01T00:00,0.152,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2006-12-04T00:00,0.111,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2006-12-10T00:00,0.406,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2006-12-13T00:00,0.288,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2006-12-16T00:00,0.064,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2006-12-19T00:00,0.096,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2006-12-22T00:00,0.290,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2006-12-25T00:00,0.262,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2006-12-28T00:00,0.312,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2006-12-31T00:00,0.158,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2007-01-18T00:00,0.252,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2007-01-21T00:00,0.160,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2007-01-24T00:00,0.265,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2007-01-27T00:00,0.180,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2007-01-30T00:00,0.268,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2007-02-02T00:00,0.109,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2007-02-05T00:00,0.311,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2007-02-08T00:00,0.503,ug/m³,SPEC,
30113,JOHNSTON BUILDING,T_NO3,2007-02-14T00:00,0.224,ug/m³,SPEC,
