NAPS_Site_ID,Station_Name,Pollutant,Date,Value,Units,Report_Type,Method
10102,WATER STREET POST OFFICE,cis-3-Heptene,2002-01-14T00:00,0.060,ug/m³,VOC,
10102,WATER STREET POST OFFICE,cis-3-Heptene,2002-01-20T00:00,0.130,ug/m³,VOC,
10102,WATER STREET POST OFFICE,cis-3-Heptene,2002-01-26T00:00,0.050,ug/m³,VOC,
10102,WATER STREET POST OFFICE,cis-3-Heptene,2002-02-01T00:00,0.120,ug/m³,VOC,
10102,WATER STREET POST OFFICE,cis-3-Heptene,2002-02-07T00:00,0.090,ug/m³,VOC,
10102,WATER STREET POST OFFICE,cis-3-Heptene,2002-02-13T00:00,0.110,ug/m³,VOC,
10102,WATER STREET POST OFFICE,cis-3-Heptene,2002-02-25T00:00,0.220,ug/m³,VOC,
10102,WATER STREET POST OFFICE,cis-3-Heptene,2002-03-03T00:00,0.100,ug/m³,VOC,
10102,WATER STREET POST OFFICE,cis-3-Heptene,2002-03-21T00:00,0.090,ug/m³,VOC,
10102,WATER STREET POST OFFICE,cis-3-Heptene,2002-03-27T00:00,0.090,ug/m³,VOC,
10102,WATER STREET POST OFFICE,cis-3-Heptene,2002-04-02T00:00,0.073,ug/m³,VOC,
10102,WATER STREET POST OFFICE,cis-3-Heptene,2002-04-08T00:00,0.091,ug/m³,VOC,
10102,WATER STREET POST OFFICE,cis-3-Heptene,2002-04-14T00:00,0.103,ug/m³,VOC,
10102,WATER STREET POST OFFICE,cis-3-Heptene,2002-04-20T00:00,0.078,ug/m³,VOC,
10102,WATER STREET POST OFFICE,cis-3-Heptene,2002-04-26T00:00,0.078,ug/m³,VOC,
10102,WATER STREET POST OFFICE,cis-3-Heptene,2002-05-02T00:00,0.242,ug/m³,VOC,
10102,WATER STREET POST OFFICE,cis-3-Heptene,2002-05-08T00:00,0.033,ug/m³,VOC,
10102,WATER STREET POST OFFICE,cis-3-Heptene,2002-05-20T00:00,0.028,ug/m³,VOC,
10102,WATER STREET POST OFFICE,cis-3-Heptene,2002-05-26T00:00,0.038,ug/m³,VOC,
10102,WATER STREET POST OFFICE,cis-3-Heptene,2002-06-07T00:00,0.169,ug/m³,VOC,
10102,WATER STREET POST OFFICE,cis-3-Heptene,2002-06-13T00:00,0.181,ug/m³,VOC,
10102,WATER STREET POST OFFICE,cis-3-Heptene,2002-06-19T00:00,0.120,ug/m³,VOC,
10102,WATER STREET POST OFFICE,cis-3-Heptene,2002-06-25T00:00,0.066,ug/m³,VOC,
10102,WATER STREET POST OFFICE,cis-3-Heptene,2002-07-01T00:00,0.099,ug/m³,VOC,
10102,WATER STREET POST OFFICE,cis-3-Heptene,2002-07-13T00:00,0.040,ug/m³,VOC,
10102,WATER STREET POST OFFICE,cis-3-Heptene,2002-07-19T00:00,0.121,ug/m³,VOC,
10102,WATER STREET POST OFFICE,cis-3-Heptene,2002-08-06T00:00,0.045,ug/m³,VOC,
10102,WATER STREET POST OFFICE,cis-3-Heptene,2002-08-12T00:00,0.076,ug/m³,VOC,
10102,WATER STREET POST OFFICE,cis-3-Heptene,2002-08-18T00:00,0.076,ug/m³,VOC,
10102,WATER STREET POST OFFICE,cis-3-Heptene,2002-08-24T00:00,0.069,ug/m³,VOC,
10102,WATER STREET POST OFFICE,cis-3-Heptene,2002-08-30T00:00,0.092,ug/m³,VOC,
10102,WATER STREET POST OFFICE,cis-3-Heptene,2002-09-05T00:00,0.081,ug/m³,VOC,
10102,WATER STREET POST OFFICE,cis-3-Heptene,2002-09-11T00:00,0.150,ug/m³,VOC,
10102,WATER STREET POST OFFICE,cis-3-Heptene,2002-09-17T00:00,0.092,ug/m³,VOC,
10102,WATER STREET POST OFFICE,cis-3-Heptene,2002-09-23T00:00,0.070,ug/m³,VOC,
10102,WATER STREET POST OFFICE,cis-3-Heptene,2002-10-17T00:00,0.133,ug/m³,VOC,
10102,WATER STREET POST OFFICE,cis-3-Heptene,2002-11-04T00:00,0.044,ug/m³,VOC,
10102,WATER STREET POST OFFICE,cis-3-Heptene,2002-11-10T00:00,0.108,ug/m³,VOC,
10102,WATER STREET POST OFFICE,cis-3-Heptene,2002-11-16T00:00,0.044,ug/m³,VOC,
10102,WATER STREET POST OFFICE,cis-3-Heptene,2002-11-22T00:00,0.277,ug/m³,VOC,
10102,WATER STREET POST OFFICE,cis-3-Heptene,2002-11-28T00:00,0.045,ug/m³,VOC,
10102,WATER STREET POST OFFICE,cis-3-Heptene,2002-12-04T00:00,0.026,ug/m³,VOC,
10102,WATER STREET POST OFFICE,cis-3-Heptene,2002-12-10T00:00,0.000,ug/m³,VOC,
10102,WATER STREET POST OFFICE,cis-3-Heptene,2002-12-16T00:00,0.000,ug/m³,VOC,
10102,WATER STREET POST OFFICE,cis-3-Heptene,2002-12-22T00:00,0.000,ug/m³,VOC,
10102,WATER STREET POST OFFICE,cis-3-Heptene,2002-12-28T00:00,0.000,ug/m³,VOC,
10102,WATER STREET POST OFFICE,cis-3-Heptene,2003-01-03T00:00,0.037,ug/m³,VOC,
10102,WATER STREET POST OFFICE,cis-3-Heptene,2003-01-09T00:00,0.040,ug/m³,VOC,
10102,WATER STREET POST OFFICE,cis-3-Heptene,2003-01-15T00:00,0.061,ug/m³,VOC,
10102,WATER STREET POST OFFICE,cis-3-Heptene,2003-01-21T00:00,0.043,ug/m³,VOC,
10102,WATER STREET POST OFFICE,cis-3-Heptene,2003-01-27T00:00,0.016,ug/m³,VOC,
10102,WATER STREET POST OFFICE,cis-3-Heptene,2003-02-02T00:00,0.042,ug/m³,VOC,
10102,WATER STREET POST OFFICE,cis-3-Heptene,2003-02-08T00:00,0.031,ug/m³,VOC,
10102,WATER STREET POST OFFICE,cis-3-Heptene,2003-02-14T00:00,0.054,ug/m³,VOC,
10102,WATER STREET POST OFFICE,cis-3-Heptene,2003-02-20T00:00,0.055,ug/m³,VOC,
10102,WATER STREET POST OFFICE,cis-3-Heptene,2003-02-26T00:00,0.012,ug/m³,VOC,
10102,WATER STREET POST OFFICE,cis-3-Heptene,2003-03-05T00:00,0.046,ug/m³,VOC,
10102,WATER STREET POST OFFICE,cis-3-Heptene,2003-03-10T00:00,0.033,ug/m³,VOC,
10102,WATER STREET POST OFFICE,cis-3-Heptene,2003-03-16T00:00,0.145,ug/m³,VOC,
10102,WATER STREET POST OFFICE,cis-3-Heptene,2003-03-22T00:00,0.088,ug/m³,VOC,
10102,WATER STREET POST OFFICE,cis-3-Heptene,2003-03-28T00:00,0.073,ug/m³,VOC,
10102,WATER STREET POST OFFICE,cis-3-Heptene,2003-04-03T00:00,0.052,ug/m³,VOC,
10102,WATER STREET POST OFFICE,cis-3-Heptene,2003-04-09T00:00,0.202,ug/m³,VOC,
10102,WATER STREET POST OFFICE,cis-3-Heptene,2003-04-15T00:00,0.056,ug/m³,VOC,
10102,WATER STREET POST OFFICE,cis-3-Heptene,2003-04-21T00:00,0.098,ug/m³,VOC,
10102,WATER STREET POST OFFICE,cis-3-Heptene,2003-04-27T00:00,0.093,ug/m³,VOC,
