NAPS_Site_ID,Station_Name,Pollutant,Date,Value,Units,Report_Type,Method
40203,FOREST HILLS,o-Tolualdehyde,2014-04-10T20:00,0.000,ug/m³,CARB,
40203,FOREST HILLS,o-Tolualdehyde,2014-04-16T20:00,0.000,ug/m³,CARB,
40203,FOREST HILLS,o-Tolualdehyde,2014-04-22T20:00,0.000,ug/m³,CARB,
40203,FOREST HILLS,o-Tolualdehyde,2014-04-28T20:00,0.000,ug/m³,CARB,
40203,FOREST HILLS,o-Tolualdehyde,2014-05-04T20:00,0.012,ug/m³,CARB,
40203,FOREST HILLS,o-Tolualdehyde,2014-05-10T20:00,0.034,ug/m³,CARB,
40203,FOREST HILLS,o-Tolualdehyde,2014-05-16T20:00,0.024,ug/m³,CARB,
40203,FOREST HILLS,o-Tolualdehyde,2014-05-22T20:00,0.013,ug/m³,CARB,
40203,FOREST HILLS,o-Tolualdehyde,2014-05-28T20:00,0.018,ug/m³,CARB,
40203,FOREST HILLS,o-Tolualdehyde,2014-06-09T20:00,0.034,ug/m³,CARB,
40203,FOREST HILLS,o-Tolualdehyde,2014-06-21T20:00,0.000,ug/m³,CARB,
40203,FOREST HILLS,o-Tolualdehyde,2014-06-27T20:00,0.054,ug/m³,CARB,
40203,FOREST HILLS,o-Tolualdehyde,2014-07-03T20:00,0.033,ug/m³,CARB,
40203,FOREST HILLS,o-Tolualdehyde,2014-07-09T20:00,0.026,ug/m³,CARB,
40203,FOREST HILLS,o-Tolualdehyde,2014-07-15T20:00,0.007,ug/m³,CARB,
40203,FOREST HILLS,o-Tolualdehyde,2014-07-27T20:00,0.000,ug/m³,CARB,
40203,FOREST HILLS,o-Tolualdehyde,2014-08-02T20:00,0.000,ug/m³,CARB,
40203,FOREST HILLS,o-Tolualdehyde,2014-08-26T20:00,0.000,ug/m³,CARB,
40203,FOREST HILLS,o-Tolualdehyde,2014-09-01T20:00,0.000,ug/m³,CARB,
40203,FOREST HILLS,o-Tolualdehyde,2014-09-07T20:00,0.000,ug/m³,CARB,
40203,FOREST HILLS,o-Tolualdehyde,2014-09-13T20:00,0.000,ug/m³,CARB,
40203,FOREST HILLS,o-Tolualdehyde,2014-09-19T20:00,0.000,ug/m³,CARB,
40203,FOREST HILLS,o-Tolualdehyde,2014-09-25T20:00,0.000,ug/m³,CARB,
40203,FOREST HILLS,o-Tolualdehyde,2014-10-01T20:00,0.000,ug/m³,CARB,
40203,FOREST HILLS,o-Tolualdehyde,2014-10-13T20:00,0.000,ug/m³,CARB,
40203,FOREST HILLS,o-Tolualdehyde,2014-10-19T20:00,0.000,ug/m³,CARB,
40203,FOREST HILLS,o-Tolualdehyde,2014-10-25T20:00,0.000,ug/m³,CARB,
40203,FOREST HILLS,o-Tolualdehyde,2014-10-31T20:00,0.000,ug/m³,CARB,
40203,FOREST HILLS,o-Tolualdehyde,2014-11-06T19:00,0.000,ug/m³,CARB,
40203,FOREST HILLS,o-Tolualdehyde,2014-11-18T19:00,0.000,ug/m³,CARB,
40203,FOREST HILLS,o-Tolualdehyde,2014-11-24T19:00,0.000,ug/m³,CARB,
40203,FOREST HILLS,o-Tolualdehyde,2014-11-30T19:00,0.000,ug/m³,CARB,
40203,FOREST HILLS,o-Tolualdehyde,2014-12-06T19:00,0.000,ug/m³,CARB,
40203,FOREST HILLS,o-Tolualdehyde,2014-12-12T19:00,0.000,ug/m³,CARB,
40203,FOREST HILLS,o-Tolualdehyde,2014-12-24T19:00,0.000,ug/m³,CARB,
40203,FOREST HILLS,o-Tolualdehyde,2014-12-30T19:00,0.000,ug/m³,CARB,
40203,FOREST HILLS,o-Tolualdehyde,2015-01-05T19:00,0.000,ug/m³,CARB,
40203,FOREST HILLS,o-Tolualdehyde,2015-01-17T19:00,0.000,ug/m³,CARB,
40203,FOREST HILLS,o-Tolualdehyde,2015-01-23T19:00,0.000,ug/m³,CARB,
40203,FOREST HILLS,o-Tolualdehyde,2015-01-29T19:00,0.000,ug/m³,CARB,
40203,FOREST HILLS,o-Tolualdehyde,2015-02-04T19:00,0.000,ug/m³,CARB,
40203,FOREST HILLS,o-Tolualdehyde,2015-02-22T19:00,0.000,ug/m³,CARB,
40203,FOREST HILLS,o-Tolualdehyde,2015-03-06T19:00,0.000,ug/m³,CARB,
40203,FOREST HILLS,o-Tolualdehyde,2015-03-12T20:00,0.000,ug/m³,CARB,
40203,FOREST HILLS,o-Tolualdehyde,2015-03-24T20:00,0.000,ug/m³,CARB,
40203,FOREST HILLS,o-Tolualdehyde,2015-03-30T20:00,0.000,ug/m³,CARB,
40203,FOREST HILLS,o-Tolualdehyde,2015-04-05T20:00,0.000,ug/m³,CARB,
40203,FOREST HILLS,o-Tolualdehyde,2015-04-11T20:00,0.000,ug/m³,CARB,
40203,FOREST HILLS,o-Tolualdehyde,2015-04-17T20:00,0.000,ug/m³,CARB,
40203,FOREST HILLS,o-Tolualdehyde,2015-06-04T20:00,0.000,ug/m³,CARB,
40203,FOREST HILLS,o-Tolualdehyde,2015-06-10T20:00,0.000,ug/m³,CARB,
40203,FOREST HILLS,o-Tolualdehyde,2015-06-16T20:00,0.000,ug/m³,CARB,
40203,FOREST HILLS,o-Tolualdehyde,2015-06-22T20:00,0.000,ug/m³,CARB,
40203,FOREST HILLS,o-Tolualdehyde,2015-06-28T20:00,0.000,ug/m³,CARB,
40203,FOREST HILLS,o-Tolualdehyde,2015-07-04T20:00,0.000,ug/m³,CARB,
40203,FOREST HILLS,o-Tolualdehyde,2015-07-10T20:00,0.024,ug/m³,CARB,
40203,FOREST HILLS,o-Tolualdehyde,2015-07-16T20:00,0.000,ug/m³,CARB,
40203,FOREST HILLS,o-Tolualdehyde,2015-07-22T20:00,0.000,ug/m³,CARB,
40203,FOREST HILLS,o-Tolualdehyde,2015-08-15T20:00,0.000,ug/m³,CARB,
40203,FOREST HILLS,o-Tolualdehyde,2015-08-21T20:00,0.000,ug/m³,CARB,
40203,FOREST HILLS,o-Tolualdehyde,2015-08-27T20:00,0.000,ug/m³,CARB,
40203,FOREST HILLS,o-Tolualdehyde,2015-09-02T20:00,0.000,ug/m³,CARB,
