NAPS_Site_ID,Station_Name,Pollutant,Date,Value,Units,Report_Type,Method
10102,WATER STREET POST OFFICE,trans-4-Methyl-2-Pentene,2018-02-07T00:00,0.002,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,trans-4-Methyl-2-Pentene,2018-02-13T00:00,0.001,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,trans-4-Methyl-2-Pentene,2018-02-19T00:00,0.003,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,trans-4-Methyl-2-Pentene,2018-02-25T00:00,0.002,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,trans-4-Methyl-2-Pentene,2018-03-03T00:00,0.004,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,trans-4-Methyl-2-Pentene,2018-03-09T00:00,0.002,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,trans-4-Methyl-2-Pentene,2018-03-15T00:00,0.017,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,trans-4-Methyl-2-Pentene,2018-03-21T00:00,0.002,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,trans-4-Methyl-2-Pentene,2018-03-27T00:00,0.002,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,trans-4-Methyl-2-Pentene,2018-04-02T00:00,0.008,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,trans-4-Methyl-2-Pentene,2018-04-08T00:00,0.004,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,trans-4-Methyl-2-Pentene,2018-04-14T00:00,0.001,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,trans-4-Methyl-2-Pentene,2018-04-20T00:00,0.004,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,trans-4-Methyl-2-Pentene,2018-04-26T00:00,0.004,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,trans-4-Methyl-2-Pentene,2018-05-02T00:00,0.002,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,trans-4-Methyl-2-Pentene,2018-05-08T00:00,0.003,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,trans-4-Methyl-2-Pentene,2018-05-14T00:00,0.011,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,trans-4-Methyl-2-Pentene,2018-06-01T00:00,0.005,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,trans-4-Methyl-2-Pentene,2018-06-07T00:00,0.004,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,trans-4-Methyl-2-Pentene,2018-06-13T00:00,0.004,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,trans-4-Methyl-2-Pentene,2018-06-19T00:00,0.003,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,trans-4-Methyl-2-Pentene,2018-06-25T00:00,0.006,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,trans-4-Methyl-2-Pentene,2018-07-01T00:00,0.006,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,trans-4-Methyl-2-Pentene,2018-07-07T00:00,0.003,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,trans-4-Methyl-2-Pentene,2018-07-13T00:00,0.005,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,trans-4-Methyl-2-Pentene,2018-07-19T00:00,0.003,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,trans-4-Methyl-2-Pentene,2018-07-25T00:00,0.004,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,trans-4-Methyl-2-Pentene,2018-07-31T00:00,0.006,ug/m³,VOC,GC-MS
10102,WATER STREET POST OFFICE,trans-4-Methyl-2-Pentene,2018-08-18T00:00,0.000,ug/m³,VOC,GC-MS
