NAPS_Site_ID,Station_Name,Pollutant,Date,Value,Units,Report_Type,Method
80601,44TH ST. & 48TH AVE.,1-Me-Pyrene,1996-03-05T00:00,0.256,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,1-Me-Pyrene,1996-03-16T00:00,0.000,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,1-Me-Pyrene,1996-03-28T00:00,0.040,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,1-Me-Pyrene,1996-04-02T00:00,0.000,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,2-Me-Fluorene,1996-03-05T00:00,4.910,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,2-Me-Fluorene,1996-03-16T00:00,2.159,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,2-Me-Fluorene,1996-03-28T00:00,0.640,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,2-Me-Fluorene,1996-04-02T00:00,0.445,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,3-Me-Cholanthrene,1996-03-05T00:00,0.051,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,3-Me-Cholanthrene,1996-03-16T00:00,0.000,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,3-Me-Cholanthrene,1996-03-28T00:00,0.000,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,3-Me-Cholanthrene,1996-04-02T00:00,0.000,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,7-Me-Benz(a)Anthracene,1996-03-05T00:00,0.000,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,7-Me-Benz(a)Anthracene,1996-03-16T00:00,0.000,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,7-Me-Benz(a)Anthracene,1996-03-28T00:00,0.000,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,7-Me-Benz(a)Anthracene,1996-04-02T00:00,0.000,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,Acenaphthene,1996-03-05T00:00,1.152,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,Acenaphthene,1996-03-16T00:00,0.989,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,Acenaphthene,1996-03-28T00:00,0.606,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,Acenaphthene,1996-04-02T00:00,0.771,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,Acenaphthylene,1996-03-05T00:00,4.098,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,Acenaphthylene,1996-03-16T00:00,1.771,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,Acenaphthylene,1996-03-28T00:00,2.014,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,Acenaphthylene,1996-04-02T00:00,1.767,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,Anthanthrene,1996-03-05T00:00,0.075,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,Anthanthrene,1996-03-16T00:00,0.000,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,Anthanthrene,1996-03-28T00:00,0.000,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,Anthanthrene,1996-04-02T00:00,0.000,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,Anthracene,1996-03-05T00:00,0.000,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,Anthracene,1996-03-16T00:00,0.430,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,Anthracene,1996-03-28T00:00,0.497,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,Anthracene,1996-04-02T00:00,0.381,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,Benz(a)Anthracene,1996-03-05T00:00,0.228,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,Benz(a)Anthracene,1996-03-16T00:00,0.000,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,Benz(a)Anthracene,1996-03-28T00:00,0.000,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,Benz(a)Anthracene,1996-04-02T00:00,0.000,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,Benzo(a)Fluorene,1996-03-05T00:00,0.438,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,Benzo(a)Fluorene,1996-03-16T00:00,0.064,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,Benzo(a)Fluorene,1996-03-28T00:00,0.088,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,Benzo(a)Fluorene,1996-04-02T00:00,0.000,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,Benzo(a)Pyrene,1996-03-05T00:00,0.344,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,Benzo(a)Pyrene,1996-03-16T00:00,0.000,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,Benzo(a)Pyrene,1996-03-28T00:00,0.000,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,Benzo(a)Pyrene,1996-04-02T00:00,0.000,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,Benzo(b)&(k)Fluoranthene,1996-03-05T00:00,0.926,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,Benzo(b)&(k)Fluoranthene,1996-03-16T00:00,0.110,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,Benzo(b)&(k)Fluoranthene,1996-03-28T00:00,0.216,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,Benzo(b)&(k)Fluoranthene,1996-04-02T00:00,0.000,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,Benzo(b)Chrysene,1996-03-05T00:00,0.000,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,Benzo(b)Chrysene,1996-03-16T00:00,0.000,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,Benzo(b)Chrysene,1996-03-28T00:00,0.000,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,Benzo(b)Chrysene,1996-04-02T00:00,0.000,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,Benzo(b)Fluorene,1996-03-05T00:00,0.028,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,Benzo(b)Fluorene,1996-03-16T00:00,0.000,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,Benzo(b)Fluorene,1996-03-28T00:00,0.048,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,Benzo(b)Fluorene,1996-04-02T00:00,0.000,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,Benzo(e)Pyrene,1996-03-05T00:00,0.336,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,Benzo(e)Pyrene,1996-03-16T00:00,0.064,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,Benzo(e)Pyrene,1996-03-28T00:00,0.155,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,Benzo(e)Pyrene,1996-04-02T00:00,0.000,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,"Benzo(g,h,i)Fluoranthene",1996-03-05T00:00,0.637,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,"Benzo(g,h,i)Fluoranthene",1996-03-16T00:00,0.111,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,"Benzo(g,h,i)Fluoranthene",1996-03-28T00:00,0.223,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,"Benzo(g,h,i)Fluoranthene",1996-04-02T00:00,0.037,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,"Benzo(g,h,i)Perylene",1996-03-05T00:00,0.922,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,"Benzo(g,h,i)Perylene",1996-03-16T00:00,0.119,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,"Benzo(g,h,i)Perylene",1996-03-28T00:00,0.206,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,"Benzo(g,h,i)Perylene",1996-04-02T00:00,0.000,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,Chrysene & Triphenylene,1996-03-05T00:00,0.645,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,Chrysene & Triphenylene,1996-03-16T00:00,0.208,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,Chrysene & Triphenylene,1996-03-28T00:00,0.216,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,Chrysene & Triphenylene,1996-04-02T00:00,0.000,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,"Dibenz(a,c)&(a,h)Anthracene",1996-03-05T00:00,0.043,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,"Dibenz(a,c)&(a,h)Anthracene",1996-03-16T00:00,0.000,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,"Dibenz(a,c)&(a,h)Anthracene",1996-03-28T00:00,0.000,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,"Dibenz(a,c)&(a,h)Anthracene",1996-04-02T00:00,0.000,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,Fluoranthene,1996-03-05T00:00,2.246,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,Fluoranthene,1996-03-16T00:00,0.658,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,Fluoranthene,1996-03-28T00:00,0.979,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,Fluoranthene,1996-04-02T00:00,0.593,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,Fluorene,1996-03-05T00:00,7.133,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,Fluorene,1996-03-16T00:00,0.780,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,Fluorene,1996-03-28T00:00,0.554,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,Fluorene,1996-04-02T00:00,0.669,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,"Indeno(1,2,3-cd)Pyrene",1996-03-05T00:00,0.762,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,"Indeno(1,2,3-cd)Pyrene",1996-03-16T00:00,0.076,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,"Indeno(1,2,3-cd)Pyrene",1996-03-28T00:00,0.097,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,"Indeno(1,2,3-cd)Pyrene",1996-04-02T00:00,0.000,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,Perylene,1996-03-05T00:00,0.051,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,Perylene,1996-03-16T00:00,0.000,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,Perylene,1996-03-28T00:00,0.000,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,Perylene,1996-04-02T00:00,0.000,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,Phenanthrene,1996-03-05T00:00,7.593,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,Phenanthrene,1996-03-16T00:00,2.480,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,Phenanthrene,1996-03-28T00:00,2.610,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,Phenanthrene,1996-04-02T00:00,2.283,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,Pyrene,1996-03-05T00:00,3.017,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,Pyrene,1996-03-16T00:00,0.667,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,Pyrene,1996-03-28T00:00,0.975,ng/m³,PAH,
80601,44TH ST. & 48TH AVE.,Pyrene,1996-04-02T00:00,0.565,ng/m³,PAH,
